question_id,question_content,question_tags
1222122,hidden white bump left tonsil  postnas drip  ear pain  tinnitus  pain swallow  sleep apnea  ear barotrauma  blurri vision  sore throat  ,sore throat  earach  throat pain  apnea  sleep apnea  hazi vision  blurri vision  barotrauma  ring ear  post nasal drip
1222809,jaw pain  headach ear pain pressur also painless lump chin jaw sure relat fever  pain reliev help,ear infect  headach disord  skin lump  deal wisdom teeth  lymphat  manag tmj
1223187,pain swollen joint wrist ankl  occasion red mark face  arm  chest  leg  ra lupus,arthriti  joint swell  ra  rheumatoid arthriti  system lupus erythematosus
1223550,fungal infect bacteri infect peni groin lymph node swell ,bacteri infect  fungal infect  bacteria
1225116,skin anus irrit itchi  anus skin cut  open   peal skin  broken littl spot 2or 3 month  frustrat,
1227858,pus cover swollen tonsil mean bacteria virus fever  chill ach 1 day extrem sore throat ,sore throat  throat pain  fever  swollen tonsil  pus  virus  bacteria
1227918,tmj problem think wisdom teeth problem dizzi  headach  pressur molar area  test physician er came back fine could b teeth,dizzi  headach  tmj syndrom  wisdom teeth
1230871,fractur finger doctor use method tape finger next tape  cut circul blood,circul
1237393,21yo femal  std free  small pimpl like sore lower right vulva  prescrib clotrimazol betamethason  2 month chang,pimpl  std  sexual transmit infect  sexual transmit diseas  valison  lotrimin  clotrimazol  celeston  betamethason
1237448,fluid lung gb surgeri dementia cannot walk around much cough phlegm  treatment outlook still hospit ,cough  product cough  dementia  surgeri
1238576,cut foot year ago there hard lump  mayb calcium buildup  may  rest realli realli hurt walk ,fibroma  podiatri  foot injuri  calcium
124340,expect go fine needl aspir biopsi breast,femal health  biopsi  fine needl aspir
1244221,wet toilet paper like discharg  thick vagin dryness  std yeast ,sexual transmit diseas  std  sexual transmit infect  bacteri infect vagina  vagin infect  vagin dryness  yeast  bacteria  vagin  candida
1244709,im small red bump toward vagina itch time time didnt shave ,small red bump  red bump
1244729,hernia stomach caus uncomfort chest feel  similar come heart attack,heart attack  hernia  myocardi infarct  cardiac arrest
1244758,ive fever month  11 day w relief alev tylenol  begin hour wake feel terribl  idea,fever  tylenol  naproxen  alev  acetaminophen
1244979,blur vision cant focus  dizzi  nausea  heart feel like flutter ear jaw pain right side  blood work good cardio test good slow heart beat,dizzi  nausea  jaw pain  blurri vision  tmj syndrom  hazi vision  irrit eye  vision  dentistri
124785,hubbi alway congest  use nasal spray night despit direct snore loud due sleep apnea  cpap didnt work  advic,snore  apnea  sleep apnea  nasal spray  oxymetazolin  sleep  phenylephrin  snore  continu posit airway pressur  decongest
124831,needl aspir cyst right breast didnt collaps 2nd asprtn 2 test cell unsur result biopsi done result fri    cancer,ultrasound guid needl core biopsi breast  breast biopsi
1258438,dentist prescrib antibiot pain med tooth abscess yesterday  today still pain face swollen gum lip numb normal,abscess  numb  tooth abscess  dental abscess  oral surgeri  pain medicin  antibiot  analges  oral maxillofaci surgeri
1269997,bodi ach diarrhea fever  saw md  got steroid shot  flustrep came back negat  could contagi 7mo old home,flu  diarrhea  loos stool  fever  bodi ach  steroid shot  steroid
1271177,hospit 2 day due abdomin pain  doctor told complex 7cm ovarian cyst  go away  need surgeri,abdomin discomfort  abdomin pain  ovarian cyst  belli pain  pain manag  surgeri
1273448,neck pain  fluid behind ear  swollen gland neck cold sore right side   dr  put amoxil steriod  normal,cold sore  neck pain  swollen gland  enlarg lymph node  enlarg gland  herp simplex  amoxil  amoxicillin
1285692,lump cheek bone  like firm sac  run direct diagon ear mouth deep  could anyth tooth jaw infectio,
1287470,fear get lukemia lung cancer one chest ct scan one month ago  danger ct scan get cancer ,cancer  leukemia  lung cancer  ct chest  comput tomographi  ct scan
1289426,pack hand wound paper gone  hand swollen size egg lot pain  red  tender  go urgent care er,wound  hand swell  urgent care
1295158,stop use cocain tri  took 4 hit 10 min start feel heart pound  dizzi  nausea etc,nausea  dizzi  pound heartbeat  vertigo  cocain
1305613,tmj caus ear pain  sore ear littl discomfort front ear  ear pain deep ach  jaw open crook pop  come  goe ,earach  tmj syndrom
1310336,endodontist say dont need root canal  dentist say   pain sensit cold tooth   ,root canal  endodont
1313587,swollen left breast pain  nippl discharg  blood  itch  lymph node armpit tender   see pcp er ,nippl discharg
131698,hsv 1  partner 30 year old show hsv 1 igg detect  igm  negat  say cold sore sinc childhood  tramit hsv 1,herp  asymptomat  cold sore  herp simplex 1  immunoglobulin  hsv  low temperatur  virus  children  transmiss
1323262,recommend wisdom teeth xray taken coupl day ago  lowr right area sore  hurt wen eat drink  wut,wisdom teeth
1331973,sister got diagnos liver cirrhosi year drink abus prescript medic   alway lead liver cancer,cirrhosi liver  cancer  liver cancer  hospic
1332040,radiologist gyn question: digit mammogram  radiologist see seborrh keratosi breast 3 larg 3 small  know mark suspici,keratosi  mammogram  seborrh keratosi  digit mammogram
1347369,sensit biopsi test small fiber neuropathi,neuropathi  nerv damag  fiber  biopsi
1348809,neuro exam emg  mri brain normal   spinal mri done   weak  shaki leg dizzi lot   balanc   fatigu  fascil  ms gadneuro,dizzi  multipl sclerosi  lethargi  general anxieti disord  mri  mri brain  electromyographi  magnet reson imag
1354154,24 week pregnant  feel like im go passout  k level 3 2  nausea  left arm hurt feel want go numb   concern,syncop  pregnanc
137846,anxieti caus dizzi feeli faint without feel im scare panic attack moment,dizzi  feel anxious  syncop  panic disord  panic attack  anxieti  vertigo
1378609,possibl could oral cancer  would tongu throat hurt time  also ear pain  jaw pain  throat sting hard swallow,sore throat  earach  jaw pain  difficulti swallow  cancer  oral cancer  mouth cancer
1379805,mild random chest pain left side chest   usual breast  almost feel like rib  ekg  bw  stress test  echo xray  normal,chest pain  stress  chest tight  chest pressur  angina  echo  electrocardiogram  roentgen ray  stress test
1380387,take fenofibr lipid regul agent thus trigger allergi eg sneez wateri nose red eye itchi tongu preckl ontop,hypersensit  tricor  lipid  fenofibr  allergi
1380683,strep throat symptom swollen tonsil  white spot  sore throat  fever  ach  etc  feel fine  ,asymptomat  strep throat  fever  sore throat  swollen tonsil
1382646,distinguish pain sciatica leg blood cloti get scare pain get hip foot pain similar 2 dvt,dimer  ultrasound lower extrem vein
1387408,2 week ago swollen gland  post nasal drip  cough  got zpack better  swollen gland back drip  bad throat pain  sea  allergi,cough  sore throat  throat pain  swollen gland  enlarg lymph node  hypersensit  post nasal drip  z pak  enlarg gland  zithromax
1389378,fill month ago  sensit cold  dentist said ok sensit hot also  sound right,cold sensit
1390259,blood pressur 141 86 puls 76 bad im diabet feel palpit also  differenti heart vs  anxieti,feel anxious  palpit  blood pressur  anxieti
1399987,start feel overwhelm feel like cant breath lump throat start panic wrong,panic attack  anxieti
1400318,white milki discharg taken monistat 7 day    im rule yeast infect  could,yeast infect  yeast  candida
1400993,headach  fatigu  cramp  bloat  constip  tender nippl  back pain  dizzi  last period start june 3  pregnant,constip  back pain  dizzi  headach  lethargi  menstrual cycl  pain back  pregnanc  vertigo
1402436,side jaw hurt right ear  cannot open mouth way plus sound like sand insid could tmj,tmj syndrom
1402511,father leg becam red hot swollen knee hurt  dr  said bitten someth  could caus,
140379,part kid stress incontin,stress  stress incontin  urinari incontin  leak urin  incontin  children  stress urinari incontin  loss bladder control  run
1407031,small bump gum underneath tooth  look like blister month  hurt chang size ,
1407400,sleep heavili medic  numb upper left arm 1 5 day nonstop  type 1 diabet  ned see doc wait,numb  sleep
1410507,drs check stds gonorrhea chlamydia cbc order,sexual transmit diseas  gonorrhea  chlamydia infect  chlamydia trachomati   complet blood count  chlamydia gonorrhea  cbc
1411389,side effect switch neurontin lyrica,neurontin  lyrica  gabapentin
1419909,poor postur tens asleep grind teeth night  possibl lupus depress slight low iron determin caus fatigu weak,depress  lethargi  system lupus erythematosus  iron
1420697,itchi red pustul scalp go hair salon 6 yrs ago bodi except face allergi folliculti allergi med  prednison help,red pustul  pustul  hypersensit  liquid pred  prednison  deltason  allergi
1421896,week migrain headach normal triggeredbi certain foofood  direct sunlight  manag induc vomit drink warm water  skip 2 meal,vomit  headach  migrain headach  migrain  emesi
1424457,sharp  last pain front back head  dizzi  vertigo  nausea vomit  ongo month  sinus  help,dizzi  nausea  nausea vomit  emesi  vertigo
1424988,normal mri head  would shown tumor could caus symptom ear e  pressur  whoosh sound swallow,mri  magnet reson imag
142507,schedul diagnost mammogram one breast  possibl sonogram  worri,biopsi  repeat ultrasound  sonogram  mammogram  ultrasound breast  digit mammogram
1425144,swollen lymph node jawlin one side 2 month antibiot work doesnt get better wors throat cyst,antibiot
1425882,sore mouth  look like littl line yellow  gum upper part cheek   doesnt hurt keep come back,
1433382,sticki vagin discharg make itch around vagin area swab test normal infect yeast pelvic test normal plz help annoy,vagin discharg  yeast  candida
1438535,keep get callus area sole 3rd toe  area hurt even stand still,callus
1440609,urinari tract infect without pain symptom light pink bleed horribl pressur push urin,urin  urin  micturit
1441081,true gave benign fascicul tongu tongu twitch time week  like al symptom ,muscl twitch  fascicul  amyotroph later sclerosi
1442634,left shoulder ach  twing pain left arm  left finger cramp  happen right side  good ekg  xray  heart enzym  heart issu 21yr,
1443530,mom 46i small  hard  circular immovablepainless lump forehead appear 20s  diagnosi multipl benign cyst breast  help ,
1443761,implanon depoprovera time  babi ,nexplanon  implanon
1443822,migrain nausea fatigu diarrhea sharp stomach pain inner trembl loss appetit  began 5dys ago vertigo shower vomit  period 2wk,vomit  diarrhea  dizzi  stomach pain  nausea  loos stool  appetit  migrain  lethargi  trembl
1443893,woke terribl burn chest breast  dri cough  feel bubbl throat   caus,
1446074,bc  lost virgin 3 day ago  breast tender  lower abdomin pain  pain behind rib  got diagnos uti today  burn pee  preggo,abdomin discomfort  abdomin pain  urinari tract infect  lower abdomin pain  breast tender  belli pain  lower belli pain  micturit  urin  urin
1446277,im 16year old  sore lump skin right breast  locat beneath nippl  im terrifi  could,
1447916,hi  ive got red prick spot soft palat mild sore throat last 2 day  similar thing occur month ago  ,throat pain  sore throat  palat
1450194,use sick white discharg vagina white plaqu there also white liquid realli itch anus yeast infect,yeast infect  yeast  plaqu  candida
1450818,cough clear mucus everyday  6 month  often wheez use albuterol inhal wors morn ,cough  wheez  proventil  inhal  ventolin  albuterol
1457680,allergi woke morn blow nose stuffi stop littl throat hurt itchi eye water run,sore throat  throat pain  hypersensit  non allerg rhiniti  allerg rhiniti  pediatr allergi  pulmonolog  run  pediatr pulmonolog  allergi
1464136,bad knee pain  doctor said might meniscus said might cartilag  seem right,knee pain  pain manag  cartilag
1464282,went doctor two day ago sore throat congest  given amoxicillin chest congest  phlegm  product cough ,throat pain  sore throat  product cough  cough  chest congest  amoxil  amoxicillin
1464883,masturb caus perman hair loss rais dht caus one lose hair perman,bald  hair loss  dihydrotachysterol  dht  masturb
1465605,sore throat point pain swallow  ear ach ear main left  stiff neck headach 7 day,throat pain  earach  headach  sore throat  stiff neck
1472674,4 year old itchi littl red bump side face arm feet  believ chicken pot need go see doctor,red bump
1473496,streak bright red blood stool   pain bowel movement   could caus worri cancer ,blood stool  cancer  intestin  anal fissur  fece  hemorrhoid  bowel movement  bowel
1475017,bicep sore occasion twitch  serious  could pull muscl could al,muscl strain  muscl twitch  neurolog problem  amyotroph later sclerosi  neurolog  twitch
1475068,unexplain  bruis bodi  fatigu   wieghtloss  headach  loss appitit  bodi ach  mild dizzi  weak leg go,appetit  dizzi  headach  ecchymos  lethargi  bodi ach  vertigo
1475088,took 2 zyrtec 10 mg around 2 dog sever hour  im wheez chest feel tight  safe take benadryl,chest tight  wheez  diphenhydramin  dog  zyrtec  cetirizin  benadryl
149177,14 year old daughter treat sprain knee feet lower leg ice cold   ask sonogram rule dvt,cold extrem  numb  deep venous thrombosi  gait  common cold  sonogram
149305,im 26 week pregnant  found basal cell skin cancer   need concern  mole biopsi came back basal cell ,mole  melanoma  skin cancer  basal cell  cancer  pregnanc  femal health  healthi pregnanc  anesthesia  biopsi
149389,unusu fine needl biopsi breast surgeri,cervic smear  laparoscop surgeri  pap smear  femal health  surgeri  needl biopsi  biopsi
14950,mammogram slight increas risk breast cancer  everyon say get,breast cancer  breast carcinoma  cancer  mammogram  femal health
14961,smoke drink alcohol relat breast cancer,breast cancer  immun diseas  breast carcinoma  cancer  smoke  femal health  alcohol  circul
1496130,sever neuropathi pain result radiat  chemo colorect cancer stage iiib  take neurontin  tri lyrica  noth help ,nerv damag  neuropathi  cancer  colorect cancer  lyrica  neurontin  irradi  gamma ray  gabapentin  proctolog
149919,breast best digit mammogram sonogram,breast surgeon  repeat ultrasound  sonogram  ultrasound breast  mammogram  digit mammogram
1499451,tooth abcess sinc sat face swole  hurt  takin 500mg amoxicillin  50mg tramadol sinc sat  helpin  still big  dentist appt mon  go,abscess  amoxil  tramadol  amoxicillin  ultram
1500420,ok take lyrica neurontin use neurontin help sleep night  wont take togeth day,
1509551,sever allergi ibuprofen well aspirin  vicodin safe take serious migrain,migrain headach  migrain  hypersensit  ibuprofen  nuprin  rufen  motrin  vicodin  hydrocodon acetaminophen  halfprin
151009,son 22 month old cold  nasal congest  nasal decongest spray would help  use salin spray otc zyrtec  ,congest nose  stuf nose  cough  block nose  phenylephrin  pediatr allergi  pediatr pulmonolog  oxymetazolin  pulmonolog  low temperatur
1518318,swollen cheek jaw pain  ear sensitv start overnit treat antibiot think lymph node swell use seen dentist xray teeth fine  help,jaw pain  antibiot
1519979,bump elbow hard today someth  bruis swell realli hurt ice,elbow pain  ice  nsaid
152127,7 8 week pregnant massiv headach  im sure caffien withdraw  besid ice 1 pop day migrainey ,headach  migrain headach  migrain  caffein  acetaminophen  metoclopramid  healthi pregnanc  femal health  obstetr gynecolog  reglan
1521530,normal domin arm bicep tricep slight larg left arm  muscl imbal weak  neuro emg check al,amyotroph later sclerosi  electromyographi
1522239,discharg that thick n white  inch lil could yeast infect hurt lil like uti ive husband shouldnt std,urinari tract infect  std  sexual transmit infect  sexual transmit diseas
15240,tell exist mole melanoma,mole  melanoma  skin cancer  dermatolog  biopsi
1525028,hey genit wart doctor told might hiv posit 99% posit ,wart  human immunodefici virus  hiv posit  hiv  genit wart
1527162,fact high sgot sgpt ggt  hepat   liver test back normal esr 51  worri  infect recur  ,hepat  sgpt  sgot  ggt  esr  ast
1530970,blow nose  mucus bloodi   lot yellowgreen postnas drip  wheez  fever   take dymista  allegra  singulair  qvar  ventolin  allergi  sinusitus  go see primari care wait,sinus  fever  wheez  hypersensit  steroid inhal  montelukast  singulair  fexofenadin  ventolin  allergi
1531075,stiff neck  weird numb feel forehead right eyebrow templ month  doesnt actual hurt  bloodtest 2 ct normal aneurysmstrok,stroke  stiff neck  cerebr vascular accid  numb  aneurysm  comput tomographi
1533115,periodont clean front teeth nd regular clean rest   gum extrem swollen tender normal,
1544197,florastor probiot good mainten ib relat symptom also  yeast  safe someon remiss c diff coliti last  take florastor  normal stomach rumbl extra gas,diarrhea  irrit bowel syndrom  coliti  clostridium difficil infect  take antibiot  yeast  probiot  clostridium difficil  candida
1547520,white bump insid lip vagina  got 3 hpv vaccin shot  could wart hurt one bump 2 day ,wart  verruca  vaccin  immun  hpv vaccin  hpv
1553687,cold 9 day  go away  green mucus nose throat  blood nose  facial pain cough  sinus infect,sinus  cough  facial pain  green mucus  facial
1555008,skin infect staph mrsa eyebrow kiss boyfriend get mrsa even im take clindamycin,skin infect  staphylococc infect  mrsa  clindamycin  cleocin
1555024,ive taken flonas  allegra  mucinex prescrib 4 day symptom seem get wors ,mucinex  fluticason  flonas  fexofenadin  allegra
1555671,pick dri skin around earpierc for15yr  red swollen hot itchydrain  salt water sol help drain neosp doesnt,dri skin  sodium
1555739,son may ringworm scalp  skin flake  sore scalp   itchi stomach ach  headach sore throat,abdomin pain  throat pain  stomach pain  headach  ringworm  sore throat  belli pain  children health  stomach ach  trichophyton
1556825,run high speed experi chest pain lower left side healthi  guy histori heart condit ,chest pain  chest tight  chest pressur  angina  run
1567888,long wait get test recept anal sex particular want get test rectal chlamydia+gonhorrea+syphili ,gonorrhea
1571254,pelvic pain  spot period bloat could cyst ovari,std  abdomin bloat  pelvic pain  pelvic inflammatori diseas
1582865,bad abcess tooth doc gave 15 day antibiot tooth still infect  vitamin c help fight infect,abscess
158918,want fraxel laser treatment sever acn scar  effect,acn  pimpl  acn scar  scar  laser  co2 laser  fraxel laser  facial pimpl  co2  laser therapi
1593372,implant havent dentist sinc  recent left cheek start swell left lymph node underneath jawlin swollen pain  could caus,dentistri  oral health  implant
1595118,donat blood take prescript medic  klonipin   cymbalta  1 mg folic acid  singulair  qvar  ventiolin   nasonex  latuda  trazodon  well allegra  multivitamin  ,steroid inhal  folvit  singulair  nasonex  mvi  multivitamin  montelukast  latuda  trazodon  folic acid
1603386,doctor ask mammogram ultra sound breast,ultrasound breast  digit mammogram  mammogram
1606517,sensit ekg  echocardiogram  cardiac mris detect previous heart attack would normal echocardiogram signal good prognosi event previous heart attack,heart attack  myocardi infarct  cardiac arrest  echocardiogram  cardiac echo  mri
1608250,unprotect sex 2day period period regulari  brownish discharg im pill still pregnant,femal health  sex  pregnanc  menstrual period  menstrual cycl
169538,nippl spare mastectomi safe brca 2,breast cancer  cancer  mastectomi  laparoscop surgeri  brca2 gene
169919,gallbladd remov bile duct dilat even still year later  caus lot pain  go away,chronic pain  dyskinesia  gallbladd remov  bile  biliari colic  gallston
173022,valu breast ultrasound vs mammogram,ultrasound breast  sonogram  digit mammogram  mammogram
174274,fell elbow xray n broken  mri show ligament damag  cortison shot n pain  4 month later extrem pain  need surgeri,hand surgeon  surgeri  steroid shot  mri  magnet reson imag  cortizon  cortison  mri scan  laparoscop surgeri
175894,what best otc medic nasal congest due sinus infect,sinus  sinus pain  stuf nose  congest nose  inflamm  chronic sinus  block nose  otc medic  decongest  phenylephrin
176706,go soon diagnost mammogram  need breast ultrasound,digit mammogram  femal health  sonogram  ultrasound breast  mammogram
176931,endoscop sinus surgeri   long wait start weight,surgeri  endoscop sinus surgeri  sinus surgeri
181934,knee keep swell hurt  disloc bout 4 year ago   feel like ture walk ive use ice heat,knee pain  joint instabl  gait  mri scan  orthoped surgeri
182206,dr 2 day ago run urin cultur check bladder infect  blood urin  dr sent er check appenditici  ct scan normal  bloodwork normal  urin blood 2 day later  happen actual uti,urinari tract infect  blood urin  append  urin look like blood  bladder infect  comput tomographi  urinari bleed  bladder  urin  urin cultur
182234,long  coxsacki virus hand  foot  mouth contagi 4 r run high temp rash disappear,rash  skin rash  dermat  hand foot mouth diseas  run  bowel movement  oxymetazolin  virus
185558,differ breast ultrasound mammogram,ultrasound breast  sonogram  mammogram  digit mammogram
190670,want know u think panic attack  day husband fight throat felt like close chest hurt couldnt hard breath ,panic attack  counsel  violenc
190738,take melatonin regular even success treat insomnia miss dose  experi sleep disrupt,insomnia  melatonin  sleep
195815,sore throat  headach  bodyach  mild fever  bacteri viral infect,fever  headach  sore throat  mild fever  throat pain  pus  virus  viral infect  ibuprofen  motrin
196980,chanc  surgeri chang partial knee replac full knee replac,run  surgeri  knee replac  partial knee replac
197889,gave birth week ago got epidur  leg feet numb tingl  long last fix,tingl  numb  vagin birth  epidur  nerv
212605,8 week ago finger start burn  4 week later woke stiff pain finger   stiff spread three finger morn sometim snap movement  index finger remain sore day  saw orthoped,stiff  inflamm  finger stiff  orthoped surgeri
212705,wait sever week get hand specialist   allevi morn extrem pain stiff finger  test ra  tendon wear wrist guard alreadi tri voltaren gel ,joint pain  stiff  hand swell  rheumatoid arthriti  ra  voltaren  guard  diclofenac  exercis  warm shower
216640,self stress incontin,cough  obes  laughter  stress incontin  incontin  smoke  exercis  urin  bladder
217901,dr  say hard lump mid  arm elbow right feel like swollen lymph node  doesnt think cancer  want sonogram  wht els could,drug reaction  swollen gland  multi infarct dementia  cancer  sonogram  biopsi
219919,l5s1 spine fusion l4 foraminotomi sever month ago  way reliev back pain radiat left leg,back pain  pain back  spinal fusion  fusion  foraminotomi  backach
223383,sore throat one side  swollen lymph gland  hard swallow  back teeth painful swollen gum caviti,throat pain  sore throat  difficulti swallow  caviti
226549,im tingl numb hand feet regular basi  fibromyalgia,tingl  numb  fibromyalgia
229759,sexual activ miss period pregnant,mens  miss period  inflamm thyroid  weight chang  travel  hormon  healthi pregnanc  femal health  pregnanc  exercis
233537,littl pus partial knee replac sight stitch anyth concern month surgeri,pus  antibiot  surgeri  partial knee replac  knee replac
236002,possibl breast cancer cell lung cancer,breast cancer  breast carcinoma  cancer  lung cancer  femal health
237562,find breast cyst   tumor malign breast ultrasound mammogram,neoplasm  cancer  fibrocyst breast diseas  femal health  digit mammogram  sonogram  breast biopsi  breast needl biopsi  ultrasound breast  mammogram
238485,10week pregnant dont feel pain breast cant even feel belli grow normal even didt special need,breast tender  healthi pregnanc  femal health  await natur miscarriag  pregnanc
