0,may dri nose may help moistur membran  dri membran lead septal perfor  though mani caus 0,use salt water nasal spray help prevent develop perfor septum 0,rhinoplasti  facelift  facial plastic surgeri  septoplasti  eyelid lift  nasal fractur  nasal septum repair  nasal polyp remov  eye lift  skin cancer 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
11,yes concern mom health  discuss doctor decid best   famili member friend make comfort possibl good luck 11,mom 72 breast cancer spread brain reciv hyperbar oxygen therapi larg knot upper thigh im concern 11,cancer  hernia  hemorrhoid  wart 11,hyperbar chamber  hyperbar oxygen therapi  procedur hbot
12,get refer ask mom dentist refer someon diagnos treat  sometim simpl adjust bite time special design occlus splint help tremend  stress factor grind teeth bite problem  good luck 12,im 17 jaw pain 9 week mom dentist say tmj due stress never look jaw wisdom teeth alreadi hurt open 12,teeth  root canal  dental care  tooth pain  dental health  hsv  gum diseas  antibiot  dental xray 12,stress  tmj syndrom  jaw pain  wisdom teeth  dentistri
13,antipsyhcot sever option avail  would encourag discuss doctor  sometim take coupl trial find good fit individu 13,better altern risperidon  given side effect  discuss mom doc  tia develop occassion hallucin  lewi bodi dementia parkinson 13,suicid  hallucin  blister  liver diseas  prograf  melanoma  dermatolog  hypotrichosi  fine hair  thin hair  skin cancer  malign melanoma  dexil  child health  headach  dexlansoprazol  tri conceiv  finger stiff 13,vascular dementia  parkinson diseas  dementia lewi bodi  cholinesteras inhibitor  antipsychot
14,tmj pain area pain map muscl relat tmj show pain origin  two spot mention common one see tmj case 14,r area head would hurt u tmj mine hurt top  n front ear mri brain normal 41813 lot ha 14,tmj syndrom  cosmet dentistri  orthodont  dental laser  dental implant 14,chronic pain  persist pain  tmj syndrom  dentistri  mri brain  mri  magnet reson imag
15,keep eye crackl pop knee caus concern unless pain  associ lock  swell secondari injuri  various benign condit caus includ enlarg fat pad plica band  develop symptom  would recommend see orthopedist 15,notic squat knee joint make weird crack nois   doesnt hurt sound like im crack knuckl  strech almost daili 15,knee injuri  arthroscopi  orthoped surgeri  sport medicin  shoulder injuri  fractur 15,nan
16,call dentist symptom infect  best thing see dentist diagnos exact problem  antibiot may perscrib  antibiot may help feel better cure problem  treat infect cure  see dentist asap  delay make thing wors 16,sore pain tooth  sore jaw swollen gland side   antibiot help  swell gum around tooth 16,tooth pain  root canal  dentistri  tmj syndrom  tooth abscess  dri mouth  dental health  dental abscess  aphthous stomat  teeth  teeth clean  dental anxieti 16,swollen gland  enlarg lymph node  enlarg gland  antibiot
17,dentist  syndrom type condit requir put immedi treatment  bite must check mouth devis must design  also muscl relax necessari relief 17,tmj also caus stiff neckjaw line ach  ring ear  stiff neck  slight vertigo jaw stiff move fine jaw click crack help 17,nan 17,headach  dizzi  tmj syndrom  grind teeth  stiff neck  ring ear  vertigo
18,ask doctor  number possibl order  doctor feel lump abnorm screen mammo requir extra view ultrasound dens breast adjunct ultrasound screen felt warrant 18,need mammogram breast ultrasound 18,digit mammogram  mammogram  sonogram  ct scan  ultrasound breast  breast cancer  breast carcinoma  femal health  breast biopsi  breast needl biopsi  xray chest  mri breast  ct chest  mri breast contrast  mri scan  radiolog  ct abdomen  transvagin ultrasound pelvi  diagnost radiolog 18,breast cancer  cancer  calcium  biopsi  repeat ultrasound  ultrasound breast  sonogram  mammogram  digit mammogram
19,snore loud snore couuld sign serious diseas call sleep apnea  request doctor sleep studi 19,hi    way get rid snore   mom srver problem snore 19,diabet 19,snore  sleep apnea  snore
20,go er yes  may tetanus  call ambul go er  tri drive  best wish 20,cut kitchen knife tuesday  yesterday woke sore throat difficulti  swallow  today stiff jaw tetnaus anoth infect cut 20,sleep  anxieti  depress  bipolar disord  stress  psychiatri  manic depress disord  adhd  klonopin  zoloft  clonazepam  sertralin  memori  adderal  dextroamphetamin racem amphetamin  person disord  psychot  major depress 20,throat pain  sore throat  stiff  swallow disord  difficulti swallow
21,normal call pear penil papulesand total normal 21,bump like zit rim head peni white forev never paid attent normal wro 21,dermal filler  skin cancer surgeri  moh micrograph surgeri  moh surgeri  botox 21,acn  pimpl
22,question otc mouth guard mouthpiec may help could also make thing much wors  custom fit mouthpiec  even temporari fix  recommend purpos   mouthpiec sustain problem make symptom much wors  would call explain would realli appreci get asap place call list 22,otc mouth gaurd help till get see tmj doc cant see anoth 3 week sick ear full  dizzi  ent say prolli tmj 22,tmj syndrom  sleep  headach  dentistri  tooth pain  sleep apnea  exercis  vitamin supplement  dental care  eat healthier  root canal  apnea  dizzi  hypothyroid  numb  exercis  manag tmj  snore  gum diseas  dental cari 22,dizzi  tmj syndrom  ear full  ent head neck surgeri  ear nose throat  vertigo
23, may treat nasal congest 23,use nasal spray help treat deviat septum 23,rhinoplasti  facelift  facial plastic surgeri  septoplasti  eyelid lift  nasal fractur  nasal septum repair  nasal polyp remov  eye lift  skin cancer 23,headach  deviat nasal septum  shock  surgeri  rhinoplasti  oxymetazolin  ent head neck surgeri  ear nose throat  cartilag
24,yes yes pcp  tmj sleep disord relat  tmj expert often help disord  dentist tmj expert proper train experi  common  oral surgeon  prosthodontist  orofaci pain specialist  ask md  dentist dental societi referr 24,sleep studi done child noth found sleep apena diagnos today think tmj seroquel chang breath talk pcp 24,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 24,tmj syndrom  sleep apnea  apnea  sleep studi  seroquel  quetiapin  children  sleep
25,yes    possibl  procedur requir immobil cast splint 25,anyon know  hallux valgushamm toe correct surgeri  doctor arrang plaster pari bandag upto knee 25,podiatri  foot care  sprain  neuropathi  foot ankl injuri  diabet foot  diabet neuropathi  surgeri  educ  broken foot  foot ulcer  hammer toe  wound  orthoped brace  foot surgeri  hammerto correct  osteomyel  bunion repair 25,bunion  hammer toe repair  bunion repair  hammerto correct  bunion remov  surgeri  hammer toe  hallux valgus  foot surgeri
26,sure snore sound turbul airflow  thing may help reduc decibel reduc overal snore may bodi posit chang like avoid sleep back     could involv pillow position  also improv nasal congest narrow  recommend lot sinus rins medic ph balanc salt solut nasal spray help congest 26,way reduc loud someon snore complet stop snore 26,insomnia  narcolepsi  restless leg syndrom  copd  sleep apnea 26,snore  sleep apnea  snore
27,medic state   number med joint pain   first see rheumatologist determin joint pain 27,overthecount med joint pain ankl  knee  wrist  etc 27,surgeri  orthot  co2 laser  co2 laser  fungal nail infect  foot surgeri  orthot 27,joint pain
28,end stage dementia  actual cant tell apart without brain biopsi  except subtl differ expert could spot  end stage dementia look patient sign symptom 28,vascular dementia wors alzheim   end stage 28,mood disord  brain injuri  dementia  chronic pain 28,dementia  alzheim diseas  vascular dementia
29,tough tell lab valu present dont seem alarm  laboratori use somewhat differ analyt method rang vari somewhat wellso level mayb bit high one lab ok anoth  thus need refer  also  medic use  alcohol  drug acut ill influenc valu  thus valu alon dont mean much  consult doc  good luck 29,last blood test result includ these: albumin 3 9  total protein 7 0  alkalin phosphatas 165  ast sgot 31  alt sgpt 86  bilirubin  total 0 5  bilirubin  direct 0 2  hint liver problem 29,children health  exercis  diabet  chronic high blood pressur  musculoskelet problem 29,total protein  sgpt  sgot  protein  bilirubin  ast  alkalin phosphatas  albumin
30,wrong need iv antibiot observ   base line blood work cultur 30,tooth abcess facial swell  puffi eye  swollen lip  went emerg room said hasnt spread  switch differ antibiot  okay 30,hemorrhoid  backach 30,abscess  swollen eye  lip swell  facial swell  antibiot  facial
31,infect need see dentist  abscess root end heal need address 31,root canal fill near 12 mth ago  abscess tooth  face swollen etc neck seem take amoxicillin day 31,root canal  tooth pain  abscess  surgeri  anxieti  canker sore  inflamm gum  blister mouth  antibiot  earach 31,wound  abscess  antibiot  molar tooth  amoxil  amoxicillin  root canal
32,like botox help get comfort under caus muscl spasm address  long term solut may achiev  otherwis  botox like need readminist 32,botox tmj spasm month ago  know botox wea  possibl itll give muscl chanc heal  effect b longterm 32,tmj syndrom  dental care  dental pain  dental health  tooth disord 32,tmj syndrom  botox  xeomin
33,yes greatest problem weve hsv transmiss time lesion  care time  dont anyth show problem transmit anoth person 33,get cold sore  transmit hsv1 someon genit oral sex dont cold sore 33,nan 33,cold sore  herp simplex  sex
34,see oral surgeon swell general tmj  see oral surgeon ent examin negat  see tmj expert  dentist tmj expert proper train experi  common  oral surgeon  prosthodontist  orofaci pain specialist  ask md  dentist dental societi referr 34,cant tell  left jaw right back curv may ever slight swollen  swollen gland anywher els   tmj issu   concern 34,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 34,tmj syndrom  enlarg lymph node  swollen gland  enlarg gland
35,rhe rheumatologist 35,neck knee arthritus  want whole bone structur evalu  type doctor call 35,dizzi  back pain  fibromyalgia 35,arthriti
36,anemia valu show anemia due blood loss due chronic inflamm suppress bone marrow function result chronic anemia  md hematologist advis whether test warrant 36,39 year old woman mild moder rheumatoid arthriti   cbc done  hemoglobin  hematocrit  mcv level low  iron normal rang 36,nan 36,arthriti  pain joint  rheumatoid arthriti  rheumat  hematocrit  complet blood count  cbc  iron
37,vari sometim harder achiev profound anesthesia tooth acut infect  mani dentist prescrib antibiot treat acut infect hope remov tooth later date infect decreas  option sedat dentist oral surgeon immedi remov tooth 37,gum left cheek swollen decay wisdom tooth dentist doesnt want remov still swell  mani day last 37,wisdom tooth extract 37,nan
38,hsv1  usual fever blister usual caus hsv1  caus hsv2 38,type herp simplex virus caus cold sore 38,tooth pain  dental care  oral surgeri  dental procedur  dental pain  dental health 38,herp  cold sore  hsv  low temperatur  sex  travel  virus  nerv  herp simplex
39,common  mani women symptom  common symptom caus bladder contract spasm  diet contribut symptom  caffein  citrus tomato base food name irrit bladder  limit food help see doctor discuss treatment option  medic usual first choic treatment 39,question bladder  frequenc  urgenc  occasion incontin  uti  bladder pelvic floor prolaps 39,incontin  cystocel  rectocel  uterin prolaps  urinari incontin  overact bladder  bladder sling surgeri  hereditari ovarian cancer  fecal incontin  hormon replac therapi  pain bladder syndrom  hereditari breast cancer  minim invas surgeri 39,urinari tract infect  urinari urgenc  incontin  urinari urgenc  age grace  estrogen  diet  caffein  hormon  bladder
40,see primari car shoudl see primari care  dont worri heart attack  eat right  dont smoke  control bp elev 40,best medicin anxieti im celexa doesnt work  constant fear heart attack like father 40,coronari arteri bypass graft  mitral valv repair  aortic valv replac  heart valv surgeri  aneurysm 40,feel anxious  heart attack  myocardi infarct  cardiac arrest  citalopram  celexa  anxieti
41,concern multipl sclerosi prove otherwis  fatigu discomfort led diagnosi fibromyalgia almost decad ago may initi present 41,diagnos fibromyalgia 2005   got sever blur vision left eye  numb limb  dizzi  littl incontinec memori loss 41,cancer  acn  human immunodefici virus  nutrit  femal health  child health  breast cancer  male health  vitamin defici  breast carcinoma  pap smear  scar  exercis  anemia  lung cancer  iron defici anemia 41,dizzi  memori loss  numb  blurri vision  amnesia  fibromyalgia  incontin  hazi vision  irrit eye  memori
42,yes patient parkinson alik varieti symptom  depress sometim occur earli late cours ill  dementia usual late complic doesnt occur everyon 42,parkinson symptom braindo caus dementia depress 42,depress  bipolar disord 42,depress  dementia  parkinson diseas
43,neurootologist may want evalu detail neurologist neurootologist  tinnitus may relat condit inner ear neurootologist may abl examin close  dural arterioven fistula may rare present pulsatil tinnitus  howev  usual seen mri mra cta 43,brief episod pulsatil tinnitus left ear upon stand   multipl normal 3t mri cta head neck headach  normal bp weigh 43,cancer  brain injuri  arterioven malform  glioblastoma  tbi 43,headach  magnet reson imag  mri  ring ear  tinnitus  cta  blood pressur
44,see doctor symptom may sign someth signific wrong  one cannot tell without complet histori  physic possibl lab imag test  follow doctor soon 44,3 day  ive sever headach  sever back neck joint pain  dizzi  bad fatigu  fever  mening 19yr ago  worri better 44,cough  femal health  herp zoster  skin abscess  skin rash  stress  child health  sore throat  depress  dermatolog  bipolar disord  foot care  runni nose  sprain strain 44,dizzi  fever  chest pain  headach  joint pain  sever headach  chest tight  lethargi  chest pressur  blood clot
45,take time  take two week receiv result  give time  mean time yore concern std  use condom yore sex test come back posit  respons let sexual contact know 45,got test last week stds  receiv txt say syphili negat howev noth regard hiv test chlamydia yet negat sign 45,femal health  contracept  ovul  mens  fertil  healthi pregnanc  yeast infect  oral contracept  sexual transmit diseas  home pregnanc test  pregnanc loss  tri conceiv  get pregnant  polycyst ovarian syndrom  sexual transmit infect  pap smear  intrauterin devic  first trimest pregnanc  pelvic inflammatori diseas  endometriosi 45,sexual transmit infect  std  chlamydia infect  human immunodefici virus  syphili  hiv  hiv test
46,need info think ask dentist sinc opportun examin make diagnosi therefor best person know wrong 46,swollen cheek  jaw gum left side  dentist provid amoxicillin metronidazol  toothach    what wrong 46,nan 46,tooth pain  metrocream  norit  metronidazol  trikacid  flagyl er  flagyl  amoxil  amoxicillin
47,see doctor asap see doctor asap  may bleed lower colon rectum 47,bleed butt  hemorrhoid  tear  constip  come insid  bright red 47,anxieti  bipolar disord  manic depress disord  celexa  citalopram  post traumat stress disord  bipolar disord adult  person disord 47,constip  hemorrhoid  anal swell
48,decid ultim  undiagnos pain luq year  would recommend get condit evalu eventu diagnos  need ultim decid discomfort someth live sinc year alreadi assum lost weight  symptom  etc   end though  best safe get answer  good luck 48,upper left abdomin pain year went doc 6 month ago us didnt see anyth go super busi  dont want unecessari bill 48,urinari tract infect 48,abdomin discomfort  abdomin pain  belli pain
49,sleep apnea  tmj sleep apnea tmd  temporomandibular joint dysfunct often occur togeth  malocclus put pressur tmj muscl caus spasm  pain   difficulti swallow  tinnitus etc   well contribut reduc airway contribut sleep apnea  find dentist knowledg problem treat simultan 49,hidden white bump left tonsil  postnas drip  ear pain  tinnitus  pain swallow  sleep apnea  ear barotrauma  blurri vision  sore throat 49,sleep apnea  tmj syndrom  cosmet dentistri 49,sore throat  earach  throat pain  apnea  sleep apnea  hazi vision  blurri vision  barotrauma  ring ear  post nasal drip
50,ent doc sound like tmj except lump  see ent doc assess lump  negat  see tmj expert  dentist tmj expert proper train experi  common  oral surgeon  prosthodontist  orofaci pain specialist  ask md  dentist dental societi referr 50,jaw pain  headach ear pain pressur also painless lump chin jaw sure relat fever  pain reliev help 50,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 50,ear infect  headach disord  skin lump  deal wisdom teeth  lymphat  manag tmj
51,possibl lupus evalu 51,pain swollen joint wrist ankl  occasion red mark face  arm  chest  leg  ra lupus 51,podiatri  foot care  sprain  neuropathi  foot ankl injuri  diabet foot  diabet neuropathi  surgeri  educ  broken foot  foot ulcer  hammer toe  wound  orthoped brace  foot surgeri  hammerto correct  osteomyel  bunion repair 51,arthriti  joint swell  ra  rheumatoid arthriti  system lupus erythematosus
52,yes infect caus lymph node react  sometim also get infect  well 52,fungal infect bacteri infect peni groin lymph node swell 52,women health  femal health  ovul  home pregnanc test  cellul  irregular bleed  emerg contracept  amenorrhea  dermatolog  complementari altern medicin  viral infect  normal childbirth  rey syndrom  enlarg neck lymph node  famili medicin  append  viral gastroenter adult  pediatr  soft tissu injuri  intern medicin 52,bacteri infect  fungal infect  bacteria
53,see doctor evalu  diagnosi treatment 53,skin anus irrit itchi  anus skin cut  open   peal skin  broken littl spot 2or 3 month  frustrat 53,diabet  women health  hyperlipidemia  hypertens 53,nan
54,sore throat symptom consist strep throat bacteri  said  mononucleosi  mimic symptom  virus  need consult physician  strep throat treat antibiot  influenza need treat within 48 72 hour medic effect  med cure mono spleen need protect  contact sport 54,pus cover swollen tonsil mean bacteria virus fever  chill ach 1 day extrem sore throat 54,nan 54,sore throat  throat pain  fever  swollen tonsil  pus  virus  bacteria
55,symptom im glad medic test came back negat  answer question yes  could dental relat tmj and\or wisdom teeth dental problem  next step see dentist 55,tmj problem think wisdom teeth problem dizzi  headach  pressur molar area  test physician er came back fine could b teeth 55,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 55,dizzi  headach  tmj syndrom  wisdom teeth
56,yes method  buddi tape standard  idea immobil injur finger  tape tight  circul disrupt  sign would chang color  numb tingl  tape loos enough allow finger move  tight enough prevent fractur finger bend 56,fractur finger doctor use method tape finger next tape  cut circul blood 56,nan 56,circul
57,new doctor pimpl like sore fungal infect someth steroid cream would best treat  perhap need tell physician treatment plan fail find new physician expertis diseas skin 57,21yo femal  std free  small pimpl like sore lower right vulva  prescrib clotrimazol betamethason  2 month chang 57,human immunodefici virus  male health  sexual transmit infect  depress  lose weight  testosteron  diabet  aid  std  addict  alcohol  men health  gay  lesbian transgend health 57,pimpl  std  sexual transmit infect  sexual transmit diseas  valison  lotrimin  clotrimazol  celeston  betamethason
58,depend locat fluid could around lung also known pleural effus  case possibl thoracentesi larg  sometim diuret may help  fluid lung could congest failur  would requir echo diuret  pneumonia possibl elev white cell count aspir procedur  treat antibiot 58,fluid lung gb surgeri dementia cannot walk around much cough phlegm  treatment outlook still hospit 58,asthma  copd  pulmonari critic care  sepsi  intersti lung diseas 58,cough  product cough  dementia  surgeri
59,possibl    ossif calcif soft tissu known potenti event  like scar tissu  see podiatrist correct diagnosi  scar tissu could tri topic verapamil compound cream  possibl steroid inject 59,cut foot year ago there hard lump  mayb calcium buildup  may  rest realli realli hurt walk 59,surgeri  ingrown toenail  toenail  verruca  plantar wart  wart  athlet foot  foot care  toenail fungus  flat feet  orthot  minim invas surgeri  foot health 59,fibroma  podiatri  foot injuri  calcium
60,dont stress fine needl biopsi breast toler done often without local anesthet  small gaug needl place nodul materi remov  take 5 second  studi shown critic factor fna reliabl train experi oper  ideal  oper use microscop check sampl adequaci 60,expect go fine needl aspir biopsi breast 60,fine needl aspir  breast cancer  prostat cancer 60,femal health  biopsi  fine needl aspir
61,depend discharg woman abnorm  normal  transit  depend histori  may import see provid sure  may abl run test discharg obtain complet histori  common caus discharg yeast  bacteri vaginosi stds even set discomfort smell 61,wet toilet paper like discharg  thick vagin dryness  std yeast 61,cough  femal health  herp zoster  skin abscess  skin rash  stress  child health  sore throat  depress  dermatolog  bipolar disord  foot care  runni nose  sprain strain 61,sexual transmit diseas  std  sexual transmit infect  bacteri infect vagina  vagin infect  vagin dryness  yeast  bacteria  vagin  candida
62,itchi bump still could ingrown hair even didnt shave  tri hot compress bed  itchi pain  put littl overthecount hydrocortison cream coupl day lessen symptom  doctor abl figur one quick see 62,im small red bump toward vagina itch time time didnt shave 62,allergi  cancer  throat pain  sore throat  anxieti  rhiniti  cough  hypertens  male health  pap smear  dizzi  lightheaded  depress  femal health  chest pain  arthriti  numb  bleed 62,small red bump  red bump
63,hiatal hernia pain hiatal hernia gerd caus acid enter esophagus stomach acid caus pain similar heart get enough blood suppli oxygen  angina  caus patient admit hospit rule heart attack  one chest pain walk around get night  chanc caus gerd  see gi doc diagnos gerd 63,hernia stomach caus uncomfort chest feel  similar come heart attack 63,essenti hypertens  acut renal failur  dialysi servic  diabet nephropathi 63,heart attack  hernia  myocardi infarct  cardiac arrest
64,need evalu feasibl provid meaning opinion without take histori  physic examin test  would prudent consult doctor soon 64,ive fever month  11 day w relief alev tylenol  begin hour wake feel terribl  idea 64,cancer  nutrit  cervic cancer  ovarian cancer 64,fever  tylenol  naproxen  alev  acetaminophen
65,jaw muscl pain appear serious tmj muscl dysfunct caus muscl go spasm jaw joint tmj misalign  serious need treatment dentist skill treat tmj  5% dentist realli good realm familiar multipl treatment option select base patient need 65,blur vision cant focus  dizzi  nausea  heart feel like flutter ear jaw pain right side  blood work good cardio test good slow heart beat 65,tmj syndrom  tooth pain  dental implant  dental care  ach  manag tmj  emerg medic care  dental bridg  dental procedur  emerg dentistri 65,dizzi  nausea  jaw pain  blurri vision  tmj syndrom  hazi vision  irrit eye  vision  dentistri
66,sleep apnea cpap work husband osa  need reevalu  use advanc form therapi differ mask consid  certain repeat sleep studi like need  use mandibular advanc devic associ cpap therapi may appropri  diseas sever impli go back md 66,hubbi alway congest  use nasal spray night despit direct snore loud due sleep apnea  cpap didnt work  advic 66,sleep  apnea  sleep apnea  snore  delay sleep phase  copd  leprosi  choke  co2  sleep stage  sleep disturb  pulmonari fibrosi  deep sleep  pulmonari hypertens  narcolepsi  difficulti breath  sarcoidosi  interstiti lung diseas  parasomnia 66,snore  apnea  sleep apnea  nasal spray  oxymetazolin  sleep  phenylephrin  snore  continu posit airway pressur  decongest
67,await result test done result soon  cyst usual cancer  alway case 67,needl aspir cyst right breast didnt collaps 2nd asprtn 2 test cell unsur result biopsi done result fri    cancer 67,cancer  breast cancer  low blood count  chemotherapi  leukemia  ovarian cancer  anemia  lung cancer  kidney cancer  breast carcinoma  mouth cancer  prostat cancer  laparoscop surgeri  enlarg lymph node  lymphoma  bruis  hematolog diseas  cervic cancer  colon cancer  itp 67,ultrasound guid needl core biopsi breast  breast biopsi
68,see dentist  soft tissu abscess form  may need drainag procedur  call dds  ask oral surgeri referr 68,dentist prescrib antibiot pain med tooth abscess yesterday  today still pain face swollen gum lip numb normal 68,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 68,abscess  numb  tooth abscess  dental abscess  oral surgeri  pain medicin  antibiot  analges  oral maxillofaci surgeri
69,virus kind viral ill contagi  practic good hygien  good handwash time  perfect   matter care   much septic still get us   minim risk exposur 69,bodi ach diarrhea fever  saw md  got steroid shot  flustrep came back negat  could contagi 7mo old home 69,child health  children health  cough  constip  sleep  asthma  allergi  diabet  fever  skin rash  child allergi  eat healthier  rash  teeth  ova parasit  fecal retent  syndrom  live syndrom  syndrom trisomi 21 69,flu  diarrhea  loos stool  fever  bodi ach  steroid shot  steroid
70,prompt surgeri utmost respect prior respons  complex ovarian cyst larger 68 cm  must consid prompt surgeri accord standard care american colleg ob gyn  complex cyst vs  simpl  greater risk malign cancer  cyst larger 6 cm pose signific risk torsion twist  ruptur  except  see obg prompt 70,hospit 2 day due abdomin pain  doctor told complex 7cm ovarian cyst  go away  need surgeri 70,fertil  get pregnant  polycyst ovarian syndrom  ivf pregnanc  endometriosi  pregnanc loss  ectop pregnanc 70,abdomin discomfort  abdomin pain  ovarian cyst  belli pain  pain manag  surgeri
71,yes probabl viral syndrom  steroid may make feel better 71,neck pain  fluid behind ear  swollen gland neck cold sore right side   dr  put amoxil steriod  normal 71,nan 71,cold sore  neck pain  swollen gland  enlarg lymph node  enlarg gland  herp simplex  amoxil  amoxicillin
72,yes that like possibl  see dentist soon possibl infect spread quick caus serious complic 72,lump cheek bone  like firm sac  run direct diagon ear mouth deep  could anyth tooth jaw infectio 72,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 72,nan
73,risk singl chest ct pose risk develop type malign  multipl scan time increas risk 73,fear get lukemia lung cancer one chest ct scan one month ago  danger ct scan get cancer 73,deep venous thrombosi  lung cancer  breast cancer treatment 73,cancer  leukemia  lung cancer  ct chest  comput tomographi  ct scan
74,er workup avail urgent care limit treatment option  go get look er get wors 74,pack hand wound paper gone  hand swollen size egg lot pain  red  tender  go urgent care er 74,hemorrhoid  constip  biliari colic 74,wound  hand swell  urgent care
