0,common  routin remov make surgeri complic experienc surgeon 0,use salt water nasal spray help prevent develop perfor septum 0,sinus diseas 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
22,ent om need see ent oral surgeon foe evalu possibl biopsi 22,otc mouth gaurd help till get see tmj doc cant see anoth 3 week sick ear full  dizzi  ent say prolli tmj 22,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 22,dizzi  tmj syndrom  ear full  ent head neck surgeri  ear nose throat  vertigo
23,question otc mouth guard mouthpiec may help could also make thing much wors  custom fit mouthpiec  even temporari fix  recommend purpos   mouthpiec sustain problem make symptom much wors  would call explain would realli appreci get asap place call list 23,use nasal spray help treat deviat septum 23,tmj syndrom  sleep  headach  dentistri  tooth pain  sleep apnea  exercis  vitamin supplement  dental care  eat healthier  root canal  apnea  dizzi  hypothyroid  numb  exercis  manag tmj  snore  gum diseas  dental cari 23,headach  deviat nasal septum  shock  surgeri  rhinoplasti  oxymetazolin  ent head neck surgeri  ear nose throat  cartilag
24,yes brain bodi need rest rejuven happen sleep 24,sleep studi done child noth found sleep apena diagnos today think tmj seroquel chang breath talk pcp 24,sleep apnea  tmj syndrom  botox  trigger point inject  cosmet dentistri 24,tmj syndrom  sleep apnea  apnea  sleep studi  seroquel  quetiapin  children  sleep
25,call surgeon dont treat knee perform surgeri feet ankl  post oper complic may experienc need contact surgeon asap  may may normal type surgeri 25,anyon know  hallux valgushamm toe correct surgeri  doctor arrang plaster pari bandag upto knee 25,orthot  plantar fasciiti  toenail fungus  heel surgeri  morton neuroma 25,bunion  hammer toe repair  bunion repair  hammerto correct  bunion remov  surgeri  hammer toe  hallux valgus  foot surgeri
26,sleep apnea  snore sever possibilities: peopl snore sleep back  tri avoid  lose weight  see ear nose  throat specialist evalu tonsil  adenoid sinus  overnight sleep studi evalu sleep apnea wear cpap wear custom made dental devic hold jaw forward sleep therebi increas airway 26,way reduc loud someon snore complet stop snore 26,sleep apnea  tmj syndrom  cosmet dentistri 26,snore  sleep apnea  snore
27,evalu depend great physic mental disabl evalu physician  also  depend yore disabl  yoll probabl need evalu one doctor receiv benefit 27,overthecount med joint pain ankl  knee  wrist  etc 27,surgeri  ankl sprain  exercis  arthriti  total ankl replac  swollen ball foot 27,joint pain
28,pcp talk primari care physician  doctor abl help diagnosi  treatment option 28,vascular dementia wors alzheim   end stage 28,hdl  eat disord  cancer  nutrit 28,dementia  alzheim diseas  vascular dementia
29,symptom would suggest symptom led blood work done first place would reason would want visit doctor  lab result difficult interpret without histori context  bili level mild elev  doesnt tell anyth without histori caus could perfect benign  see doctor 29,last blood test result includ these: albumin 3 9  total protein 7 0  alkalin phosphatas 165  ast sgot 31  alt sgpt 86  bilirubin  total 0 5  bilirubin  direct 0 2  hint liver problem 29,children health  exercis  vaccin 29,total protein  sgpt  sgot  protein  bilirubin  ast  alkalin phosphatas  albumin
30,swell pain given age abnorm situat think child need seen pediatrician 30,tooth abcess facial swell  puffi eye  swollen lip  went emerg room said hasnt spread  switch differ antibiot  okay 30,human immunodefici virus  male health  sexual transmit infect  depress  lose weight  testosteron  diabet  aid  std  addict  alcohol  men health  gay  lesbian transgend health 30,abscess  swollen eye  lip swell  facial swell  antibiot  facial
31,go back dentist yellow color face may breakdown blood product tissu  codein acetaminophen cocodamol may enhanc bleed  hope abscess drain  sinc antibiot alon seldom reliabl effect  need return discuss dentist allow see new problem  good luck 31,root canal fill near 12 mth ago  abscess tooth  face swollen etc neck seem take amoxicillin day 31,aid  pneumonia  urinari tract infect  sexual transmit diseas  infect heart valv  bacteri infect  bacteri endocard  osteomyel  respiratori tract infect  septic arthriti  pneumocysti jirovecii pneumonia  prophylact antibiot 31,wound  abscess  antibiot  molar tooth  amoxil  amoxicillin  root canal
32,bruxism someon may grind teeth number reason  often  problem occur muscl face jaw tri get teeth comfort posit  muscl may spasm  may tmj tmd problem  stress  infect  best see dentist asap  often thew caus difficult determin  may treat symptom mouthpiec 32,botox tmj spasm month ago  know botox wea  possibl itll give muscl chanc heal  effect b longterm 32,tmj syndrom  sleep  headach  dentistri  tooth pain  sleep apnea  exercis  vitamin supplement  dental care  eat healthier  root canal  apnea  dizzi  hypothyroid  numb  exercis  manag tmj  snore  gum diseas  dental cari 32,tmj syndrom  botox  xeomin
33,yes close relat cant get genit herp oral sore normal circumst 33,get cold sore  transmit hsv1 someon genit oral sex dont cold sore 33,erectil dysfunct  infertil  peni disord  testicular disord  male genit disord  men health 33,cold sore  herp simplex  sex
34,lot tension tmj alon caus headach usual caus neck shoulder pain  may tension headach though usual occur shoulder  neck  posterior head spread  tension headach  tmj swollen lymph node caus stress  first relax  see doctor lymph node persist develop fever addit symptom 34,cant tell  left jaw right back curv may ever slight swollen  swollen gland anywher els   tmj issu   concern 34,symptomat treatment  emerg medicin  high blood pressur med 34,tmj syndrom  enlarg lymph node  swollen gland  enlarg gland
35,often time simpl surgic shoe may suffic  even camwalk without cast  ultim  decis treat doctor 35,neck knee arthritus  want whole bone structur evalu  type doctor call 35,plantar fasciiti  diabet foot  neuroma 35,arthriti
36,mayb caus constip infant mani caus  one common caus would low fiber  nutrient poor diet relat dehydr lead hard stool  pain defec  constip  check physician regard supplement  care give supplement young sensit side effect  calcium supplement like caus 36,39 year old woman mild moder rheumatoid arthriti   cbc done  hemoglobin  hematocrit  mcv level low  iron normal rang 36,diabet  perfus scan  health statist  diabet risk  bone scan  heart diseas 36,arthriti  pain joint  rheumatoid arthriti  rheumat  hematocrit  complet blood count  cbc  iron
37,normal quit possibl complic extract site  import keep touch doctor concern post oper symptom  number complic concern includ alveolar osteiti dri socket  infect resist antibiot may present take  see dentist check site 37,gum left cheek swollen decay wisdom tooth dentist doesnt want remov still swell  mani day last 37,dental care  dental health  dental procedur  dental pain 37,nan
38,yes greatest problem weve hsv transmiss time lesion  care time  dont anyth show problem transmit anoth person 38,type herp simplex virus caus cold sore 38,nan 38,herp  cold sore  hsv  low temperatur  sex  travel  virus  nerv  herp simplex
39,necessarili general  better cultur order identifi bacteria ensur sensit antibiot chosen  possibl noninfecti problem caus symptom similar uti  symptom resolv cours antibiot probabl return urin cultur prior treatment 39,question bladder  frequenc  urgenc  occasion incontin  uti  bladder pelvic floor prolaps 39,pap smear  hysterectomi  normal childbirth  laparoscop surgeri 39,urinari tract infect  urinari urgenc  incontin  urinari urgenc  age grace  estrogen  diet  caffein  hormon  bladder
40,hiatal hernia pain hiatal hernia gerd caus acid enter esophagus stomach acid caus pain similar heart get enough blood suppli oxygen  angina  caus patient admit hospit rule heart attack  one chest pain walk around get night  chanc caus gerd  see gi doc diagnos gerd 40,best medicin anxieti im celexa doesnt work  constant fear heart attack like father 40,essenti hypertens  acut renal failur  dialysi servic  diabet nephropathi 40,feel anxious  heart attack  myocardi infarct  cardiac arrest  citalopram  celexa  anxieti
41,mri consid suggest healthcar provid get mri check white matter diseas also consid evalu cervic spine area 41,diagnos fibromyalgia 2005   got sever blur vision left eye  numb limb  dizzi  littl incontinec memori loss 41,colonoscopi  intern medicin  egd  stress echocardiographi  echocardiogram 41,dizzi  memori loss  numb  blurri vision  amnesia  fibromyalgia  incontin  hazi vision  irrit eye  memori
42,yes brain bodi need rest rejuven happen sleep 42,parkinson symptom braindo caus dementia depress 42,sleep apnea  tmj syndrom  botox  trigger point inject  cosmet dentistri 42,depress  dementia  parkinson diseas
43,yes  activ episod say blur vision weak  yes mri done time symptom  visibl  unlik though symptom due ms  consist diseas  migrain common  also analges overus  postconcuss  occipit nerv relat headach like  lp definit test 43,brief episod pulsatil tinnitus left ear upon stand   multipl normal 3t mri cta head neck headach  normal bp weigh 43,anxieti  back pain  diarrhea  surgeri  pain back  migrain  hyperthyroid  overact thyroid  seizur  relax techniqu  hypertens  vaccin  wheez  tension pneumothorax  convuls  chest trauma  sepsi  stroke  asthma  women health 43,headach  magnet reson imag  mri  ring ear  tinnitus  cta  blood pressur
44,chest pain may bronchiti  smoke pleurisi need check physician asap symptom six week    neglect 44,3 day  ive sever headach  sever back neck joint pain  dizzi  bad fatigu  fever  mening 19yr ago  worri better 44,chest pain  copd  chest tight  chest pressur  hear loss  angina  diabet  heart attack  rapid heart beat  diabet type 2  transient ischem attack  mening  viral mening 44,dizzi  fever  chest pain  headach  joint pain  sever headach  chest tight  lethargi  chest pressur  blood clot
45,cbc order lab check std 45,got test last week stds  receiv txt say syphili negat howev noth regard hiv test chlamydia yet negat sign 45,cancer  nutrit  cervic cancer  ovarian cancer 45,sexual transmit infect  std  chlamydia infect  human immunodefici virus  syphili  hiv  hiv test
46,take abx usual gonorrhea chlamydia  patient given rocephin one time shot either zithromax doxycyclin  metronidazol usual given bacteri vaginosi trichomoniasi  need finish entir cours antibiot usual 1014 day  sometim may take week symptom improv  info see www cdc gov std default htm 46,swollen cheek  jaw gum left side  dentist provid amoxicillin metronidazol  toothach    what wrong 46,nan 46,tooth pain  metrocream  norit  metronidazol  trikacid  flagyl er  flagyl  amoxil  amoxicillin
47,bowel movement 2 hour long complet defec  would see gastroenterologist perform number test evalu motil abnorm  number medic impair motil possibl condit inherit caus lack motil larg intestin  definit seek consult board certifi gastroenterologist 47,bleed butt  hemorrhoid  tear  constip  come insid  bright red 47,women health  geriatr  palliat care  psychopharmacolog treatment  congest heart failur 47,constip  hemorrhoid  anal swell
48,prompt surgeri utmost respect prior respons  complex ovarian cyst larger 68 cm  must consid prompt surgeri accord standard care american colleg ob gyn  complex cyst vs  simpl  greater risk malign cancer  cyst larger 6 cm pose signific risk torsion twist  ruptur  except  see obg prompt 48,upper left abdomin pain year went doc 6 month ago us didnt see anyth go super busi  dont want unecessari bill 48,fertil  get pregnant  polycyst ovarian syndrom  ivf pregnanc  endometriosi  pregnanc loss  ectop pregnanc 48,abdomin discomfort  abdomin pain  belli pain
49,need evalu pain involv area call mastoid  pain movement neck  headach  blur vision right  concern symptom realli need evalu  could local infect call mastoid  someth wors  call doctor seen soon possibl 49,hidden white bump left tonsil  postnas drip  ear pain  tinnitus  pain swallow  sleep apnea  ear barotrauma  blurri vision  sore throat 49,femal health  menopaus  ovul  mens  tri conceiv  get pregnant  ectop pregnanc  third trimest pregnanc  diabet onset pregnanc  obstetr  high risk pregnanc  healthi pregnanc  gestat hypertens 49,sore throat  earach  throat pain  apnea  sleep apnea  hazi vision  blurri vision  barotrauma  ring ear  post nasal drip
50,gum remov tissu remov wisdom tooth help suffici room tooth erupt   tooth remov 50,jaw pain  headach ear pain pressur also painless lump chin jaw sure relat fever  pain reliev help 50,dental care  dental pain  dental health 50,ear infect  headach disord  skin lump  deal wisdom teeth  lymphat  manag tmj
51,viral  bacteri infect  allerg   contact dermat  insect bite  autoimmun condit etc  see dr assur confirm  take care 51,pain swollen joint wrist ankl  occasion red mark face  arm  chest  leg  ra lupus 51,nan 51,arthriti  joint swell  ra  rheumatoid arthriti  system lupus erythematosus
52,yes rotten = infect  lymph node design trap pathogen  limit spread infect  unless sourc infect  diseas tooth  address  infect eventu spread beyond safeguard  lymphat system  pleas call dentist care 52,fungal infect bacteri infect peni groin lymph node swell 52,orthodont  tooth pain  child health  dentistri  tmj syndrom  children health  surgeri  dental pain  oral surgeri  cari  abscess  dental care  oral maxillofaci surgeri  root canal  dental cari  dental health  tooth abscess  teeth  gum diseas  gingiv 52,bacteri infect  fungal infect  bacteria
53,throat infect see md right away  may throat cultur  mayb contagi case hope alreadi went seek medic care 53,skin anus irrit itchi  anus skin cut  open   peal skin  broken littl spot 2or 3 month  frustrat 53,tmj syndrom  tooth pain 53,nan
54,possibl sound like get sick  go see internist  would need cultur verifi strep throat  gargl warm salt water help sore throat  umcka cold flu help lot natur 54,pus cover swollen tonsil mean bacteria virus fever  chill ach 1 day extrem sore throat 54,bone graft  dental implant  cosmet  mouth biopsi  wisdom tooth extract 54,sore throat  throat pain  fever  swollen tonsil  pus  virus  bacteria
55,need exam that broad set symptom could varieti thing  tmj  neck arthriti  infect  thing  get evalu person  fever unexplain weight loss difficulti normal activ  get check right away 55,tmj problem think wisdom teeth problem dizzi  headach  pressur molar area  test physician er came back fine could b teeth 55,pain manag  mind medit  integr medicin  physic medicin rehabilit  physic rehabilit  guid imageri  fibromyalgia  spine manipul  chronic pain 55,dizzi  headach  tmj syndrom  wisdom teeth
56,doctor fecal occult blood test fobt screen test blood stool specif diagnosi  posit fobt test usual follow colonoscopi  fobt neither sensit specif colon cancer  discuss need colon cancer prophylaxi doctor may recommend colonoscopi 56,fractur finger doctor use method tape finger next tape  cut circul blood 56,cancer  nutrit  cervic cancer  ovarian cancer 56,circul
57,best see pc  sever possibl exam pc cultur yield answer 57,21yo femal  std free  small pimpl like sore lower right vulva  prescrib clotrimazol betamethason  2 month chang 57,nan 57,pimpl  std  sexual transmit infect  sexual transmit diseas  valison  lotrimin  clotrimazol  celeston  betamethason
58,new infect viral infect  doesnt need antibiot  run cours  end bacteri infect need antibiot  doctor saw evid bacteri infect throat sinus gave amoxi  bacteri infect lung  amoxi doesnt work  fever general sick wait w need differ kind antibiot 58,fluid lung gb surgeri dementia cannot walk around much cough phlegm  treatment outlook still hospit 58,nan 58,cough  product cough  dementia  surgeri
59,yes diabet mobid obes  foot pain concern see physician  sorri hear accid  take action immedi make appoint doctor  hope help 59,cut foot year ago there hard lump  mayb calcium buildup  may  rest realli realli hurt walk 59,surgeri  ankl sprain  exercis  arthriti  total ankl replac  swollen ball foot 59,fibroma  podiatri  foot injuri  calcium
60, biopsi necessari definit diagnos malign  mammo us evalu give probabl malign base birad code: birad 2 benign  3 probabl benignless 1% chanc cancer  4 suspiciousabout 30% chanc  5 high suspiciousat least 75% 60,expect go fine needl aspir biopsi breast 60,digit mammogram  mammogram  sonogram  ct scan  ultrasound breast  breast cancer  breast carcinoma  femal health  breast biopsi  breast needl biopsi  xray chest  mri breast  ct chest  mri breast contrast  mri scan  radiolog  ct abdomen  transvagin ultrasound pelvi  diagnost radiolog 60,femal health  biopsi  fine needl aspir
61,like yeast suggest tri overthecount cream pharmaci  see dr  fail clear thing within day 61,wet toilet paper like discharg  thick vagin dryness  std yeast 61,circumcis  bedwet  incontin  kidney problem  hypospadia repair  bladder exstrophi repair 61,sexual transmit diseas  std  sexual transmit infect  bacteri infect vagina  vagin infect  vagin dryness  yeast  bacteria  vagin  candida
62,tonsil stone symptom suggest tonsil stone  also call tonsillolith calculi  may concret tonsillar crypt  throat sore throat symptom  may use salt water gargl 1 2 tsp per 1 cup water sever time daili  otc sore throat lozeng   tonsil stone concern  except may caus halitosi  hope help 62,im small red bump toward vagina itch time time didnt shave 62,nan 62,small red bump  red bump
63,panic attack u symptom typic panic attack 90 percent patient visit er chest pain   short breath r consern heart attack   turn panic attack   howev  import r cardiac caus 63,hernia stomach caus uncomfort chest feel  similar come heart attack 63,sleep  healthi pregnanc  psychiatri  hopeless  adderal  psychiatri sleep 63,heart attack  hernia  myocardi infarct  cardiac arrest
64,need evalu may wait 6 hour start alev  take everi 12 hour   must see differ dentist find caus pain  appropri ongo x 10 day  gastrointestin problem much nsaid treatment 64,ive fever month  11 day w relief alev tylenol  begin hour wake feel terribl  idea 64,toxic exposur  carbon monoxid poison  cardiopulmonari resuscit  infect heart valv  accident poison  elder care 64,fever  tylenol  naproxen  alev  acetaminophen
65,symptom suggest sinus infect  acut sinus infect most common follow cold  1014 day cold  cold symptom go away  consid sinus infect  symptom nasal congest  nasal discharg  thick postnas drainag yellowish greenish particular soon aris  half patient sinus headach pressur most common behind eye area  chronic sinus problem call chronic rhinosinus medic symptom last longer 3 month  mani patient similar symptom last month year  fatigu occur 80% patient  symptom includ plug ear cough 65,blur vision cant focus  dizzi  nausea  heart feel like flutter ear jaw pain right side  blood work good cardio test good slow heart beat 65,back pain  pain joint  pain back  arthriti  allergi  hypersensit  lip swell  child allergi  skin rash  sore throat  congest  throat pain  stuf nose  cough  dermat  diphenhydramin  allerg reaction  fish allergi  rash  nasal 65,dizzi  nausea  jaw pain  blurri vision  tmj syndrom  hazi vision  irrit eye  vision  dentistri
66,yes  make sure sleep studi done correct septum nose  allow breath much easier help blood pressur also 66,hubbi alway congest  use nasal spray night despit direct snore loud due sleep apnea  cpap didnt work  advic 66,sleep apnea  tmj syndrom  botox  trigger point inject  cosmet dentistri 66,snore  apnea  sleep apnea  nasal spray  oxymetazolin  sleep  phenylephrin  snore  continu posit airway pressur  decongest
67,dont stress fine needl biopsi breast toler done often without local anesthet  small gaug needl place nodul materi remov  take 5 second  studi shown critic factor fna reliabl train experi oper  ideal  oper use microscop check sampl adequaci 67,needl aspir cyst right breast didnt collaps 2nd asprtn 2 test cell unsur result biopsi done result fri    cancer 67,fine needl aspir  breast cancer  prostat cancer 67,ultrasound guid needl core biopsi breast  breast biopsi
68,infect may need flap gum remov tooth avoid reoccurr issu 68,dentist prescrib antibiot pain med tooth abscess yesterday  today still pain face swollen gum lip numb normal 68,tmj syndrom  sleep  headach  dentistri  tooth pain  sleep apnea  exercis  vitamin supplement  dental care  eat healthier  root canal  apnea  dizzi  hypothyroid  numb  exercis  manag tmj  snore  gum diseas  dental cari 68,abscess  numb  tooth abscess  dental abscess  oral surgeri  pain medicin  antibiot  analges  oral maxillofaci surgeri
69,  could viral bacteri pharyng mononucleosi  would suggest get check physician rule strep throat 69,bodi ach diarrhea fever  saw md  got steroid shot  flustrep came back negat  could contagi 7mo old home 69,nan 69,flu  diarrhea  loos stool  fever  bodi ach  steroid shot  steroid
70,yes pain swell alreadi pretti much gone away  doc removinbg sutur probabl abl find anyth could caus problem 70,hospit 2 day due abdomin pain  doctor told complex 7cm ovarian cyst  go away  need surgeri 70,nan 70,abdomin discomfort  abdomin pain  ovarian cyst  belli pain  pain manag  surgeri
71,call dentist symptom infect  best thing see dentist diagnos exact problem  antibiot may perscrib  antibiot may help feel better cure problem  treat infect cure  see dentist asap  delay make thing wors 71,neck pain  fluid behind ear  swollen gland neck cold sore right side   dr  put amoxil steriod  normal 71,tooth pain  root canal  dentistri  tmj syndrom  tooth abscess  dri mouth  dental health  dental abscess  aphthous stomat  teeth  teeth clean  dental anxieti 71,cold sore  neck pain  swollen gland  enlarg lymph node  enlarg gland  herp simplex  amoxil  amoxicillin
72,hard say would depend size lump chang signific time  mobil larg  could suspici cancer  also need check lump would suggest lymph node could infect  could also repres lymphoma  check 72,lump cheek bone  like firm sac  run direct diagon ear mouth deep  could anyth tooth jaw infectio 72,cancer  brain injuri  arterioven malform  glioblastoma  tbi 72,nan
73,normal ct two long ago absolut need repeat 73,fear get lukemia lung cancer one chest ct scan one month ago  danger ct scan get cancer 73,cancer  abscess  thyroid biopsi  liver biopsi  picc line  nephrostomi tube  sclerotherapi  stent  uterin arteri embol  peripher vascular diseas  liver cancer  hepatoma  abdomin abscess  cathet embol  endovascular embol  vascular condit  vascular access  uterin fibroid embol 73,cancer  leukemia  lung cancer  ct chest  comput tomographi  ct scan
74,yes could streptococcus would need antibiot 74,pack hand wound paper gone  hand swollen size egg lot pain  red  tender  go urgent care er 74,nan 74,wound  hand swell  urgent care
75,like migrain yore describ  migrain vascular headach  discuss doctor appropri treatment start  daili headach month normal 75,stop use cocain tri  took 4 hit 10 min start feel heart pound  dizzi  nausea etc 75,multipl sclerosi  neurolog  neuromuscular disord  immunosuppress therapi 75,nausea  dizzi  pound heartbeat  vertigo  cocain
76,let back may sever thing go simultan  may relat pure coincident  yes ear infect associ refer pain area  truli tooth type pain acut hot cold pressur teeth found jaw line unless sever impact  signific surgeri  fair recent done  see dentist asap  otherwis ent consult 76,tmj caus ear pain  sore ear littl discomfort front ear  ear pain deep ach  jaw open crook pop  come  goe 76,orthodontia  fever  swell  feel anxious  bad breath  malocclus  blister  tooth pain  dental brace  teeth  mouth brace  leg pain  pain mouth sore  larg jaw  orthodont retain  cleft lip  lip blister  patient communic  protrud jaw  self ligat brace 76,earach  tmj syndrom
77,vagu question pretti vagu  clear state  opinion  didnt show enough inform  could pleas paraphras interpret sentenc 77,endodontist say dont need root canal  dentist say   pain sensit cold tooth 77,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 77,root canal  endodont
