0,cool mist humidifi use nasacortov counter 1 spray nostril day 34 day 0,use salt water nasal spray help prevent develop perfor septum 0,children health 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
21,yes yes common symptom  also tinnitus ring ear  dizzi sever enough make walk difficult  nausea uncomfort well  hope help 21,bump like zit rim head peni white forev never paid attent normal wro 21,nan 21,acn  pimpl
22,carotidynia carotidynia inflammatori process caus pain carotid arteri  pleas see vascular surgeon pain persist 22,otc mouth gaurd help till get see tmj doc cant see anoth 3 week sick ear full  dizzi  ent say prolli tmj 22,ct scan  stroke  varicos vein  carotid arteri diseas  venous insuffici  vascular ultrasound  aorta bilater iliofemor runoff cta 22,dizzi  tmj syndrom  ear full  ent head neck surgeri  ear nose throat  vertigo
23,common  routin remov make surgeri complic experienc surgeon 23,use nasal spray help treat deviat septum 23,sinus diseas 23,headach  deviat nasal septum  shock  surgeri  rhinoplasti  oxymetazolin  ent head neck surgeri  ear nose throat  cartilag
24,depend usual recommend dental sleep applianc  probabl mil form sleep apnea  mouthpiec effect cumbersom cpap machin even though  cpap gold standard treatment  mani mouthpiec  recommend possibl get one opinion  get one onlin drug store 24,sleep studi done child noth found sleep apena diagnos today think tmj seroquel chang breath talk pcp 24,tmj syndrom  sleep  headach  dentistri  tooth pain  sleep apnea  exercis  vitamin supplement  dental care  eat healthier  root canal  apnea  dizzi  hypothyroid  numb  exercis  manag tmj  snore  gum diseas  dental cari 24,tmj syndrom  sleep apnea  apnea  sleep studi  seroquel  quetiapin  children  sleep
25,knee surgeri yep  see lot  especi compress therapi use post knee surgeri   sometim compress therapi need extend foot 25,anyon know  hallux valgushamm toe correct surgeri  doctor arrang plaster pari bandag upto knee 25,surgeri  orthot  co2 laser  co2 laser  fungal nail infect  foot surgeri  orthot 25,bunion  hammer toe repair  bunion repair  hammerto correct  bunion remov  surgeri  hammer toe  hallux valgus  foot surgeri
26,snore hello  snore caus narrow breath pathway associ vibrat soft tissu upper airway  first recommend weight loss overweight  sleep partner notic stoppag breath  sleep apnea may present need thorough test  afrin help elimin snore  may improv nasal eval 26,way reduc loud someon snore complet stop snore 26,cough  ear infect  chronic sinus  headach  tonsil  endoscop sinus surgeri  voic disord  allerg reaction  eustachian tube dysfunct  throat cancer  acut sinus  noseble  gastroesophag reflux diseas  non allerg rhiniti  skin cancer  hear loss  nasal polyp  tinnitus 26,snore  sleep apnea  snore
27,unlik carpal tunnel numb thumb  index  long usual half ring finger  joint pain like arthriti 27,overthecount med joint pain ankl  knee  wrist  etc 27,carpal tunnel syndrom  carpal tunnel releas  numb  arthriti  surgeri  hand bone fractur  broken bone  hand tendon injuri  congenit abnorm 27,joint pain
28,genet rare famili genet risk  presenilin ii  amyloid precursor protein mutat  apo epsilon 4 homozyg state increas risk 28,vascular dementia wors alzheim   end stage 28,multipl sclerosi  headach  migrain  numb  stroke  cerebr vascular accid  neuropathi  dizzi  migrain headach  seizur  sleep  tingl  alzheim diseas  memori  dementia  exercis  weak  thorac outlet syndrom  memori loss  dementia lewi bodi 28,dementia  alzheim diseas  vascular dementia
29,abnorm lfts liver enzym may secondari cholecyst may fatti liver high cholesterol  physician howev check blood test viral hepat prior surgeri safe 29,last blood test result includ these: albumin 3 9  total protein 7 0  alkalin phosphatas 165  ast sgot 31  alt sgpt 86  bilirubin  total 0 5  bilirubin  direct 0 2  hint liver problem 29,irrit bowel syndrom  crohn diseas  chronic liver diseas  ulcer coliti  gerd 29,total protein  sgpt  sgot  protein  bilirubin  ast  alkalin phosphatas  albumin
30,see dentist  soft tissu abscess form  may need drainag procedur  call dds  ask oral surgeri referr 30,tooth abcess facial swell  puffi eye  swollen lip  went emerg room said hasnt spread  switch differ antibiot  okay 30,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 30,abscess  swollen eye  lip swell  facial swell  antibiot  facial
31,return dds seem still infect  may need swell treat local drain may need differ antibiot first one use didnt clearup infect  meanwhil use ice swell  20 min 31,root canal fill near 12 mth ago  abscess tooth  face swollen etc neck seem take amoxicillin day 31,nan 31,wound  abscess  antibiot  molar tooth  amoxil  amoxicillin  root canal
32,tmj like click joint indic disk movement displac  jaw click open feel slight clunk close term disk displac reduct indic jaw posit teeth togeth disk goe back posit open  like need tmj therapi train dentist resolv 32,botox tmj spasm month ago  know botox wea  possibl itll give muscl chanc heal  effect b longterm 32,tmj syndrom  mri tmj  tmj syndrom  mandibular advanc splint  tmj nois 32,tmj syndrom  botox  xeomin
33,probabl low  theoret possibl  virus live coupl hour outsid bodi inanim object  contact must almost immedi  also  must enter bodi mucus membran wound 33,get cold sore  transmit hsv1 someon genit oral sex dont cold sore 33,digit mammogram  mammogram  sonogram  ct scan  ultrasound breast  breast cancer  breast carcinoma  femal health  breast biopsi  breast needl biopsi  xray chest  mri breast  ct chest  mri breast contrast  mri scan  radiolog  ct abdomen  transvagin ultrasound pelvi  diagnost radiolog 33,cold sore  herp simplex  sex
34,call dentist symptom infect  best thing see dentist diagnos exact problem  antibiot may perscrib  antibiot may help feel better cure problem  treat infect cure  see dentist asap  delay make thing wors 34,cant tell  left jaw right back curv may ever slight swollen  swollen gland anywher els   tmj issu   concern 34,tooth pain  root canal  dentistri  tmj syndrom  tooth abscess  dri mouth  dental health  dental abscess  aphthous stomat  teeth  teeth clean  dental anxieti 34,tmj syndrom  enlarg lymph node  swollen gland  enlarg gland
35,meniscus cartilag knee joint  medial later meniscus sit side side  ligament hold everyth togeth  dont know what go knee  lock bent hurt lot probabl problem meniscus  ligament tear  also possibl small tibial plateau fractur  id find get proper treatment 35,neck knee arthritus  want whole bone structur evalu  type doctor call 35,dizzi  headach  seizur  seizur disord  depress  migrain  epilepsi  memori  vitamin b12  head injuri  head trauma  traumat nerv injuri  traumat brain injuri  aphasia 35,arthriti
36,joint swell gt6wks jia jra  general guid 1  age onset <16 yr 2  arthriti swell excess joint fluid  2 these: less full rang motion  tender pain motion   increas warmth least 1 joint 3 sign seen docfor > 6wks 4 type seen first 6 mo: polyarthritis: 5 inflam joint b oligoarthritis: 4 fewer joint c system fever  arthriti 5 caus 36,39 year old woman mild moder rheumatoid arthriti   cbc done  hemoglobin  hematocrit  mcv level low  iron normal rang 36,arthriti  pain joint  juvenil rheumatoid arthriti  juvenil idiopath arthriti  child health  rheumatrex  rheumatoid arthriti  enbrel  ra  autoimmun diseas  humira  lupus erythematosus  sjogren syndrom  remicad  psoriat arthriti  etanercept  pediatr rheumatolog  fibromyalgia  orencia  rituximab 36,arthriti  pain joint  rheumatoid arthriti  rheumat  hematocrit  complet blood count  cbc  iron
37,return return oral surgeon follow  may infect dri socket tmj  call 37,gum left cheek swollen decay wisdom tooth dentist doesnt want remov still swell  mani day last 37,orthodont  tooth pain  child health  dentistri  tmj syndrom  children health  surgeri  dental pain  oral surgeri  cari  abscess  dental care  oral maxillofaci surgeri  root canal  dental cari  dental health  tooth abscess  teeth  gum diseas  gingiv 37,nan
38,yes igm + get infect 1st time  becom negat  may becom + flare  igg stay + forev  get hsv1 fever blister most parent kiss  peopl get flare up frequent stress   cold     never get still shed pass  probabl parent 38,type herp simplex virus caus cold sore 38,nan 38,herp  cold sore  hsv  low temperatur  sex  travel  virus  nerv  herp simplex
39,see doctor easili diagnos treat local primari care physician  make sure noth serious go  better soon 39,question bladder  frequenc  urgenc  occasion incontin  uti  bladder pelvic floor prolaps 39,aid  pneumonia  urinari tract infect  sexual transmit diseas  infect heart valv  bacteri infect  bacteri endocard  osteomyel  respiratori tract infect  septic arthriti  pneumocysti jirovecii pneumonia  prophylact antibiot 39,urinari tract infect  urinari urgenc  incontin  urinari urgenc  age grace  estrogen  diet  caffein  hormon  bladder
40,difficult sinc difficult tell  alway recommend check heart first  sinc consequ miss cardiac diseas fatal  also  hiatal hernia mimic cardiac diseas larg  turn case  seek consult general thorac surgeon experienc laparoscop hiatal hernia repair 40,best medicin anxieti im celexa doesnt work  constant fear heart attack like father 40,hernia  surgeri  hiatal hernia  hernia repair  inguin hernia  lump groin  groin hernia  gastroesophag reflux diseas  umbil hernia  inguin hernia repair  umbil hernia repair  inguin hernia surgeri 40,feel anxious  heart attack  myocardi infarct  cardiac arrest  citalopram  celexa  anxieti
41,need evalu pain involv area call mastoid  pain movement neck  headach  blur vision right  concern symptom realli need evalu  could local infect call mastoid  someth wors  call doctor seen soon possibl 41,diagnos fibromyalgia 2005   got sever blur vision left eye  numb limb  dizzi  littl incontinec memori loss 41,femal health  menopaus  ovul  mens  tri conceiv  get pregnant  ectop pregnanc  third trimest pregnanc  diabet onset pregnanc  obstetr  high risk pregnanc  healthi pregnanc  gestat hypertens 41,dizzi  memori loss  numb  blurri vision  amnesia  fibromyalgia  incontin  hazi vision  irrit eye  memori
42,depress sign somat symptom depress includ low energi leaden feel arm leg difficulti fall asleep  stay asleep  wake earli morn sleep much frequent nap decreas appetit weight loss increas appetit w weight gain sexual arous difficulti erectil dysfunct delay orgasm inabl reach orgasm bodi ach gi upset paresthesia 42,parkinson symptom braindo caus dementia depress 42,nan 42,depress  dementia  parkinson diseas
43,possibl mucus retent cyst reflect chronic sinus often caus pain depend locat sinus blockag  blockag sometim cannot seen mri 43,brief episod pulsatil tinnitus left ear upon stand   multipl normal 3t mri cta head neck headach  normal bp weigh 43,ct scan  cancer  thyroid nodul  pet scan  mri head  mri scan  breast carcinoma  breast cancer  stress  surgeri  exercis  wrist pain  cerebr vascular accid  costochondr  rib fractur  stroke  skeleton xray  ultrasound 43,headach  magnet reson imag  mri  ring ear  tinnitus  cta  blood pressur
44,cervic spondylosi cervic spondylosi degen chang cervic spine could account symptom  numb present week  would suggest seen primari care physician  xray may indic depend result initi examin 44,3 day  ive sever headach  sever back neck joint pain  dizzi  bad fatigu  fever  mening 19yr ago  worri better 44,pain manag  back pain  sciatica  pinch nerv  intercost nerv block  leg pain  cortison inject  epidur steroid inject  intrathec pump 44,dizzi  fever  chest pain  headach  joint pain  sever headach  chest tight  lethargi  chest pressur  blood clot
45,side effect erythromycin caus stomach discomfort pain  tri take food  may reduc side effect 45,got test last week stds  receiv txt say syphili negat howev noth regard hiv test chlamydia yet negat sign 45,nan 45,sexual transmit infect  std  chlamydia infect  human immunodefici virus  syphili  hiv  hiv test
46,see surgeon could mani reason symptom rang postop infect muscl spasm  see surgeon evalu 46,swollen cheek  jaw gum left side  dentist provid amoxicillin metronidazol  toothach    what wrong 46,dental implant  teeth  bone graft  oral surgeri  wisdom tooth extract  dentoalveolar tumor remov 46,tooth pain  metrocream  norit  metronidazol  trikacid  flagyl er  flagyl  amoxil  amoxicillin
47,hemorrhoid probabl caus possiblilit anal fissur  cancer rectum  see doctor 47,bleed butt  hemorrhoid  tear  constip  come insid  bright red 47,dermatolog  gynecolog  allergi 47,constip  hemorrhoid  anal swell
48,possibl gallbladd locat pain symptom complex sound like may gallbladd problem  gallston  import see primari care physician evalu ultrasound gallbladd  gallston  may need diet modif stay away rich food possibl evalu surgeon 48,upper left abdomin pain year went doc 6 month ago us didnt see anyth go super busi  dont want unecessari bill 48,obes  diabet  bariatr 48,abdomin discomfort  abdomin pain  belli pain
49,sore throat long amoxicillin new fever pain feel like someth throat full would encourag continu give antibiot  encourag hydrat  monitor symptom  worsen doesnt resolv within 72ish hour start antibiot get reevalut 49,hidden white bump left tonsil  postnas drip  ear pain  tinnitus  pain swallow  sleep apnea  ear barotrauma  blurri vision  sore throat 49,children health  bruis  cough  acn  pimpl  ecchymos  abnorm blood pressur  cold sore  adenoid  itchi rash  enlarg adenoid  gum bleed 49,sore throat  earach  throat pain  apnea  sleep apnea  hazi vision  blurri vision  barotrauma  ring ear  post nasal drip
50,suffer alreadi return surgeon offic examin treatment  pleas call 50,jaw pain  headach ear pain pressur also painless lump chin jaw sure relat fever  pain reliev help 50,orthodont  tooth pain  child health  dentistri  tmj syndrom  children health  surgeri  dental pain  oral surgeri  cari  abscess  dental care  oral maxillofaci surgeri  root canal  dental cari  dental health  tooth abscess  teeth  gum diseas  gingiv 50,ear infect  headach disord  skin lump  deal wisdom teeth  lymphat  manag tmj
51,yes signific number patient rheumatoid arthriti negat blood test still diseas  histori  physic examin  xray  blood test may verifi diseas  lupus negat blood test rare 51,pain swollen joint wrist ankl  occasion red mark face  arm  chest  leg  ra lupus 51,gout  rheumatoid arthriti  scleroderma  ankylos spondyl 51,arthriti  joint swell  ra  rheumatoid arthriti  system lupus erythematosus
52,yes typic lower molar sometim bicuspid inflam infect pulp refer pain ear  seen axillari node swollen dental abscess 52,fungal infect bacteri infect peni groin lymph node swell 52,root canal  tooth pain  abscess  surgeri  anxieti  canker sore  inflamm gum  blister mouth  antibiot  earach 52,bacteri infect  fungal infect  bacteria
53,alway certain symptom common due yeast  mani caus detect exam simpl test  big mistak alway assum simpli yeast 53,skin anus irrit itchi  anus skin cut  open   peal skin  broken littl spot 2or 3 month  frustrat 53,exercis  menopaus  hormon replac therapi  heavi period 53,nan
54,hard say could either  doctor perform throat swab test sampl rule bacteri strep infect 54,pus cover swollen tonsil mean bacteria virus fever  chill ach 1 day extrem sore throat 54,lyme diseas  travel  transplant 54,sore throat  throat pain  fever  swollen tonsil  pus  virus  bacteria
55,seek attent would seek doctor familiar diagnos symptom  could includ neurologist headach specialist 55,tmj problem think wisdom teeth problem dizzi  headach  pressur molar area  test physician er came back fine could b teeth 55,sleep  tmj syndrom  sleep apnea  dentistri  facial pain  snore  apnea  dental health  tooth pain  manag tmj  dental pain  dental bite disturb 55,dizzi  headach  tmj syndrom  wisdom teeth
56,mayb  superfici thrombosi  physician treat aspirin  would aggress  especi sinc sickl cell  suggest consid warfarin xarelto real anti coagul 56,fractur finger doctor use method tape finger next tape  cut circul blood 56,varicos vein  spider vein  venous insuffici  laser treatment leg vein  leg ulcer 56,circul
57,depend discharg woman abnorm  normal  transit  depend histori  may import see provid sure  may abl run test discharg obtain complet histori  common caus discharg yeast  bacteri vaginosi stds even set discomfort smell 57,21yo femal  std free  small pimpl like sore lower right vulva  prescrib clotrimazol betamethason  2 month chang 57,cough  femal health  herp zoster  skin abscess  skin rash  stress  child health  sore throat  depress  dermatolog  bipolar disord  foot care  runni nose  sprain strain 57,pimpl  std  sexual transmit infect  sexual transmit diseas  valison  lotrimin  clotrimazol  celeston  betamethason
58,pneumothorax sound brother may one unlucki soul prone spontan pneumothorax  doctor plan scarif procedur remov problem portion lung  neither surgeri complex  patient well tini bit nonfunct lung gone lung scar stick chest wall  need info ask 58,fluid lung gb surgeri dementia cannot walk around much cough phlegm  treatment outlook still hospit 58,heart attack  difficulti breath  bypass surgeri  mitral valv replac  aortic valv replac  breathless  mitral stenosi  carotid arteri stenosi  heart transplant 58,cough  product cough  dementia  surgeri
59,unspecif pain need age health status proper answer 59,cut foot year ago there hard lump  mayb calcium buildup  may  rest realli realli hurt walk 59,foot surgeri  diabet foot  diabet neuropathi  wound care  foot ulcer 59,fibroma  podiatri  foot injuri  calcium
60,need evalu yes  describ lump evalu primari care physician surgeon  dont delay 60,expect go fine needl aspir biopsi breast 60,cancer  melanoma  stomach cancer  laparoscop surgeri  liver cancer  pancreat cancer 60,femal health  biopsi  fine needl aspir
61,bacteri vaginosi might bacteri vaginosi  yeast infect give thick white discharg trichomona disch thick frothi greenish yellow bacteri vaginosi treat antibiot treat metronidazol clindamycin  doctor make diagnosi treat sampl discharg check microscop  test drop potassium hydroxid hope improv soo 61,wet toilet paper like discharg  thick vagin dryness  std yeast 61,surgeri  kidney stone  cancer  bph  nephrolithiasi  enlarg prostat  urinari bleed  blood urin  male health  benign prostat hyperplasia  prostat cancer  circumcis  urinari retent  take antibiot 61,sexual transmit diseas  std  sexual transmit infect  bacteri infect vagina  vagin infect  vagin dryness  yeast  bacteria  vagin  candida
62,see physician  need examin physician 62,im small red bump toward vagina itch time time didnt shave 62,nan 62,small red bump  red bump
63,lack blood suppli yes  lack blood heart muscl blood vessel caus damag muscl 63,hernia stomach caus uncomfort chest feel  similar come heart attack 63,asthma  insomnia  obstruct sleep apnea  sleep disord  critic care 63,heart attack  hernia  myocardi infarct  cardiac arrest
64,tyelenol yes ask doctor dose tyelenol ok give 2mo infant  usual advis patient babi  1mo younger fever 100 4  like need seen  recommend motrin age 6mo  depend babi weight 64,ive fever month  11 day w relief alev tylenol  begin hour wake feel terribl  idea 64,child health  children health  pediatr  sleep  common cold  bronchiol 64,fever  tylenol  naproxen  alev  acetaminophen
65,mri consid suggest healthcar provid get mri check white matter diseas also consid evalu cervic spine area 65,blur vision cant focus  dizzi  nausea  heart feel like flutter ear jaw pain right side  blood work good cardio test good slow heart beat 65,colonoscopi  intern medicin  egd  stress echocardiographi  echocardiogram 65,dizzi  nausea  jaw pain  blurri vision  tmj syndrom  hazi vision  irrit eye  vision  dentistri
66,see doctor would see doctor go med side effect  pain contribut  zolpidem sleep medic bodi get use may need chang  event see doctor 66,hubbi alway congest  use nasal spray night despit direct snore loud due sleep apnea  cpap didnt work  advic 66,wound care 66,snore  apnea  sleep apnea  nasal spray  oxymetazolin  sleep  phenylephrin  snore  continu posit airway pressur  decongest
67, biopsi necessari definit diagnos malign  mammo us evalu give probabl malign base birad code: birad 2 benign  3 probabl benignless 1% chanc cancer  4 suspiciousabout 30% chanc  5 high suspiciousat least 75% 67,needl aspir cyst right breast didnt collaps 2nd asprtn 2 test cell unsur result biopsi done result fri    cancer 67,digit mammogram  mammogram  sonogram  ct scan  ultrasound breast  breast cancer  breast carcinoma  femal health  breast biopsi  breast needl biopsi  xray chest  mri breast  ct chest  mri breast contrast  mri scan  radiolog  ct abdomen  transvagin ultrasound pelvi  diagnost radiolog 67,ultrasound guid needl core biopsi breast  breast biopsi
68,gum remov tissu remov wisdom tooth help suffici room tooth erupt   tooth remov 68,dentist prescrib antibiot pain med tooth abscess yesterday  today still pain face swollen gum lip numb normal 68,dental care  dental pain  dental health 68,abscess  numb  tooth abscess  dental abscess  oral surgeri  pain medicin  antibiot  analges  oral maxillofaci surgeri
69,forget colon cancer headach  diarrhea  possibl nausea time year usual associ viral infect  go away time  keep fluid go 69,bodi ach diarrhea fever  saw md  got steroid shot  flustrep came back negat  could contagi 7mo old home 69,nan 69,flu  diarrhea  loos stool  fever  bodi ach  steroid shot  steroid
70,blood stool normal  green stool red spot tissu could secondari gastrointestin diseas  could coliti  inflamm intestin  protonix could caus diarrhea clostridium difficil induc intestin infect  see doctor 70,hospit 2 day due abdomin pain  doctor told complex 7cm ovarian cyst  go away  need surgeri 70,ulcer  iron defici anemia  abdomin pain  abdomin discomfort  pancreat  rheumatoid arthriti  lipas  manag tenni elbow  take statin  lyme diseas  diarrhea  treat poison ivi  poison oak  dermatomyos  live gout  ingrown toenail 70,abdomin discomfort  abdomin pain  ovarian cyst  belli pain  pain manag  surgeri
71,possibl sound like get sick  go see internist  would need cultur verifi strep throat  gargl warm salt water help sore throat  umcka cold flu help lot natur 71,neck pain  fluid behind ear  swollen gland neck cold sore right side   dr  put amoxil steriod  normal 71,bone graft  dental implant  cosmet  mouth biopsi  wisdom tooth extract 71,cold sore  neck pain  swollen gland  enlarg lymph node  enlarg gland  herp simplex  amoxil  amoxicillin
72,could  block eustachian tube  consult pcp 72,lump cheek bone  like firm sac  run direct diagon ear mouth deep  could anyth tooth jaw infectio 72,oral surgeri  tooth pain  dental health  abscess  gum diseas  dental abscess  sedat dentistri 72,nan
