0,septoplasti septal spur common find  surgeon equip manag issu 0,use salt water nasal spray help prevent develop perfor septum 0,deviat nasal septum  facelift  septoplasti  facial plastic surgeri  botox  ent head neck surgeri  dermal filler  deviat septum surgeri  eye lift  neck lift  brow lift  mini lift  revis rhinoplasti  constip  rhinoplasti  rhinoplasti  asian american health  asian eyelid surgeri  blepharoplasti 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
26,snore hello  snore caus narrow breath pathway associ vibrat soft tissu upper airway  first recommend weight loss overweight  sleep partner notic stoppag breath  sleep apnea may present need thorough test  afrin help elimin snore  may improv nasal eval 26,way reduc loud someon snore complet stop snore 26,cough  ear infect  chronic sinus  headach  tonsil  endoscop sinus surgeri  voic disord  allerg reaction  eustachian tube dysfunct  throat cancer  acut sinus  noseble  gastroesophag reflux diseas  non allerg rhiniti  skin cancer  hear loss  nasal polyp  tinnitus 26,snore  sleep apnea  snore
27,hope patient arthriti lead quit function live  number may modest function damag  keep work patient trivial problem  want drop diagnosi becom disabl 27,overthecount med joint pain ankl  knee  wrist  etc 27,arthriti  healthi eat  healthi cook  rheumatolog  nutrit support  metabol syndrom  rheumatoid arthriti  joint pain  sexual health  vitamin supplement  sport activ  psoriasi  improv relationship  gain muscl  prednison  age grace  immunolog  juvenil rheumatoid arthriti  aerob exercis 27,joint pain
28,start person doesnt believ problem  might want enlist aid sibl friend parent  ideal go doctor appoint  oppos may need send letter doctor  give specif exampl statement action concern 28,vascular dementia wors alzheim   end stage 28,dementia  alzheim diseas  depress  anxieti  vascular dementia  bipolar disord  schizophrenia  delirium  parkinson diseas  dementia lewi bodi  feel anxious 28,dementia  alzheim diseas  vascular dementia
29,might want    bilirubin high  especi indirect fraction  alkalin phosphatas also high  might need test find caus appear yove got process increas liver activ possibl hemolys break red cell  itd best see doctor test liver blood cell exam find caus 29,last blood test result includ these: albumin 3 9  total protein 7 0  alkalin phosphatas 165  ast sgot 31  alt sgpt 86  bilirubin  total 0 5  bilirubin  direct 0 2  hint liver problem 29,infecti diseas  healthi live  head neck cancer  endocrin disord 29,total protein  sgpt  sgot  protein  bilirubin  ast  alkalin phosphatas  albumin
30, bite concern infect express doctor correct  itchi make wonder bug bite see doctor 30,tooth abcess facial swell  puffi eye  swollen lip  went emerg room said hasnt spread  switch differ antibiot  okay 30,vaccin  autism  autism spectrum disord  adhd  immun  cough  asthma  fever  croup  infecti diseas  behavior problem 30,abscess  swollen eye  lip swell  facial swell  antibiot  facial
31,need reevalu cocodamol pain killer  abscess cure  amoxicillin suppos prevent spread infect  cure abscess  abscess cure w root canal rx extract  pleas call dentist report current status ask advic 31,root canal fill near 12 mth ago  abscess tooth  face swollen etc neck seem take amoxicillin day 31,orthodont  tooth pain  child health  dentistri  tmj syndrom  children health  surgeri  dental pain  oral surgeri  cari  abscess  dental care  oral maxillofaci surgeri  root canal  dental cari  dental health  tooth abscess  teeth  gum diseas  gingiv 31,wound  abscess  antibiot  molar tooth  amoxil  amoxicillin  root canal
32,malocclus malocclus upper lower teeth like explan  also relat tmj bruxism may explain night time symptom  dentist oral surgeon help 32,botox tmj spasm month ago  know botox wea  possibl itll give muscl chanc heal  effect b longterm 32,back pain  pain back  neck pain  suboxon  pain manag  pinch nerv  muscl spasm  epidur steroid inject  degen disc diseas  sciatica 32,tmj syndrom  botox  xeomin
33,herp transmiss herp simplex virus hsv two types: type general infect mouth produc fever blister  type ii common genit  howev  perform oral sex someon infect hsv ii result oral herp  blood test quick determin yove infect either strain  antivir help reduc shed infect 33,get cold sore  transmit hsv1 someon genit oral sex dont cold sore 33,prostat cancer  bph  prostat specif antigen  erectil dysfunct  testosteron  urinari incontin  robot surgeri  treat kidney stone  kidney cancer 33,cold sore  herp simplex  sex
34,see pcp import make accur diagnosi ensur correct treatment given  see doctor consult test diagnosi 34,cant tell  left jaw right back curv may ever slight swollen  swollen gland anywher els   tmj issu   concern 34,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 34,tmj syndrom  enlarg lymph node  swollen gland  enlarg gland
35,typic nondisplac fractur toe treat postop walk shoe noth depend amount pain 35,neck knee arthritus  want whole bone structur evalu  type doctor call 35,broken bone  knee arthroscopi  shoulder arthroscopi  knee replac  hip repair 35,arthriti
36,sometim child anemia reach level therapeut iron need  cramp  constip seen occasion  full srength juic sometim counter effect  seen iron content regular formula 36,39 year old woman mild moder rheumatoid arthriti   cbc done  hemoglobin  hematocrit  mcv level low  iron normal rang 36,child health  chickenpox  ear infect  sleep hygien  learn disord 36,arthriti  pain joint  rheumatoid arthriti  rheumat  hematocrit  complet blood count  cbc  iron
37,possibl need return oral surgeon immedi hav area check complic 37,gum left cheek swollen decay wisdom tooth dentist doesnt want remov still swell  mani day last 37,gum diseas  tooth pain  teeth clean 37,nan
38,yes hsv virus shed even dont sore  much less like  still possibl 38,type herp simplex virus caus cold sore 38,femal health  contracept  mens  healthi pregnanc  bleed  pap smear  vulvodynia  hysteroscopi  minim invas surgeri  dysfunct uterin bleed 38,herp  cold sore  hsv  low temperatur  sex  travel  virus  nerv  herp simplex
39,depend usual pregnant classic symptom urinari tract infect  dont need urin cultur  take simpl antibiot three day  pregnant  howev  urin cultur obtain prior initi antibiotc  also repeat urin cultur finish antibiot make sure infect gone 39,question bladder  frequenc  urgenc  occasion incontin  uti  bladder pelvic floor prolaps 39,contracept  nutrit  safeti 39,urinari tract infect  urinari urgenc  incontin  urinari urgenc  age grace  estrogen  diet  caffein  hormon  bladder
40,may hiatal hernia  part stomach move chest  howev symptom suggest heart attack taken light consult doctor earliest 40,best medicin anxieti im celexa doesnt work  constant fear heart attack like father 40,cancer  nutrit  cervic cancer  ovarian cancer 40,feel anxious  heart attack  myocardi infarct  cardiac arrest  citalopram  celexa  anxieti
41,brain aneurysm vascular structur detect plain ct scan  would need mri mra  suggest see neurologist symptom get appropri test order 41,diagnos fibromyalgia 2005   got sever blur vision left eye  numb limb  dizzi  littl incontinec memori loss 41,nan 41,dizzi  memori loss  numb  blurri vision  amnesia  fibromyalgia  incontin  hazi vision  irrit eye  memori
42,osa yes  creat irrit  depress like symptom  poor concentr  poor memori mani other 42,parkinson symptom braindo caus dementia depress 42,sleep apnea  copd  interstiti lung diseas  sarcoidosi 42,depress  dementia  parkinson diseas
43,headach yes  multipl sclerosi ms plaqu common found mri studi along corpus callosum  periventricular white matter  cerebellum  brain stem  spinal cord  lumbar punctur analysi cerebrospin fluid make diagnosi ms  see neurologist manag headach dysesthesia 43,brief episod pulsatil tinnitus left ear upon stand   multipl normal 3t mri cta head neck headach  normal bp weigh 43,back pain  headach  pain back  sciatica  herniat disk  concuss  neck pain  nerv damag  bulg disk  pinch nerv  brain tumor  hydrocephalus  seizur  brain aneurysm  peripher neuropathi  trigemin neuralgia  sacroiliac joint inject 43,headach  magnet reson imag  mri  ring ear  tinnitus  cta  blood pressur
44,get check depend live  yove travel varieti factor havent mention  best advic seek advic local health care provid  live us base age  like problem infect bronchiti pneumonia  yoll want get check soonest 44,3 day  ive sever headach  sever back neck joint pain  dizzi  bad fatigu  fever  mening 19yr ago  worri better 44,diabet  migrain headach  child develop  women health  prevent medicin 44,dizzi  fever  chest pain  headach  joint pain  sever headach  chest tight  lethargi  chest pressur  blood clot
45,test stds part cbc order  pleas ask doctor specif check stds 45,got test last week stds  receiv txt say syphili negat howev noth regard hiv test chlamydia yet negat sign 45,diabet  diabet type 2  headach  ra  sciatica  overcom fatigu  hypertens  weight manag program 45,sexual transmit infect  std  chlamydia infect  human immunodefici virus  syphili  hiv  hiv test
46,need seen treat chlamydia like pid  still abnorm discharg  realli need seen  noth solv make symptom go away  infect need identifi proper treat 46,swollen cheek  jaw gum left side  dentist provid amoxicillin metronidazol  toothach    what wrong 46,femal health  menopaus  ovul  mens  tri conceiv  get pregnant  ectop pregnanc  third trimest pregnanc  diabet onset pregnanc  obstetr  high risk pregnanc  healthi pregnanc  gestat hypertens 46,tooth pain  metrocream  norit  metronidazol  trikacid  flagyl er  flagyl  amoxil  amoxicillin
47,anal fissur probabl lot unconsci hold part hemorrhoid anal fissur caus pain bowel movement  would tri make stool even softer difficult take 2 hour pass singl bm 47,bleed butt  hemorrhoid  tear  constip  come insid  bright red 47,cough  contracept  children health  surgeri  ear infect  otiti media  bruis  home remedi  adolesc health  neonatolog  childhood immun  pediatr dermatolog  get pierc  asthma children  topic medic laser treatment  adult immun  botox 47,constip  hemorrhoid  anal swell
48,discuss need discuss gyn could need surgeri futur 48,upper left abdomin pain year went doc 6 month ago us didnt see anyth go super busi  dont want unecessari bill 48,anesthesia  cardiac bypass 48,abdomin discomfort  abdomin pain  belli pain
49,blur vision unrel knot pain behind ear sound like infecti process  blur vision seem total unrel 49,hidden white bump left tonsil  postnas drip  ear pain  tinnitus  pain swallow  sleep apnea  ear barotrauma  blurri vision  sore throat 49,open angl glaucoma  cataract surgeri 49,sore throat  earach  throat pain  apnea  sleep apnea  hazi vision  blurri vision  barotrauma  ring ear  post nasal drip
50,wisdom teeth wisdom teeth caus problem earach need come  experienc pain  swollen gum  lymph node go away find difficult open mouth  see dentist evalu  xray wisdom teeth remov 50,jaw pain  headach ear pain pressur also painless lump chin jaw sure relat fever  pain reliev help 50,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 50,ear infect  headach disord  skin lump  deal wisdom teeth  lymphat  manag tmj
51,food allergi three antihistamin taken  prescript antihistamin take counter like claritn  benadryl  allegra zyrtec  know allerg  alreadi recommend consult allergist food allergi caus rash swell joint well rheumatoid arthriti caus rash  consult md allergist rheumatologist  one 51,pain swollen joint wrist ankl  occasion red mark face  arm  chest  leg  ra lupus 51,asthma  pediatr  immun  prevent medicin  metabol syndrom  endocrinolog 51,arthriti  joint swell  ra  rheumatoid arthriti  system lupus erythematosus
52,sure infect spread  pleas see dentist asap 52,fungal infect bacteri infect peni groin lymph node swell 52,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 52,bacteri infect  fungal infect  bacteria
53,md problem last long requir attent physician  may refer ent  may may want go direct ent requir referr primari care physician 53,skin anus irrit itchi  anus skin cut  open   peal skin  broken littl spot 2or 3 month  frustrat 53,sleep  dizzi  tooth pain  tmj syndrom  daytim sleepi  gum diseas  drowsi  oral hygein  dentistri  sleep apnea  loud snore  dental care  migrain headach  mouth brace  periodont  morn headach  bad breath  miss teeth  thumbsuck 53,nan
54,c md cultur yes may strep throat  see physician health center throat cultur 54,pus cover swollen tonsil mean bacteria virus fever  chill ach 1 day extrem sore throat 54,breast implant  liposuct  tummi tuck  facelift  breast augment  tuck  facial plastic surgeri  labiaplasti  labial reduct 54,sore throat  throat pain  fever  swollen tonsil  pus  virus  bacteria
55,get check see doctor dentist evalu  symptom could mani caus  dental medic issu overlap symptom 55,tmj problem think wisdom teeth problem dizzi  headach  pressur molar area  test physician er came back fine could b teeth 55,tooth pain  root canal  dentistri  tmj syndrom  tooth abscess  dri mouth  dental health  dental abscess  aphthous stomat  teeth  teeth clean  dental anxieti 55,dizzi  headach  tmj syndrom  wisdom teeth
56,doctor stool occult blood simpl test   could doctor offic quick inexpens screen test colon cancer  howev accur test colon cancer colonoscopi  inform avail local hospit american cancer societi offic free 56,fractur finger doctor use method tape finger next tape  cut circul blood 56,cancer  hernia  hemorrhoid  wart 56,circul
57,yeast std allergi yeasi infect respond antifung cream lotrimin monistat  see famili gyn dr  chanc might sexual transmit diseas  could allerg soap shave cream use  symptom could 3  good luck 57,21yo femal  std free  small pimpl like sore lower right vulva  prescrib clotrimazol betamethason  2 month chang 57,circumcis  bedwet  incontin  kidney problem  hypospadia repair  bladder exstrophi repair 57,pimpl  std  sexual transmit infect  sexual transmit diseas  valison  lotrimin  clotrimazol  celeston  betamethason
58,viral cold  antibiot treat bacteri infect  e  strept  ear infect  sinus infxn pneumonia  viral cold  symptom may start sore throat  occl post nasal drainag caus throat pain  cold transit chest congest  cough  amox treat cough prevent sourc viral  fluid  warm liq  honey  humidifi  f u w  doc wors  advic 58,fluid lung gb surgeri dementia cannot walk around much cough phlegm  treatment outlook still hospit 58,primari care servic 58,cough  product cough  dementia  surgeri
59,concern lot weight transmit foot walk normal  someth wrong scenario describ  see podiatrist xray evalu  may done damag origin realiz 59,cut foot year ago there hard lump  mayb calcium buildup  may  rest realli realli hurt walk 59,surgeri  ingrown toenail  toenail  verruca  plantar wart  wart  athlet foot  foot care  toenail fungus  flat feet  orthot  minim invas surgeri  foot health 59,fibroma  podiatri  foot injuri  calcium
60,sometim  lesion determin high level assur benign lesion determin malign    also mani lesion cannot determin high degre certainti sstudi alon 60,expect go fine needl aspir biopsi breast 60,nan 60,femal health  biopsi  fine needl aspir
61,unlik sound like yeast infect  see doctor sure 61,wet toilet paper like discharg  thick vagin dryness  std yeast 61,lose weight  botox  well lifestyl  bioident hormon  facial filler 61,sexual transmit diseas  std  sexual transmit infect  bacteri infect vagina  vagin infect  vagin dryness  yeast  bacteria  vagin  candida
62,difficult tell read descript  best exam physician  especi experienc symptom e g   throat pain  fever  chill  pain swallow  etc  determin small bump back mouth evalu small red vein 62,im small red bump toward vagina itch time time didnt shave 62,skin rash  help child colleg  migrain  migrain headach  stiff neck 62,small red bump  red bump
63,heart test pretti much rule heart caus symptom 63,hernia stomach caus uncomfort chest feel  similar come heart attack 63,famili relationship  hospic care  emerg medic care  high risk pregnanc  educ 63,heart attack  hernia  myocardi infarct  cardiac arrest
64,need know normal someon take much ibuprofen  long  without definit etiolog pain  mean  chang medic  know take first place noth think hurt 10day cannot dealt ibuprofen  readili  usual  much shorter period time 64,ive fever month  11 day w relief alev tylenol  begin hour wake feel terribl  idea 64,root canal  dentistri  teeth clean  cancer  dental care  eat healthier  mouth cancer  dental health  tooth pain  anesthesia  oral cancer  abscess  cleocin  chest pain  tooth abscess  sexual transmit infect  mono 64,fever  tylenol  naproxen  alev  acetaminophen
65,examin  sound like sinus  tri counter decongest ibuprofen  dizzi due inner ear adjac sinus affect 65,blur vision cant focus  dizzi  nausea  heart feel like flutter ear jaw pain right side  blood work good cardio test good slow heart beat 65,cataract  cataract surgeri  glaucoma  dri eye  ophthalmolog  cataract remov  retin disord  eyelid surgeri  corneal opac 65,dizzi  nausea  jaw pain  blurri vision  tmj syndrom  hazi vision  irrit eye  vision  dentistri
66,yes nasal obstruct nasal septal deviat contribut obstruct sleep apnea osa  untreat osa may worsen high blood pressur issu  increas risk cardiovascular diseas older  may need evalu upper respiratori airway polysomnogram sleep studi proper diagnosi 66,hubbi alway congest  use nasal spray night despit direct snore loud due sleep apnea  cpap didnt work  advic 66,deviat nasal septum  sinus pain  chronic sinus  nasal turbin reduct  endoscop sinus surgeri  septoplasti  rhinolog  paranas sinus cancer  non allerg rhiniti  manag hay fever  treat sinus  frequent sinus infect 66,snore  apnea  sleep apnea  nasal spray  oxymetazolin  sleep  phenylephrin  snore  continu posit airway pressur  decongest
67,fast result fast inform procedur  pain good hand  smear show benign malign find 67,needl aspir cyst right breast didnt collaps 2nd asprtn 2 test cell unsur result biopsi done result fri    cancer 67,cancer  pap smear  femal health  thyroid cancer  gastriti  human immunodefici virus  hep c  hepat c  fine needl aspir  thyroid nodul  skin biopsi  pimpl  colonoscopi  mole  melanoma  skin cancer  ulcer  migrain  cervic  antithyroid medic 67,ultrasound guid needl core biopsi breast  breast biopsi
68,jaw pain im sure question  sinc pain  especi ongo problem gone away year  logic smart approach would see dentist evalu need remov problemat wisdom tooth make sure dental problem requir treatment 68,dentist prescrib antibiot pain med tooth abscess yesterday  today still pain face swollen gum lip numb normal 68,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 68,abscess  numb  tooth abscess  dental abscess  oral surgeri  pain medicin  antibiot  analges  oral maxillofaci surgeri
69,infect pleas seek doctor care tonight tomorrow diagnosi treatment  feel better 69,bodi ach diarrhea fever  saw md  got steroid shot  flustrep came back negat  could contagi 7mo old home 69,vision  sleep  glass  ophthalmolog  contact len  neurolog  farsighted  cross eye  blurri vision  eyeglass  malaria  cataract surgeri  strabismus  vision loss  loss vision  high forehead  hallucin  dim vision  eye floater  nasal 69,flu  diarrhea  loos stool  fever  bodi ach  steroid shot  steroid
70,stitch pain swell oral surgeri subsid time  usual week less  stitch remov determin subsid  follow direct given dentist reduc chanc excess swell infect 70,hospit 2 day due abdomin pain  doctor told complex 7cm ovarian cyst  go away  need surgeri 70,tmj syndrom  cosmet dentistri  dental health  esthet dentistri 70,abdomin discomfort  abdomin pain  ovarian cyst  belli pain  pain manag  surgeri
71,see dentist asap tooth infect wont go away without treatment infect may spread jaw  cheek  sinus area bodi  dentist treat tooth abscess treat caus get rid infect  see dentist asap tooth infect treatment 71,neck pain  fluid behind ear  swollen gland neck cold sore right side   dr  put amoxil steriod  normal 71,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 71,cold sore  neck pain  swollen gland  enlarg lymph node  enlarg gland  herp simplex  amoxil  amoxicillin
72,benign malign pleas show neck lump primari doctor ask perform fine needl aspir fast inform procedur  fna doctor aspir cell lesion thin needl evalu cell microscop  doctorpathologist tell benign malign tumor  possibl  pleomorph adenomabenign tumor  doctor examin necessari 72,lump cheek bone  like firm sac  run direct diagon ear mouth deep  could anyth tooth jaw infectio 72,cancer  pap smear  femal health  thyroid cancer  gastriti  human immunodefici virus  hep c  hepat c  fine needl aspir  thyroid nodul  skin biopsi  pimpl  colonoscopi  mole  melanoma  skin cancer  ulcer  migrain  cervic  antithyroid medic 72,nan
