0,salin suction  safest effect treatment salin nose drop suction  elev head crib use humidifi help   cold cough medicin proven ineffect serious side effect  fda take market gradual  doesnt help  child need see doctor see cold 0,use salt water nasal spray help prevent develop perfor septum 0,asthma  development delay  prematur babi  eczemat rash 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
11,fibroadenoma benign tumor cannot becom malign  rare type local aggress within breast  call phyllod tumor  type fibroadenoma  would recommend surgic remov  otherwis  fibroadenoma left breast diagnosi establish  provid larg pain 11,mom 72 breast cancer spread brain reciv hyperbar oxygen therapi larg knot upper thigh im concern 11,cancer  breast cancer  hernia  laparoscop surgeri  mammogram  gallston  abdomin pain  breast lump  append  inguin hernia  mastectomi  gallbladd diseas 11,hyperbar chamber  hyperbar oxygen therapi  procedur hbot
12,patient common experi pain swell wisdom tooth extract  may last 710 day  experi sever pain swell 7 day tooth remov  visit dentist rule complic 12,im 17 jaw pain 9 week mom dentist say tmj due stress never look jaw wisdom teeth alreadi hurt open 12,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 12,stress  tmj syndrom  jaw pain  wisdom teeth  dentistri
13,med cognit aricept namenda studi patient various type dementia alzheim diseas  vascular dementia  lewi bodi dementia  etc    studi most assess effect think  also found help activ daili live behavior  therefor even patient cant talk  medic could still help  talk patient md stop 13,better altern risperidon  given side effect  discuss mom doc  tia develop occassion hallucin  lewi bodi dementia parkinson 13,dementia  alzheim diseas  memori loss  aphasia 13,vascular dementia  parkinson diseas  dementia lewi bodi  cholinesteras inhibitor  antipsychot
14,mayb mri brain look brain would show brain mass  small lesion ear intern auditori canal may miss unless mri focus ear perform use smaller field view  talk doctor 14,r area head would hurt u tmj mine hurt top  n front ear mri brain normal 41813 lot ha 14,radiolog  diagnost radiolog 14,chronic pain  persist pain  tmj syndrom  dentistri  mri brain  mri  magnet reson imag
15,unusu normal see red lower leg associ pain cellul circul   may allerg reaction someth  see doctor 15,notic squat knee joint make weird crack nois   doesnt hurt sound like im crack knuckl  strech almost daili 15,bunion  diabet foot  ankl fractur  foot surgeri  ankl surgeri  ankl disord 15,nan
16,dentist see dentist asap  damag teeth let bacteria leak bloodstream caus health issu  enlarg lymph node may sign might infect  take care quick 16,sore pain tooth  sore jaw swollen gland side   antibiot help  swell gum around tooth 16,vitamin defici  vitamin supplement  vitamin b12  hypothyroid  underact thyroid  celiac diseas  gluten free diet  depress  mthfr dna mutat  homocystein  chronic fatigu  lyme diseas  magnesium defici  integr medicin  hyperthyroid  magnesium sulfat  hashimoto thyroid  triiodothyronin  revers rt3  magnesium rbc 16,swollen gland  enlarg lymph node  enlarg gland  antibiot
17,tmj tmj problem rise age  see dentist train experi diagnos treat tmj  may prosthodontist  general denti oral surgeon 17,tmj also caus stiff neckjaw line ach  ring ear  stiff neck  slight vertigo jaw stiff move fine jaw click crack help 17,tooth pain  root canal  dentistri  tmj syndrom  tooth abscess  dri mouth  dental health  dental abscess  aphthous stomat  teeth  teeth clean  dental anxieti 17,headach  dizzi  tmj syndrom  grind teeth  stiff neck  ring ear  vertigo
18,depend  mayb digit mammogram standard mammogram  sometim ultrasound may ad get inform  especi dens breast tissu  younger women dens breast  mammogram may done go straight ultrasound  breast radiologist breast surgeon abl make appropri recommend 18,need mammogram breast ultrasound 18,breast cancer  breast carcinoma  mammogram  mastectomi  breast lump  breast tender  fibrocyst breast diseas  lumpectomi  breast abscess  breast biopsi  male breast cancer  metastat breast cancer  breast diseas  breast conserv surgeri  breast discharg 18,breast cancer  cancer  calcium  biopsi  repeat ultrasound  ultrasound breast  sonogram  mammogram  digit mammogram
19,osa yes  creat irrit  depress like symptom  poor concentr  poor memori mani other 19,hi    way get rid snore   mom srver problem snore 19,sleep apnea  copd  interstiti lung diseas  sarcoidosi 19,snore  sleep apnea  snore
20,sore throat symptom sound like serious throat infect virus  stiff neck could indic serious infect occur  pleas evalu primari care physician urgent care er soon possibl 20,cut kitchen knife tuesday  yesterday woke sore throat difficulti  swallow  today stiff jaw tetnaus anoth infect cut 20,throat pain  sore throat  headach  heartburn  back pain  earach  stiff neck  diarrhea  nutrit  loos stool  pain back  burn  abscess  dizzi  indigest  cough  incontin  urinari urgenc  roentgen ray  blister 20,throat pain  sore throat  stiff  swallow disord  difficulti swallow
21,unusu labyrinthin disord unusu also experi visual symptom well vertigo  concern consult neurologist otolaryngologist special posit vertigo full evalu treatment 21,bump like zit rim head peni white forev never paid attent normal wro 21,nan 21,acn  pimpl
22,        think carotid arteri mani thing caus unusu sensat neck  carotid arteri diseas caus sensat neck 22,otc mouth gaurd help till get see tmj doc cant see anoth 3 week sick ear full  dizzi  ent say prolli tmj 22,deep venous thrombosi  blood clot leg  aortic aneurysm  peripher arteri diseas  dialysi servic  peripher vascular diseas  angiogram aortoiliac arteri  skin ulcer  vascular condit  dvt prophylaxi 22,dizzi  tmj syndrom  ear full  ent head neck surgeri  ear nose throat  vertigo
23,septoplasti septal spur common find  surgeon equip manag issu 23,use nasal spray help treat deviat septum 23,deviat nasal septum  facelift  septoplasti  facial plastic surgeri  botox  ent head neck surgeri  dermal filler  deviat septum surgeri  eye lift  neck lift  brow lift  mini lift  revis rhinoplasti  constip  rhinoplasti  rhinoplasti  asian american health  asian eyelid surgeri  blepharoplasti 23,headach  deviat nasal septum  shock  surgeri  rhinoplasti  oxymetazolin  ent head neck surgeri  ear nose throat  cartilag
24,immedi accord 2006 american academi sleep medicin practic paramet  oral applianc indic use patient mild moder obstruct sleep apnea prefer cpap complet dentist advanc train sleep medicin  followup psg test done sleep physician give object evid effect 24,sleep studi done child noth found sleep apena diagnos today think tmj seroquel chang breath talk pcp 24,sleep  tmj syndrom  teeth  snore  sleep apnea  apnea  root canal  oral surgeri  dentistri  tooth pain  dental implant  cleft lip  bone loss  orthodontia 24,tmj syndrom  sleep apnea  apnea  sleep studi  seroquel  quetiapin  children  sleep
25,swollen foot knee surgeri disrupt lymph system leg could predispos swell foot 25,anyon know  hallux valgushamm toe correct surgeri  doctor arrang plaster pari bandag upto knee 25,musculoskelet problem  spine manipul  prolotherapi  stem cell therapi  bioident hormon 25,bunion  hammer toe repair  bunion repair  hammerto correct  bunion remov  surgeri  hammer toe  hallux valgus  foot surgeri
26,yes might easili overlook condit call upper airway resist syndrom   check ent physician thorough evalu possibl surgic option 26,way reduc loud someon snore complet stop snore 26,copd  sleep apnea  asthma  lung cancer 26,snore  sleep apnea  snore
27,possibl hand numb  wristnumb  symptom carpal tunnel syndrom  pain digit hand  predomin symptom felt first three digit hand  electro diagnost test may help determin carpal tunnel syndrom someth els 27,overthecount med joint pain ankl  knee  wrist  etc 27,carpal tunnel syndrom  muscl strain  backach  rotat cuff injuri  knee pain 27,joint pain
28,like yes strong histori alzheim diseas famili like grandpar  parent  uncl  aunt  brother sister  could risk develop 28,vascular dementia wors alzheim   end stage 28,dementia  alzheim diseas  caregiv  delirium  chronic ill 28,dementia  alzheim diseas  vascular dementia
29,lab valu describ caus problem surgeri  reason need surgeri import issu 29,last blood test result includ these: albumin 3 9  total protein 7 0  alkalin phosphatas 165  ast sgot 31  alt sgpt 86  bilirubin  total 0 5  bilirubin  direct 0 2  hint liver problem 29,cancer  nutrit  cervic cancer  ovarian cancer 29,total protein  sgpt  sgot  protein  bilirubin  ast  alkalin phosphatas  albumin
30,tooth abscess antibiot pain medic part manag abscess tooth help tempor thing get definit treatment  extract tooth  pleas make appoint see dentist oral surgeon sooner later 30,tooth abcess facial swell  puffi eye  swollen lip  went emerg room said hasnt spread  switch differ antibiot  okay 30,sore throat  diabet  hypertens  urinari tract infect  cardiopulmonari resuscit  acut cardiovascular diseas 30,abscess  swollen eye  lip swell  facial swell  antibiot  facial
31,see dentist call dentist asap  antibiot may effect infect problem root canal fill  treat endodontist see one time 31,root canal fill near 12 mth ago  abscess tooth  face swollen etc neck seem take amoxicillin day 31,tooth pain  root canal  dentistri  tmj syndrom  tooth abscess  dri mouth  dental health  dental abscess  aphthous stomat  teeth  teeth clean  dental anxieti 31,wound  abscess  antibiot  molar tooth  amoxil  amoxicillin  root canal
32,problem still swell tissu respons injuri infect  would check dentist see exist  click indic problem insid joint sinc back joint share structur ear  may relationship well  requir comprehens evalu treatment tmj problem dont cure 32,botox tmj spasm month ago  know botox wea  possibl itll give muscl chanc heal  effect b longterm 32,tmj syndrom  pain manag  orthodontia  periodont 32,tmj syndrom  botox  xeomin
33, herp direct inanim object cannot safe harbor hsv cold sore allow someon els touch becom infect  herp transmit direct human human contact  occas infect fluid say share straw  dont think worri case  wasnt real exposur  good alway protect howev practic good hygien 33,get cold sore  transmit hsv1 someon genit oral sex dont cold sore 33,gastroenter  viral infect  hiv aid  travel medicin  clostridium difficil  rabi  infecti diseas  travel vaccin  zoster vaccin 33,cold sore  herp simplex  sex
34,see dentist asap tooth infect wont go away without treatment infect may spread jaw  cheek  sinus area bodi  dentist treat tooth abscess treat caus get rid infect  see dentist asap tooth infect treatment 34,cant tell  left jaw right back curv may ever slight swollen  swollen gland anywher els   tmj issu   concern 34,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 34,tmj syndrom  enlarg lymph node  swollen gland  enlarg gland
35,yes  yod need mri arthroscopi know sure  unless definit symptom 35,neck knee arthritus  want whole bone structur evalu  type doctor call 35,nan 35,arthriti
36,immun dysfunct jra also call jia juvenill idiopath arthriti diseas unknown etiolog  mani theori happen  mani believ virus respons  damag joint  pain stiff due inappropri immun respons result immun system attack tissu host patient  rheumatologist provid appropri dx rx 36,39 year old woman mild moder rheumatoid arthriti   cbc done  hemoglobin  hematocrit  mcv level low  iron normal rang 36,scoliosi  cerebr palsi  neuromuscular disord  unsteadi gait  bone fractur repair 36,arthriti  pain joint  rheumatoid arthriti  rheumat  hematocrit  complet blood count  cbc  iron
37,trismus common common complic wisdom tooth remov trismus  tight jaw muscl  take nsaid otc  moist heat compress soft diet 37,gum left cheek swollen decay wisdom tooth dentist doesnt want remov still swell  mani day last 37,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 37,nan
38,yes although much higher amount virus found time lesion cold sore present  asymptomat shed hsv1 certain occur seroposit peopl  shed result transmiss  peopl  time reach adulthood  seroposit 38,type herp simplex virus caus cold sore 38,vaccin  aid  viral hepat  biodefens bioterror  foodborn ill 38,herp  cold sore  hsv  low temperatur  sex  travel  virus  nerv  herp simplex
39,push fluid increas fluid cranberri may help  ideal see pcp go urgent care 39,question bladder  frequenc  urgenc  occasion incontin  uti  bladder pelvic floor prolaps 39,incontin  pain bladder syndrom  urinari incontin  menorrhagia  vagin prolaps  pelvic support problem 39,urinari tract infect  urinari urgenc  incontin  urinari urgenc  age grace  estrogen  diet  caffein  hormon  bladder
40,dont go toer sudden chest pain due unknown caus must go nearest er make sure heart attach  save life   home remedi kit rule 40,best medicin anxieti im celexa doesnt work  constant fear heart attack like father 40,cancer  hernia  hemorrhoid  wart 40,feel anxious  heart attack  myocardi infarct  cardiac arrest  citalopram  celexa  anxieti
41,blur vision unrel knot pain behind ear sound like infecti process  blur vision seem total unrel 41,diagnos fibromyalgia 2005   got sever blur vision left eye  numb limb  dizzi  littl incontinec memori loss 41,open angl glaucoma  cataract surgeri 41,dizzi  memori loss  numb  blurri vision  amnesia  fibromyalgia  incontin  hazi vision  irrit eye  memori
42,physic symptom includ sleep disturb  either oversleep insomnia  appetit disturb  either over anorexia  energi disturb  either low energi agit 42,parkinson symptom braindo caus dementia depress 42,depress  schizophrenia  addict  panic attack 42,depress  dementia  parkinson diseas
43,possibl possibl  common howev  rais possibl radiograph find someth mucus retent cyst  see ent doc evalu 43,brief episod pulsatil tinnitus left ear upon stand   multipl normal 3t mri cta head neck headach  normal bp weigh 43,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 43,headach  magnet reson imag  mri  ring ear  tinnitus  cta  blood pressur
44,possibl arthriti onset progress symptom suggest joint becom pain one  headach occur arthriti neck  swell hand arthriti compress median nerv hand caus symptom ct syndrom 44,3 day  ive sever headach  sever back neck joint pain  dizzi  bad fatigu  fever  mening 19yr ago  worri better 44,numb  tingl  tremor  chronic pain  headach  migrain 44,dizzi  fever  chest pain  headach  joint pain  sever headach  chest tight  lethargi  chest pressur  blood clot
45,develop side effect allerg reaction 2 antibiot  tri take peptobismol need diarrhea heartburn  eat lot appl banana harden poop drink lot water  follow dr concern 45,got test last week stds  receiv txt say syphili negat howev noth regard hiv test chlamydia yet negat sign 45,nan 45,sexual transmit infect  std  chlamydia infect  human immunodefici virus  syphili  hiv  hiv test
46,infect sound like develop infect area around wisdom tooth  could sinus tooth close sinus space cheek bone wisdom toot  need see surgeon right away 46,swollen cheek  jaw gum left side  dentist provid amoxicillin metronidazol  toothach    what wrong 46,wisdom tooth extract  surgeri  tooth abscess  tmj syndrom  abscess  dental abscess  dental implant 46,tooth pain  metrocream  norit  metronidazol  trikacid  flagyl er  flagyl  amoxil  amoxicillin
47,anal fissur describ consist anal fissur  linear ulcer anal canal  tri take laxat stool soft prefer  soft  may tri topic  counter prepar pain  coupl week soft stool  symptom persist  pleas consult doctor 47,bleed butt  hemorrhoid  tear  constip  come insid  bright red 47,cancer  nutrit  cervic cancer  ovarian cancer 47,constip  hemorrhoid  anal swell
48,consid gallbladd recurr episod inflamm gallbladd associ gallbladd stone block normal passag bile  turn  may bilirubin elev   sometim pictur seen inflamm pancrea  symptom evalu asap cannot keep food 48,upper left abdomin pain year went doc 6 month ago us didnt see anyth go super busi  dont want unecessari bill 48,rheumatoid arthriti  abdomin pain  tremor  collagen vascular diseas  bell palsi  gouti arthriti  trochanter bursiti  system lupus erythematosus diagnost panel  vascul  chronic back pain  rheumatolog  fibromyalgia  polymyalgia rheumatica 48,abdomin discomfort  abdomin pain  belli pain
49,throat possibl bacteri throat infect  even though antibiot  best take doctor check throat 49,hidden white bump left tonsil  postnas drip  ear pain  tinnitus  pain swallow  sleep apnea  ear barotrauma  blurri vision  sore throat 49,nan 49,sore throat  earach  throat pain  apnea  sleep apnea  hazi vision  blurri vision  barotrauma  ring ear  post nasal drip
50,oral surgeon im surpris time symptom especi numb  still contact oral surgeon treat  yore wast precious time ask panel cannot see examin help    call surgeon asap 50,jaw pain  headach ear pain pressur also painless lump chin jaw sure relat fever  pain reliev help 50,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 50,ear infect  headach disord  skin lump  deal wisdom teeth  lymphat  manag tmj
51,ra mayb lupus blood test ra negat 30 percent case  screen blood test lupus negat rare 51,pain swollen joint wrist ankl  occasion red mark face  arm  chest  leg  ra lupus 51,gout  rheumatoid arthriti  osteoarthr  osteoporosi 51,arthriti  joint swell  ra  rheumatoid arthriti  system lupus erythematosus
52,abcess tooth upper tooth abcess caus pain seem like ear  axillari lymph node chest arm pit  would swollen due abcess tooth  need see dentist abcess tooth  swollen axillari lymph node  need see medic doctor asap 52,fungal infect bacteri infect peni groin lymph node swell 52,tmj syndrom  tooth pain  canker sore  root canal  cari  dental pain  dental implant 52,bacteri infect  fungal infect  bacteria
53,like tri counter remedi lotrimin coupl week  see gyn dr  fail take care problem 53,skin anus irrit itchi  anus skin cut  open   peal skin  broken littl spot 2or 3 month  frustrat 53,circumcis  bedwet  incontin  kidney problem  hypospadia repair  bladder exstrophi repair 53,nan
54,common viral viral infect much common like caus symptom complex  difficult tell sure  throat red  pus  swollen  check possibl strepthroat  otherwis  viral like symptom get better day  motrin tylenol  sorethroat spray help symptom  consult doc get wors  good luck 54,pus cover swollen tonsil mean bacteria virus fever  chill ach 1 day extrem sore throat 54,children health  exercis  diabet  chronic high blood pressur  musculoskelet problem 54,sore throat  throat pain  fever  swollen tonsil  pus  virus  bacteria
55,easi fix obvious question old dentur life expect set dentur 5 year  time teeth wear bone chang  muscl adapt mani time  current set dentur check good dentist knowledg occlus muscular function  dentur creat equal  caus problem 55,tmj problem think wisdom teeth problem dizzi  headach  pressur molar area  test physician er came back fine could b teeth 55,sleep apnea  periodont  dental pain  cosmet dentistri 55,dizzi  headach  tmj syndrom  wisdom teeth
56,anticoagul anticoagul  like warfarin  heparin  mani newer one  drug choic vs antiplatelet agent  aspirin  spite blood thinner 56,fractur finger doctor use method tape finger next tape  cut circul blood 56,head injuri  spine surgeri  brain tumor  spinal cord injuri  minim invas surgeri  artifici disc replac  arthroplasti  carpal tunnel surgeri 56,circul
57,know test stds alreadi yet  intern vagin exam best test vagin discharg diagnosi see dr  vagin exam get discharg test  definit answer treatment would follow   best wish 57,21yo femal  std free  small pimpl like sore lower right vulva  prescrib clotrimazol betamethason  2 month chang 57,urinari tract infect 57,pimpl  std  sexual transmit infect  sexual transmit diseas  valison  lotrimin  clotrimazol  celeston  betamethason
58,recurr problem collaps lung call spontan pneumothorax happen without prior trauma  anatom bleb lung doctor feel high risk recurr may bleb resect pleurodesi deliber scar forc lung adher chest wall cant collaps prone happen peopl 58,fluid lung gb surgeri dementia cannot walk around much cough phlegm  treatment outlook still hospit 58,nan 58,cough  product cough  dementia  surgeri
59,ankl pain might suggest see sport medicin orthopod  specialist would determin cours take ie  bloodwork  xray  cat scan  mri  said psychiatrist suggest would tell famili member call question 59,cut foot year ago there hard lump  mayb calcium buildup  may  rest realli realli hurt walk 59,ziprasidon  psychiatr servic  psychopatholog 59,fibroma  podiatri  foot injuri  calcium
60,yes  lump armpit evalu  ultrasound look shape size lymph node  needl biopsi perform make diagnosi  contact breast surgeri specialist go breast center evalu risk assess 60,expect go fine needl aspir biopsi breast 60,breast cancer  breast carcinoma  mammogram  mastectomi  breast lump  breast tender  fibrocyst breast diseas  lumpectomi  breast abscess  breast biopsi  male breast cancer  metastat breast cancer  breast diseas  breast conserv surgeri  breast discharg 60,femal health  biopsi  fine needl aspir
61,possibl could std  also possibl bacteri vaginosi yeast infect  neither sexual transmit  great thing get doc evalu  treatment differ differ caus 61,wet toilet paper like discharg  thick vagin dryness  std yeast 61,child health  vaccin  autism  autism spectrum disord  pediatr  sid  foster care  fever  age grace  immun  babi hiccup 61,sexual transmit diseas  std  sexual transmit infect  bacteri infect vagina  vagin infect  vagin dryness  yeast  bacteria  vagin  candida
62,follicul sound like follicul  infect hair follicl  mild follicul usual heal 2 week  avoid pick scratch bump  bath shower daili mild antibacteri soap  avoid use oil skin  oil trap bacteria pore caus follicul  spread keep come back  becom red  swollen  fever  see doctor 62,im small red bump toward vagina itch time time didnt shave 62,skin cancer  cancer  melanoma  dermatolog  mole  psoriasi  basal cell carcinoma  skin age  moh micrograph surgeri  topic medic laser treatment  reconstruct surgeon 62,small red bump  red bump
63,reduc blood suppli yes  myocardi infarct heart attack caus block arteri lead reduc blog suppli ischemia heart muscl 63,hernia stomach caus uncomfort chest feel  similar come heart attack 63,thorac outlet syndrom 63,heart attack  hernia  myocardi infarct  cardiac arrest
64,fever friend foe young infant fever temp >100  4 r seen right away import treat fever  know caus child health status  alert  hydrat  etc need assess alway contact health profession advic whatg med use 64,ive fever month  11 day w relief alev tylenol  begin hour wake feel terribl  idea 64,adhd  adolesc health 64,fever  tylenol  naproxen  alev  acetaminophen
65,brain aneurysm vascular structur detect plain ct scan  would need mri mra  suggest see neurologist symptom get appropri test order 65,blur vision cant focus  dizzi  nausea  heart feel like flutter ear jaw pain right side  blood work good cardio test good slow heart beat 65,nan 65,dizzi  nausea  jaw pain  blurri vision  tmj syndrom  hazi vision  irrit eye  vision  dentistri
66,sleep problem peopl suffer sleep apnea interrupt sleep difficulti get adequ oxygen  even use cpap machin everi night might need evalu check paramet direct  also weight loss help overweight help control symptom 66,hubbi alway congest  use nasal spray night despit direct snore loud due sleep apnea  cpap didnt work  advic 66,skin rash 66,snore  apnea  sleep apnea  nasal spray  oxymetazolin  sleep  phenylephrin  snore  continu posit airway pressur  decongest
67,sometim  lesion determin high level assur benign lesion determin malign    also mani lesion cannot determin high degre certainti sstudi alon 67,needl aspir cyst right breast didnt collaps 2nd asprtn 2 test cell unsur result biopsi done result fri    cancer 67,nan 67,ultrasound guid needl core biopsi breast  breast biopsi
68,wisdom teeth wisdom teeth caus problem earach need come  experienc pain  swollen gum  lymph node go away find difficult open mouth  see dentist evalu  xray wisdom teeth remov 68,dentist prescrib antibiot pain med tooth abscess yesterday  today still pain face swollen gum lip numb normal 68,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 68,abscess  numb  tooth abscess  dental abscess  oral surgeri  pain medicin  antibiot  analges  oral maxillofaci surgeri
69,long day  need worri colon cancer high  high unlik 17  sever week +  might want see physician 69,bodi ach diarrhea fever  saw md  got steroid shot  flustrep came back negat  could contagi 7mo old home 69,hepat  colonoscopi  hepat b  cirrhosi liver  endoscopi  diarrhea  hepat c  hep c  hemorrhoid  liver cancer  food allergi  alcohol  colon cancer 69,flu  diarrhea  loos stool  fever  bodi ach  steroid shot  steroid
70,normal bleed rectum never normal   consult physician get examin 70,hospit 2 day due abdomin pain  doctor told complex 7cm ovarian cyst  go away  need surgeri 70,nan 70,abdomin discomfort  abdomin pain  ovarian cyst  belli pain  pain manag  surgeri
71,c md cultur yes may strep throat  see physician health center throat cultur 71,neck pain  fluid behind ear  swollen gland neck cold sore right side   dr  put amoxil steriod  normal 71,breast implant  liposuct  tummi tuck  facelift  breast augment  tuck  facial plastic surgeri  labiaplasti  labial reduct 71,cold sore  neck pain  swollen gland  enlarg lymph node  enlarg gland  herp simplex  amoxil  amoxicillin
72,yes pleas see gp might prescrib antibiot 72,lump cheek bone  like firm sac  run direct diagon ear mouth deep  could anyth tooth jaw infectio 72,nan 72,nan
73,depend nodul small  would seen plain xray fact 3 prior negat one mean much  may undetect year  depend big clinic situat  doc may opt follow anoth ct scan 612 month  pet scan  proceed biopsi  good luck smoker  quit today 73,fear get lukemia lung cancer one chest ct scan one month ago  danger ct scan get cancer 73,cancer  breast cancer  breast carcinoma  chemotherapi  lung cancer  femal health  colon cancer  mammogram  cancer treatment  cea  genet test  hereditari breast cancer 73,cancer  leukemia  lung cancer  ct chest  comput tomographi  ct scan
74,see rheumatologist see rheumatologist problem evalu  like tendin evalu abl determin exact caus provid treatment option 74,pack hand wound paper gone  hand swollen size egg lot pain  red  tender  go urgent care er 74,arthriti  fibromyalgia  rheumatoid arthriti  osteoarthr  vascul 74,wound  hand swell  urgent care
75,depend effect concuss vari unpredict  depend sever injuri  symptom includ headach  dizzi  vision chang blur vision  doubl vision  nausea vomit  symptom headach sever  loss conscious  get evalu immedi 75,stop use cocain tri  took 4 hit 10 min start feel heart pound  dizzi  nausea etc 75,migrain  epilepsi  common migrain  eeg  motor tic  infantil spasm 75,nausea  dizzi  pound heartbeat  vertigo  cocain
76,add w reduct could anterior disc displac reduct  temporomandibular joint disord  eustacion tube direct behind joint extrem pressur joint caus abnorm hear  usual stuffi feel ear canal  would consid perman  unless never address tmjd 76,tmj caus ear pain  sore ear littl discomfort front ear  ear pain deep ach  jaw open crook pop  come  goe 76,sleep  dizzi  tooth pain  tmj syndrom  daytim sleepi  gum diseas  drowsi  oral hygein  dentistri  sleep apnea  loud snore  dental care  migrain headach  mouth brace  periodont  morn headach  bad breath  miss teeth  thumbsuck 76,earach  tmj syndrom
77,antibiot pain medic  swell antibiot may reduc spread infect reduc pain 77,endodontist say dont need root canal  dentist say   pain sensit cold tooth 77,tooth pain  root canal  root end surgeri  endo 77,root canal  endodont
