0,need evalu descript symptom may due postop infect hematoma  followup dentist oral maxillofaci surgeon would strong recommend proper diagnosi treatment correct problem 0,use salt water nasal spray help prevent develop perfor septum 0,wisdom tooth extract 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
12,may gerd    time  handl felt like gerd indigestionrel event followings: 1  watch eat drink see abl identifi offend good  2  eat small portion light season food  3  dont lie flat sleep soon meal  4  take probiot antigerd drug  see getter better  yes  good  ask doc next time  best 12,im 17 jaw pain 9 week mom dentist say tmj due stress never look jaw wisdom teeth alreadi hurt open 12,male health  surgeri  urinari tract infect  cancer  sexual transmit diseas  sexual transmit infect  testosteron  androderm  chlamydia infect  testoderm  vasectomi  circumcis  hernia  erectil dysfunct  torsion testi  prostat specif antigen  prostat cancer cryotherapi  remov testi  greenlight pvptm 12,stress  tmj syndrom  jaw pain  wisdom teeth  dentistri
13,itchi  red belli one common caus itchi  red  oozi belli button seborrh dermatitisirrit skin sweat natur oil  test treat otc 1% hydrocortison  improv day  still persist  yoll consid rare condit like connect belli button abdomin caviti leak 13,better altern risperidon  given side effect  discuss mom doc  tia develop occassion hallucin  lewi bodi dementia parkinson 13,well lifestyl  prevent medicin  electron health record 13,vascular dementia  parkinson diseas  dementia lewi bodi  cholinesteras inhibitor  antipsychot
14,sure check eye dr   good luck 14,r area head would hurt u tmj mine hurt top  n front ear mri brain normal 41813 lot ha 14,urinari tract infect 14,chronic pain  persist pain  tmj syndrom  dentistri  mri brain  mri  magnet reson imag
15,swollen face antibiot moist heat eventu help  temporarili  soon depend long teeth infect larg infect  teeth need treat infect swell return get wors  see dentist asap 15,notic squat knee joint make weird crack nois   doesnt hurt sound like im crack knuckl  strech almost daili 15,tmj syndrom  tooth pain  canker sore  root canal  cari  dental pain  dental implant 15,nan
16,plavix plavix caus depress exacerb depress  recommend see doctor 16,sore pain tooth  sore jaw swollen gland side   antibiot help  swell gum around tooth 16,chest pain  coumadin  stent 16,swollen gland  enlarg lymph node  enlarg gland  antibiot
17,yes sever laser  radio frequenc  nonenergi treatment acn scar  fulli ablat partial ablat co2 laser  erbium laser  ematrix  dermarol treatment option 17,tmj also caus stiff neckjaw line ach  ring ear  stiff neck  slight vertigo jaw stiff move fine jaw click crack help 17,scar  breast implant  scar  breast reconstruct  cosmet surgeri  breast reduct surgeri  acn  botox  liposuct  gynecomastia  tummi tuck  acn surgeri 17,headach  dizzi  tmj syndrom  grind teeth  stiff neck  ring ear  vertigo
18,like use tobacco  includ smoke  alcohol  hpv infect major factor etiolog mouth cancer  occurr depend genet suscept  use chew tobacco time like materi increas risk oral cancer 18,need mammogram breast ultrasound 18,cancer  nutrit  cervic cancer  ovarian cancer 18,breast cancer  cancer  calcium  biopsi  repeat ultrasound  ultrasound breast  sonogram  mammogram  digit mammogram
19,post extract heal normal  may infect  call extract dentist get check 19,hi    way get rid snore   mom srver problem snore 19,tooth pain  root canal  dentistri  tmj syndrom  tooth abscess  dri mouth  dental health  dental abscess  aphthous stomat  teeth  teeth clean  dental anxieti 19,snore  sleep apnea  snore
20,need see doctor person   make appoint today 20,cut kitchen knife tuesday  yesterday woke sore throat difficulti  swallow  today stiff jaw tetnaus anoth infect cut 20,dermatolog  gynecolog  allergi 20,throat pain  sore throat  stiff  swallow disord  difficulti swallow
21,describ  riski get immedi treatment  need least get hopeless teeth remov  antibiot may temporarili control spread infect long take even elimin risk  elig state aid program consid dental school  hospit dental resid program site: http:  www freedentalcar us 21,bump like zit rim head peni white forev never paid attent normal wro 21,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 21,acn  pimpl
22,fine  give patient syring instruct use start 7 day surgeri  vigor rins help tri chew toward front teeth 22,otc mouth gaurd help till get see tmj doc cant see anoth 3 week sick ear full  dizzi  ent say prolli tmj 22,anesthesia  cancer  cleft lip  child health  oral surgeri  mouth cancer  surgeri  sleep  snore  dental implant  cleft palat  fals teeth  craniofaci reconstruct  cleft lip palat repair 22,dizzi  tmj syndrom  ear full  ent head neck surgeri  ear nose throat  vertigo
23,problem problem  except cant sneak well  vacuum form collaps 23,use nasal spray help treat deviat septum 23,arter  polymyalgia rheumatica  giant cell arter  marfan syndrom 23,headach  deviat nasal septum  shock  surgeri  rhinoplasti  oxymetazolin  ent head neck surgeri  ear nose throat  cartilag
24,may surpris hear say could diet  widespread use sugar caus huge amount ill explain mean  appli  tri get rid sugarf 24,sleep studi done child noth found sleep apena diagnos today think tmj seroquel chang breath talk pcp 24,sleep  dietari sugar 24,tmj syndrom  sleep apnea  apnea  sleep studi  seroquel  quetiapin  children  sleep
25,word  almost ban languag  seem endodont problem  sure dentist expect work  howev  expect alway realiz  sinc gotten better differ treatment must tri  seem infect beat antibiot  someth els done elimin infect  abscess drain root canal start 25,anyon know  hallux valgushamm toe correct surgeri  doctor arrang plaster pari bandag upto knee 25,fals teeth  periodont  cosmet dentistri  crowd teeth  partial dentur  sore mouth  miss teeth 25,bunion  hammer toe repair  bunion repair  hammerto correct  bunion remov  surgeri  hammer toe  hallux valgus  foot surgeri
26,could strep throat viral infect look act similar  get throat cultur know 26,way reduc loud someon snore complet stop snore 26,dizzi  vertigo  surgeri  congest  thyroid surgeri  rhiniti  chronic sinus  septoplasti  acut sinus  facial pain  hear loss  thyroidectomi  endoscop sinus surgeri  ear drop  salivari gland disord 26,snore  sleep apnea  snore
27,go eval need formal evalu 27,overthecount med joint pain ankl  knee  wrist  etc 27,angina  chest pain  hypertens  exercis  heart attack  abnorm blood pressur  heart failur  cardiolog  heart palpit  heart problem  echocardiogram  cardiac echo  heart diseas  prevent medicin  diagnost procedur heart  nuclear scan 27,joint pain
28,yes  tmj syndrom temporomandibular syndrom second frequent caus orofaci pain dental pain  headach  earach  sinus pain  neck pain jaw pain common symptom  proper diagnosi key success treatment  see orofaci pain practition consult treatment option 28,vascular dementia wors alzheim   end stage 28,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 28,dementia  alzheim diseas  vascular dementia
29,like benign consid age explan probabl cyst benign fibroadenoma  subsid 2 month time  would best check health care provid 29,last blood test result includ these: albumin 3 9  total protein 7 0  alkalin phosphatas 165  ast sgot 31  alt sgpt 86  bilirubin  total 0 5  bilirubin  direct 0 2  hint liver problem 29,breast cancer  ultrasound breast  paget diseas breast  ultrasound guid needl biopsi breast  remov breast implant 29,total protein  sgpt  sgot  protein  bilirubin  ast  alkalin phosphatas  albumin
30,hello  hello  two issu jump  first  seen cadilac bladder doctor urologist recommend procedur  second  ask doctor line get surgeri met  examin physic  taken histori look specialti studi like take option way vw bug  specialist visual larg mass cystoscopi  ask possibl could cancer lesion bodi  would want make sure didnt cancer  cant make import medic decis  suspect hope problem go away  histori provid  think get procedur would like play russian roulett  need  pray  mean  take care 30,tooth abcess facial swell  puffi eye  swollen lip  went emerg room said hasnt spread  switch differ antibiot  okay 30,sleep  anxieti  femal health  exercis  exercis  depress  psychiatri  eat healthier  stress  lose weight  stress less  psychiatr drug  insomnia  exercis program  acupunctur  sleep better  health educ  women health  anxieti disord  lifestyl chang 30,abscess  swollen eye  lip swell  facial swell  antibiot  facial
31,resist yeast uncomfort problem  sorri hear  first thing test yeast cultur  confirm diagnosi determin type yeast strain resist usual treatment azol drug  includ singl dose oral fluconazol  may need altern treatment  consid consult gyn subspeci infect  infecti diseas specialist 31,root canal fill near 12 mth ago  abscess tooth  face swollen etc neck seem take amoxicillin day 31,chlamydia infect  sexual transmit diseas  sexual transmit infect  human immunodefici virus  gonorrhea  hsv type 1 2  trichomona  hsv  syphili  bacteri vaginosi vagin panel  urethr  std prevent  hiv prevent 31,wound  abscess  antibiot  molar tooth  amoxil  amoxicillin  root canal
32,stomat could viral  see ent 32,botox tmj spasm month ago  know botox wea  possibl itll give muscl chanc heal  effect b longterm 32,dental care  cosmet dentistri  dental implant  dental bridg  dental health  holist medicin  dental anxieti  dental brace  partial dentur  dental dam  dental laser  dental xray 32,tmj syndrom  botox  xeomin
33,unlik hurt  see  idea let materi stitch heal well stress 33,get cold sore  transmit hsv1 someon genit oral sex dont cold sore 33,heart attack  myocardi infarct  deep venous thrombosi  coronari arteri diseas  aortic aneurysm  cardiovascular diseas  coronari arteri bypass graft  thorac neoplasm  peripher vascular diseas  thorac surgeon  venous insuffici  thorac outlet syndrom  thoracotomi  carotid duplex  carotid arteri stenosi  carotid arteri diseas  ultrasound extrem vein  cardiac bypass  cardiac pace  carotid bruit 33,cold sore  herp simplex  sex
34,would advis tri lose general weight order smaller chanc hernia conf back  tummi tuck liposuct smart move may increas risk infect  hernia repair use mesh infect due fat remov  mesh also get infect may need remov 34,cant tell  left jaw right back curv may ever slight swollen  swollen gland anywher els   tmj issu   concern 34,surgeri  hiatal hernia  obes  diet  laparoscop gallbladd remov  minim invas surgeri 34,tmj syndrom  enlarg lymph node  swollen gland  enlarg gland
35,yes clean involv go gum line remov plaqu food  irrit gum caus bleed  perhap see dentist call soon possibl  consid gargl warm salt water take counter pain medicin 35,neck knee arthritus  want whole bone structur evalu  type doctor call 35,chest pain  chest tight  angina  chest pressur  sore throat  urgent care  famili medicin  sexual health 35,arthriti
36,stomach flu sound like case stomach flu viral gastroenter  push fluid gator rehydr solut  avoid caffein  acid rich juic  dairi  fatti fri food  rest well  wors  call doc  otherwis  start feel better soon 36,39 year old woman mild moder rheumatoid arthriti   cbc done  hemoglobin  hematocrit  mcv level low  iron normal rang 36,child health  circumcis  cancer  circumcis  diabet  depress  sleep  laparoscop surgeri  children health  child diabet  diabet risk  fever  rid lice treatment  nasal  normal childbirth  rehab  chronic high blood pressur  natur remedi  men health  pain manag 36,arthriti  pain joint  rheumatoid arthriti  rheumat  hematocrit  complet blood count  cbc  iron
37,liver healthi liver healthi  sure need gallbladd surgeri pain current intoler pleas take breath would recommend googl naturopath gallbladd diet see chang dietari choic give gall bladder time heal normal work get liver back better shape 37,gum left cheek swollen decay wisdom tooth dentist doesnt want remov still swell  mani day last 37,human immunodefici virus  male health  sexual transmit infect  depress  lose weight  testosteron  diabet  aid  std  addict  alcohol  men health  gay  lesbian transgend health 37,nan
38,yes look cancer profil  estrogen   progesteron  her2 receptor well histologys  grade   blood vessel invasioneg patient age menopaus statusif recepto pos  older pt  ie postmenopaus often treat hormon therapi  pill  less sever side effect profil still without problem  osteoporosi uterin cancer catarat 38,type herp simplex virus caus cold sore 38,breast cancer  cancer  mastectomi  breast carcinoma  lumpectomi  cancer treatment  lymphedema  male breast cancer  mammogram  surgeri  tender swollen lump breast  breast lump  breast biopsi  breast diseas 38,herp  cold sore  hsv  low temperatur  sex  travel  virus  nerv  herp simplex
39,diabet diabet hypoglycemia 39,question bladder  frequenc  urgenc  occasion incontin  uti  bladder pelvic floor prolaps 39,bodi weight  overweight  thyroid hormon  juvenil diabet  adren gland disord  pituitari disord  gonad disord 39,urinari tract infect  urinari urgenc  incontin  urinari urgenc  age grace  estrogen  diet  caffein  hormon  bladder
40,deviat septum deviat septum uncommon problem  lead nasal obstruct  snore even sinus issu  need surgeri symptom  sure nose evalu board certifi otolaryngologist  surgeri treatment 40,best medicin anxieti im celexa doesnt work  constant fear heart attack like father 40,deviat nasal septum  facelift  septoplasti  facial plastic surgeri  botox  ent head neck surgeri  dermal filler  deviat septum surgeri  eye lift  neck lift  brow lift  mini lift  revis rhinoplasti  constip  rhinoplasti  rhinoplasti  asian american health  asian eyelid surgeri  blepharoplasti 40,feel anxious  heart attack  myocardi infarct  cardiac arrest  citalopram  celexa  anxieti
41,sure sexual encount certain may caus vagin infect  irrit bubbl bath  deterg  foreign bodi etc also odd complic strep throat caus  check doctor 41,diagnos fibromyalgia 2005   got sever blur vision left eye  numb limb  dizzi  littl incontinec memori loss 41,vaccin  autism  autism spectrum disord  adhd  immun  cough  asthma  fever  croup  infecti diseas  behavior problem 41,dizzi  memori loss  numb  blurri vision  amnesia  fibromyalgia  incontin  hazi vision  irrit eye  memori
42,safe  howev  dose medicin low  addit  buspiron  anxieti  tendenc somewhat stimul peopl often better taken day  perhap prescrib work well togeth found problem 42,parkinson symptom braindo caus dementia depress 42,nan 42,depress  dementia  parkinson diseas
43,use non displac fibula shaft fractur requir surgeri immobil  may use leg toler 43,brief episod pulsatil tinnitus left ear upon stand   multipl normal 3t mri cta head neck headach  normal bp weigh 43,ankl fractur  broken bone  broken ankl  talus fractur  forearm fractur  broken leg  humerus fractur  heel fractur  open repair broken arm elbow  arm fractur  toe fractur  bone fractur repair  open repair femur fractur  traumat elbow disloc  open repair elbow disloc  repair broken collarbon  stress fractur  tibia fractur  midfoot fractur 43,headach  magnet reson imag  mri  ring ear  tinnitus  cta  blood pressur
44,add safe add ritalin serious problem concentr 44,3 day  ive sever headach  sever back neck joint pain  dizzi  bad fatigu  fever  mening 19yr ago  worri better 44,adolesc health  addict 44,dizzi  fever  chest pain  headach  joint pain  sever headach  chest tight  lethargi  chest pressur  blood clot
45,mrsa infect chanc transfer mrsa boyfriend decreas appropri antibiot least 24 hour  still discharg wound may still possibl transfer infect  take caution keep infect area well cover area dri without discharg  continu medic direct 45,got test last week stds  receiv txt say syphili negat howev noth regard hiv test chlamydia yet negat sign 45,nan 45,sexual transmit infect  std  chlamydia infect  human immunodefici virus  syphili  hiv  hiv test
46,tough question must quit distress  dont delay doctor refer dermatologist soon possibl 46,swollen cheek  jaw gum left side  dentist provid amoxicillin metronidazol  toothach    what wrong 46,metabol bone diseas 46,tooth pain  metrocream  norit  metronidazol  trikacid  flagyl er  flagyl  amoxil  amoxicillin
47,see doctor could scabi 47,bleed butt  hemorrhoid  tear  constip  come insid  bright red 47,diabet  human immunodefici virus  constip  asthma  suboxon  hyperlipidemia  weight loss program 47,constip  hemorrhoid  anal swell
48,symptom adult normal valu gb eject fraction 28 35%  abdomin symptom correl gall bladder abnorm consid necessit surgeri relief patient symptom  lack gallston could mean gall bladder dyskinesia gb empti normal  diet avoid fatti food  meat  fri food  egg  chocol alcohol allevi symptom 48,upper left abdomin pain year went doc 6 month ago us didnt see anyth go super busi  dont want unecessari bill 48,neurofibromatosi 48,abdomin discomfort  abdomin pain  belli pain
49,yes possibl easi check  home pregnanc test negat dont want pregnant use birth control includ barrier contracept 49,hidden white bump left tonsil  postnas drip  ear pain  tinnitus  pain swallow  sleep apnea  ear barotrauma  blurri vision  sore throat 49,disabl  chronic high blood pressur 49,sore throat  earach  throat pain  apnea  sleep apnea  hazi vision  blurri vision  barotrauma  ring ear  post nasal drip
50,caviti wisdom  could either  havent wisdom teeth remov alreadi  go see dentist take radiograph check  good luck 50,jaw pain  headach ear pain pressur also painless lump chin jaw sure relat fever  pain reliev help 50,cari  orthodont  dental cari  tmj syndrom  dental health  dental care  orthodont retain  crowd teeth  dental pain  anesthesia  teeth clean  dental fill  teeth brush  dental implant  dental plaqu  mouth brace  dental sealant  dental brace  dental anxieti  dental clean 50,ear infect  headach disord  skin lump  deal wisdom teeth  lymphat  manag tmj
51,uncommon wisdom tooth extract often affect mani structur head neck  locat small space  post oper pain manag medic  sore last day two week  feel better soon 51,pain swollen joint wrist ankl  occasion red mark face  arm  chest  leg  ra lupus 51,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 51,arthriti  joint swell  ra  rheumatoid arthriti  system lupus erythematosus
52,nonfood allergi pollen  grass  cat dog dust allergi may caus sore throat addit stuffi  +  runni nose  depend affect allergi suffer  nose stuffi  affect vocal qualiti hear intern extern sound  kind like cold 52,fungal infect bacteri infect peni groin lymph node swell 52,tonsillectomi adenoidectomi  xeomin  chemic laser treatment melasma  sleep disturb childhood 52,bacteri infect  fungal infect  bacteria
53,lumpectomi rt typic treatment lumpectomi  dcis excis breast area treat radiat  doctor discuss pros con radiat set  mastectomi option  seem necessari small area  treatment  discuss pros con hormon therapi tamoxifen  case differ 53,skin anus irrit itchi  anus skin cut  open   peal skin  broken littl spot 2or 3 month  frustrat 53,breast cancer  melanoma  breast surgeri  breast diseas  immunotherapi 53,nan
54,yes known effect 54,pus cover swollen tonsil mean bacteria virus fever  chill ach 1 day extrem sore throat 54,exercis  diet  lose weight  congest heart failur  peripher arteri diseas  atrial fibril  acut cardiovascular diseas  heart failur  heart diseas  heart attack  heart murmur  deep venous thrombosi  venous insuffici  peripher vascular diseas  carotid arteri diseas  carotid stent  limb pain  heart biopsi  renal angiogram  carotid angiographi 54,sore throat  throat pain  fever  swollen tonsil  pus  virus  bacteria
55,great question dentist vers occlus bite issu best  check credenti long practic success rate  speak patient  train weekend cours suggest dabbl approach dentist spent consider time learn treat tmj patient train background involv 100s hour us consid benchmark  good luck 55,tmj problem think wisdom teeth problem dizzi  headach  pressur molar area  test physician er came back fine could b teeth 55,tmj syndrom  dental brace  orthodontia  temporomandibular disord  invisalign 55,dizzi  headach  tmj syndrom  wisdom teeth
56,yes antibiot take time work  get treatment root canal extract start asap recommend 56,fractur finger doctor use method tape finger next tape  cut circul blood 56,root canal  tooth pain  abscess  surgeri  anxieti  canker sore  inflamm gum  blister mouth  antibiot  earach 56,circul
57,unclear unclear inform provid  could thing  start evalu md 57,21yo femal  std free  small pimpl like sore lower right vulva  prescrib clotrimazol betamethason  2 month chang 57,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 57,pimpl  std  sexual transmit infect  sexual transmit diseas  valison  lotrimin  clotrimazol  celeston  betamethason
58,ok mvp mitral valv prolaps common  peopl surgeri without issu  similar  elev blood pressur due anxieti control med preop area  anesthesia  speak doctor concern  though  may want medic clearanc  make sure uptod ekg anesthesiologist review 58,fluid lung gb surgeri dementia cannot walk around much cough phlegm  treatment outlook still hospit 58,breast augment  cosmet surgeri  liposuct  tummi tuck  breast implant  facelift  breast lift  botox  eye lift  chemic peel  laser resurfac  juvederm  laser skin resurfac 58,cough  product cough  dementia  surgeri
59,local vs genl infl osteoarthr wear tear joint  rheumatoid general inflammatori condit affect joint organ system autoimmun natur chronic diseas caus multipl serious sequela  treatment avail see rheumatologist medic specialist joint rheumat diseas 59,cut foot year ago there hard lump  mayb calcium buildup  may  rest realli realli hurt walk 59,cancer  hepat  diet  inflammatori bowel diseas  nutrit support  well lifestyl 59,fibroma  podiatri  foot injuri  calcium
60,keep doctor medic help pcos doctor help find right combin detail histori physic exam  hope feel better soon 60,expect go fine needl aspir biopsi breast 60,constip  acn  perimenopaus  mole 60,femal health  biopsi  fine needl aspir
61,doctor schedul appoint mom dad doctor go appoint discuss concern 61,wet toilet paper like discharg  thick vagin dryness  std yeast 61,dementia  alzheim diseas  depress  hypersomnia  memori  memori loss  clinic psycholog  sleep health  senior health  veteran militari health 61,sexual transmit diseas  std  sexual transmit infect  bacteri infect vagina  vagin infect  vagin dryness  yeast  bacteria  vagin  candida
62,like would chanc  riski  pass  life  cure 62,im small red bump toward vagina itch time time didnt shave 62,dental care  cosmet dentistri  dental implant  dental bridg  dental health  holist medicin  dental anxieti  dental brace  partial dentur  dental dam  dental laser  dental xray 62,small red bump  red bump
63,sciatica pain distribut suggest describ pattern nerv travel leg call sciatic nerv  sciatic nerv caus pain sourc  result irrit nerv typic lumbar spine low back caus herniat disk  spinal stenosi degen disc diseas requir evalu spine specialist 63,hernia stomach caus uncomfort chest feel  similar come heart attack 63,sciatica  pain back  epidur steroid inject  osteoarthr  neck pain  migrain  botox  mri spine  radiofrequ ablat  rhizotomi  complex region pain syndrom  lumbar facet inject  stem cell therapi  nerv injuri  lumbar facet rhizotomi  xray spine  lumbar sympathet block  stellat ganglion block  percutan discectomi 63,heart attack  hernia  myocardi infarct  cardiac arrest
64,thought unrel migrain   may worthwhil check heart pfo patent amen oval right left shunt  associ migrain pfo close cathet base procedur might help especi extens treatment  pleas check doctor 64,ive fever month  11 day w relief alev tylenol  begin hour wake feel terribl  idea 64,congest heart failur  coronari arteri diseas  valvular heart diseas 64,fever  tylenol  naproxen  alev  acetaminophen
65,bandag im sure question   surpris extent cast  doc bandag base train work best hand  discuss surgeri 65,blur vision cant focus  dizzi  nausea  heart feel like flutter ear jaw pain right side  blood work good cardio test good slow heart beat 65,surgeri  orthot  co2 laser  co2 laser  fungal nail infect  foot surgeri  orthot 65,dizzi  nausea  jaw pain  blurri vision  tmj syndrom  hazi vision  irrit eye  vision  dentistri
66,epilepsi eeg normal movement describ  repres seizur activ  pseudoseizur trigger anxieti  see psychiatrist psychologist get help 66,hubbi alway congest  use nasal spray night despit direct snore loud due sleep apnea  cpap didnt work  advic 66,child health  adhd  adderal  seizur  concuss  dextroamphetamin racem amphetamin  seizur disord  ritalin  convuls  brain injuri  depress  mening  paralysi  csf cultur  traumat brain injuri  lead exposur  learn disabl 66,snore  apnea  sleep apnea  nasal spray  oxymetazolin  sleep  phenylephrin  snore  continu posit airway pressur  decongest
67,hard tell infect usual resolv antibiot  toothach tooth vital nerv caus symtom unaffect antibiot  may also wisdom tooth erupt  dentist take look 67,needl aspir cyst right breast didnt collaps 2nd asprtn 2 test cell unsur result biopsi done result fri    cancer 67,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 67,ultrasound guid needl core biopsi breast  breast biopsi
68,hurt babi  best get help stay posit  pregnanc difficult best circumst anxieti panic depress make harder  probabl okay start medic sinc near end pregnanc  counsel  med exercis help lift anxieti depress  mani women feel better deliveri 68,dentist prescrib antibiot pain med tooth abscess yesterday  today still pain face swollen gum lip numb normal 68,depress  sleep  anxieti  diabet  obes  diabet type 2  heart failur  insomnia  bodi weight  prevent medicin  stress manag 68,abscess  numb  tooth abscess  dental abscess  oral surgeri  pain medicin  antibiot  analges  oral maxillofaci surgeri
69,consid mri hard say without detail exam  would think ct scan chest 3 month ago normal  yield would pretti low get repeat ct scan look pan coast tumor  unless someth wrong first one  one  consid mri thorac cervic spine rule spinal caus 69,bodi ach diarrhea fever  saw md  got steroid shot  flustrep came back negat  could contagi 7mo old home 69,surgeri  scoliosi  abnorm curvatur spine  broken bone  back pain  pain back  herniat disk  spinal surgeri  orthoped spine surgeri  spine surgeri  neck surgeri  minim invas surgeri 69,flu  diarrhea  loos stool  fever  bodi ach  steroid shot  steroid
70,neuropathi see doctor determin med take caus symptom  get check diabet may diabet neuropathi  could also idiopath neuropathi  mean unknown caus  med help gabapentin 70,hospit 2 day due abdomin pain  doctor told complex 7cm ovarian cyst  go away  need surgeri 70,patient safeti  aerospac medicin  case manag  risk manag  malpractic 70,abdomin discomfort  abdomin pain  ovarian cyst  belli pain  pain manag  surgeri
71,yes yes pacifi lesser two evil  1 thumb transfer weight whole arm leverag lower front teeth exert upward pressur palat chang shape palat  2 orthodont pacifi avail flatter child thumb caus less distort front teeth  3 wean pacifi eventu take away  grandchildren help pack brought mailbox send nonexist younger child 71,neck pain  fluid behind ear  swollen gland neck cold sore right side   dr  put amoxil steriod  normal 71,dental health  crowd teeth  cosmet dentistri  orthodontia  orthodont retain  orthodont headgear  dental brace  impact tooth  crook teeth  second opinion  invisalign  brace 71,cold sore  neck pain  swollen gland  enlarg lymph node  enlarg gland  herp simplex  amoxil  amoxicillin
72,see dentist order determin problem best treat  requir clinic examin probabl xray area 72,lump cheek bone  like firm sac  run direct diagon ear mouth deep  could anyth tooth jaw infectio 72,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 72,nan
