answer_content,answer_id,answer_voted,question_id,user_id,user_agrees,user_edu,user_exp,user_followed,user_helped,user_interest,user_intro,user_recommends,user_saved,user_specialty,user_thanks,question_tags,question_content
sleep apnea rx you may consider seeing someone about an evaluation for sleep apnea (sleep study) there are both oral and cpap means of treating these problems  depending upon the severity (sleep study results) and what the patient can/is able to tolerate,1504530,0,1068136,11453636,531,washington university  st louis mo,40years,"[11762547, 12543253, 11183952, 10014299, 12543305, 10045482, 10532653, 11487413, 11206386, 12404971]","520,373",[u'tmj syndrome'  u'pain management'  u'orthodontia'  u'periodontitis'],i treat acute and chronic head and neck pain patients to stable relationships using orthotics  physical medicine  and tmj orthodontics i use the perio protect method to treat the bacteria that cause gum disease and are associated with systemic inflammatory diseases,[u'great dentist!!'],1,dentistry,257,[u'snoring'  u'sleep apnea'  u'snoring'],hi is there any way to get rid of snoring my mom has a srver problem of snoring
not sure not sure try it may work if symptoms not better or worse - stop immediately  self treat with soft diet  jaw exercises  massage  heat/cold  otc pain meds,2229645,0,1070644,12543253,"13,246",university of washington school of medicine  wa university of pittsburgh school of dental medicine  pa,40years,"[7569692, 12838194, 7553169, 12838195, 7401832, 10001527, 10056048, 10005868, 10011107, 10013908, 10038441, 11946103, 20680097, 11447928, 10056546, 11193644, 10073610, 10014830, 10052334, 10005507]","7,734,960",[u'oral surgery'  u'oral and maxillofacial surgery'  u'tooth pain'  u'managing tmj'  u'dental pain'  u'wisdom tooth extraction'  u'dealing with wisdom teeth'  u'facial pain'  u'facial plastic surgery'  u'tmj surgery'  u'oral cancer'  u'botox'  u'acne'  u'open repair of jawbone fracture'],dmd  md  facs licensed in both medicine and dentistry board certified in oral & maxillofacial surgery  otolaryngology/head & neck surgery  and facial plastic and reconstructive surgery past full time faculty at uc davis medical center  sacramento  ca current clinical faculty at university of washington school of dentistry  seattle  wa practice consists of tmj and facial pain disorders  facial plastic and reconstructive surgery currently in full time private practice in sacramento  ca 87 scripps drive  suite 112  sacramento  ca 95825 office phone 916-570-3088,[u'being trained  licensed  & board certified both medically (both otolaryngology and facial plastic & reconstructive surgery) and dentally (oral & maxillofacial surgery) drgallia is in possession of an incredibly impressive breadth of training  knowledge  and experience in his field  his answers to questions are clear  precise  & very helpful &it is my pleasure to recommend him very highly indeed'  u'although i live far from dr lou  i have had the chance to see his recommendations  his accolades and his patient satisfaction i highly recommend dr lou for his experience  recognition nationally and his devotion to his community of patients'  u'great doctor he gets right to the point  addresses the issue in a straightforward manner and tells you who to follow up with what more could you want glad to have him here on healthtapcom impressed with his tmj expertise'  u'i have known dr gallia to be extremely knowledgable as an oral surgeon and have been very pleased with the way he has teated my patients  i have no hesitation in recommending him'  u'dr gallia is an expert in his field and i highly recommend searching him out for answers relating to ent  maxillofacial  tmj  and other related areas of interest!'  u'not your basic or all surgeon  best of the best! very experience oral surgeon many additional specialties definitely in good hands and highly recommended!'],11,oral and maxillofacial surgery,"1,445",[u'dizziness'  u'tmj syndrome'  u'ear fullness'  u'ent and head and neck surgery'  u'ear nose and throat'  u'vertigo'],will a otc mouth gaurd help till i get to see tmj doc- can't see him for another 3 weeks sick of ear fullness/ dizziness  ent says its prolly tmj?
50/50 playing russian roulette can be risky,1515102,1,1075556,12508067,"1,832",philadelphia college of osteopathic medicine  pa,53years,"[11195338, 12770019, 12790320, 12754694, 11188319, 10530715, 12543305, 12756606, 11061343, 12709733, 11996614, 11189779, 12647808, 12611546, 11171516, 10527934, 10056792, 12323812, 12792476, 25779578]","1,966,010",nan,eldest of six sons worked my way through college and medical school spent two years in the army and four years in the army reserves before becoming a physician was honorably discharged as first lt msc was named doctor of the year in nj by the new jersey association of osteopathic physicians & surgeons  and i was chief of staff and chairman of dept of family medicine at my local hospital for many years i was a medical examiner for the faa,[u'dr wolfe is an amazing doctor! #nationaldoctorsday2015 #virtualflower1'  u'dr wolfe is an amazing doctor! #nationaldoctorsday2015 #virtualflower1'  u'dr wolfe is an amazing doctor! #nationaldoctorsday2015 #virtualflower1'  u'quick response and very helpful!'],7,family medicine,799,[u'ovulation'  u'sex'  u'pregnancy'  u'menstrual period'  u'menstrual cycle'],i had my period on 8th nov and ovulation on the 23rd i had unprotected sex on the same day i started having cramps six days later what are the chances that i'm pregnant?
see an ent i would recommend seeing an ent dr whom can hopefully determine your the source of your issues if in doubt  get more than one opinion,1636196,1,1091912,11125605,"6,587",university of iowa dental school,39years,"[12838195, 11089577, 10056744, 10004464, 7742792, 10013919, 12324491, 10005091, 10011107, 10038441, 10009095, 10000041, 10013293, 10003048, 10014676, 10530715, 10005811, 10005209, 10027773, 10004448]","6,528,225",[u'tmj syndrome'  u'sleep'  u'headache'  u'dentistry'  u'tooth pain'  u'sleep apnea'  u'exercise more'  u'vitamins and supplements'  u'dental care'  u'eat healthier'  u'root canal'  u'apnea'  u'dizziness'  u'hypothyroidism'  u'numbness'  u'exercise'  u'managing tmj'  u'snoring'  u'gum disease'  u'dental caries'],http://wwwjbassmantmj%2ccom/,[u'i highly endorse dr jeffrey bassman as an expert on health tap and healthtap prime his comments and insights are educational for both patients and physicians he is an asset to the healthtap community'  u'dr bassman is an extremely knowledgeable and dedicated dentist excellent answers and advice'  u'very knowledgable  fantastic answers with quick responses\nexcellent  excellent doctor!'  u'excellent responses to questions and very supportive of patients strongly recommended'  u'i highly recommend dr bassman and thank you for your contributions to healthtap'  u'a very knowledgable and compassionate doctor always gives very sound advice'],8,dentistry,"2,805",[u'headache'  u'dizziness'  u'hypersensitivity'  u'tmj syndrome'  u'ear fullness'  u'vertigo'  u'allergies'],i suddenly got a headache 1 yr ago  w/ dizziness  & ear fullness everything went away except ear fullness i hear a loud thump upon bending or straining  no midde ear fluid seen no tmj no allergy?
i don't understand the question why would you have to have your implants removed following a needle biopsy?,1895282,0,1100876,12709733,"7,869",university of connecticut school of medicine  ct,28years,"[10000041, 12324491, 11827603, 10013897, 10003048, 12770019, 10000414, 11061343, 10014642, 11196657, 10011998, 10058367, 11109271, 12653404, 10019047, 11183703, 11195338, 12735463, 20596297, 12790320]","9,730,494",[u'digital mammogram'  u'mammogram'  u'sonogram'  u'ct scan'  u'ultrasound of breast'  u'breast cancer'  u'breast carcinoma'  u'female health'  u'breast biopsy'  u'breast needle biopsy'  u'xray of chest'  u'mri of breast'  u'ct of chest'  u'mri of breast with contrast'  u'mri scan'  u'radiology'  u'ct of abdomen'  u'transvaginal ultrasound of pelvis'  u'diagnostic radiology'],i attended med school and completed my radiology residency at the university of connecticut i continued at uconn as assistant professor of radiology  with clinical duties at uchc and the newington va medical center at uchc  i held a number of leadership positions  including chairman of the medical imaging qa committee  co-chairman of the integrated ed/radiology tqm committee  and member of the school of medicine council in 1999  i joined the medical staff at albany memorial hospital  where i served as chairman of the medical imaging department from 2001-2013 i was elected amh medical staff treasurer  secretary  and vice-president in 2008  i completed a health care mba from the umass isenberg school of management i have been medical director at capital imaging associates since 2001,[u'dr gabor  has an outstanding knowledge base of both diagnostic radiology and of medicine in general (across the board)  he is providing a valuable service to the public via healthtap i endorse dr gabor'  u'dr michael gabor is an excellent physician  very knowledgeable passionate  and on the top of his field he is a great value to the people of ny  and to the family of health tap'  u'dr gabor is a very knowledgeable and compassionate doctor always enjoy reading his insightful answers highly recommended'  u'understandable answers  educates us all both patients and doctors alike  generous and collaborative recommended to all!'  u'dr gabor has been an excellent consultant and is a great asset to thr healthtap prime physician community'  u'very accurate and timely responses'],21,diagnostic radiology,"1,277",[u'breast implants'  u'implant'  u'needle biopsy'  u'biopsy'],i had no choice but to have my breast implants removed in 2012 after having a needle biopsy done just above my left breast  please help?
at end stages  all dementias are equally devastating,209993,2,111973,10057667,"9,804",temple university school of medicine  pa,30years,"[10038677, 10015091, 12515330, 10049935, 10530701, 10014592, 11208135, 10038441, 10013875, 10530715, 11188319, 11374101, 10019047, 10049933, 10004634, 10006323, 11499250, 11889558, 11045875, 12229824]","5,518,098",[u'depression'  u'schizophrenia'  u'addiction'  u'panic attacks'],born in alexandria  louisiana graduated temple medical school in 1985 and completed psychiatric residency at temple university hospital in 1989 board certified in psychiatry and geriatric psychiatry  and a wide range of other interests including psychopharmacology  forensic psychiatric and correctional psychiatry currently in private practice in lafayette  louisiana dr uhrich is also medical director of freedom recovery center of acadiana and dauterive hospital's pathways program she is the first psychiatrist to bring tms to lafayette,[u'great doctor consistently gives thoughtful  insightful and expert advice'  uanswers patient's questions in a timely manner  very knowledgeable!  u'highly recommended and enthusiastic to helping his clients-dave'  u'knowledegeable and caring answers'],8,psychiatry,739,[u'dementia'  ualzheimer's disease  u'vascular dementia'],is vascular dementia worse than alzheimer’s at the end stage?
who ordered it? has moral responsablity to explain results to you,1565703,0,1119837,10040263,"1,891",loma linda university school of medicine  ca,31years,"[10005831, 10038577, 10075023, 11045923, 10054675, 11950832, 11089570, 10049275, 11364968, 10003690, 10049374, 12701287, 11951132, 10006462, 10523675, 12672892, 10049971, 20535081, 12783203, 10045399]","1,059,132",[u'sleep'  u'ear infection'],dr riney has been taking care of children since 1982 over 30 years of hands on experience teaching other doctors how to care for children and their parents he is happy to help out anyone with a child with adhd or other developmental delays,[u'dr riney is an amazing doctor! #nationaldoctorsday2015 #virtualflower1'  u'dr riney is an amazing doctor! #nationaldoctorsday2015 #virtualflower1'],5,pediatrics,405,[u'total protein'  u'sgpt'  u'sgot'  u'protein'  u'bilirubin'  u'ast'  u'alkaline phosphatase'  u'albumin'],my last blood test results included these: albumin 39  total protein 70  alkaline phosphatase 165  ast/sgot 31  alt/sgpt 86  bilirubin  total 05  bilirubin  direct 02;  any hint of a liver problem?
drug allergy with your dymptoms you should have been given an antihistamine to reducevthe swelling benadryl is most commonly used,1578505,0,1127280,11375063,"19,043",university of bern switzerland,53years,"[11080084, 10073610, 11387377, 10002907, 10057041, 12229824, 11827603, 11125605, 11889558, 10000408, 11146675, 11447928, 11755506, 11188319, 11045923, 12756606, 10049366, 10530715, 10003048, 12790320]","54,997,184",[uchildren's health  u'cough'  u'sleep'  u'skin rash'  u'diarrhea'  u'loose stools'  u'female health'  u'otitis media'  u'ear infection'  u'vaccinations'  u'healthy pregnancy'  u'dermatitis'  u'vomiting'  u'pediatrics'  u'fever'  u'child allergies'  u'dysentery'  u'placement of a stent in the bile duct'  u'pediatric allergy'],correction to bio: my wife and i live in skokie  illinois  but practice in park ridge our 4 children are all married and we have 21 grandchildren and 22 great-grandchildren as of 2012  i no longer practice at northshore hospital,[u'dr oscar novick is an excellent pediatrician who demonstrates a wide-breadth of knowledge across medical specialties his responses are concise  practical  and insightful and i look forward to reading them additionally he is kind and caring as reflected in his answers i am happy to have dr novick as my colleague on healthtap!'  ui like & admire dr novick 's vastness of passion & compassion  wealth in his specialty knowledge  and keen instinct to conjecture useful solutions beyond available facts so  i recommend him without reservation to anyone in need for his specialty care and service \r\n\r\n(james) chin-ti lin  md  u'dr novick is clearly has an outstanding knowledge of pediatrics he is providing an excellent service to the public via healhtap the information he provides is understandable  accurate & compassionate i endorse dr novick'  u'excellent well thought out answers an excellent resource for patients and an asset to healthtap anybody who takes their personal time  to answer patient questions and does so without anything in return is fine by me'  u'i am always amazed at his breadth of knowledge in pediatrics- it is obvious from his answers and online presence  he is an expert in pediatrics and a value to the health tap community'  u'dr novick has my highest recommendation he is a well respected pediatrician in his community and it is great to see  expertise and insights shared on health tap'],170,pediatrics,"10,042",[u'abscess'  u'swollen eyes'  u'lip swelling'  u'facial swelling'  u'antibiotic'  u'facials'],i have a few tooth abcesses with facial swelling  puffy eyes  and swollen lips i went to the emergency room and they said that it hasn't spread they switched me to a different antibiotic is it okay to do so?
need to know more first of all we want to know what is his blood pressure  what other symptoms he has  and how they have evolved and what were the findings of physical exam besides being pale i suppose his blood pressure was not too low otherwise he would have been sent to er for immediate stabilization i therefore feel that we should wait the results and then pursue further,1599602,0,1141404,10538954,26,m s university of baroda medical college  india,45years,"[10054675, 10038597, 9038836, 9248030, 9013600, 9016249, 9248589, 7362206, 9015995, 9082306, 9015061, 9042640, 9037470]","23,889",[u'adhd'  u'pediatrics'],,[u'dr parikh is an amazing doctor! #nationaldoctorsday2015 #virtualflower1'  u'dr parikh is an amazing doctor! #nationaldoctorsday2015 #virtualflower1'],,pediatrics,18,[u'headache'  u'abnormal blood pressure'  u'low blood pressure'  u'hypotension'  u'neurology'  uchildren's health  u'blood pressure'  u'pediatrics'],my son is 9  he has low blood pressure and is very pale he has headaches everyday  what could it be?  his pediatrician wants him to see a neurologist asap & sent for blood work should i be worried?
be concerned a child having headaches everyday needs to be checked out especially if they are waking him up from sleep an endocrine condition may also give you headaches and low bp  check if he is on any other medicines a simple set of blood tests will help determine if there is anemai or other simple issues so by all means get it checked out if all is negative it could be some stress at school or home,1599188,0,1141404,10000702,71,albert einstein college of medicine of yeshiva university  ny,33years,"[12708459, 10054675, 10007158, 10003690, 11487547, 10011731, 10014031, 10006541]","38,523",[u'ear infection'  u'child abuse'  u'aortic stenosis'  u'strabismus'],,[u'dr gomberg is an amazing doctor! #nationaldoctorsday2015 #virtualflower1'  u'dr gomberg is an amazing doctor! #nationaldoctorsday2015 #virtualflower1'],,pediatrics,60,[u'headache'  u'abnormal blood pressure'  u'low blood pressure'  u'hypotension'  u'neurology'  uchildren's health  u'blood pressure'  u'pediatrics'],my son is 9  he has low blood pressure and is very pale he has headaches everyday  what could it be?  his pediatrician wants him to see a neurologist asap & sent for blood work should i be worried?
