0,nasal septal perf alreadi issu nasal septum put risk develop septal perfor  use salin nasal spray necessarili prevent perfor occur  done alreadi  see ent evalu treatment caus  may prevent perfor 0,use salt water nasal spray help prevent develop perfor septum 0,tonsillectomi adenoidectomi  xeomin  chemic laser treatment melasma  sleep disturb childhood 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
11,cours knot thigh could breast cancer  sound like cancer spread mani place  thigh arent area caus mani problem  brain big concern  talk mom would like die that hard convers  compassion love thing understand plan togeth  cherish time 11,mom 72 breast cancer spread brain reciv hyperbar oxygen therapi larg knot upper thigh im concern 11,breast cancer  chemotherapi  ovarian cancer  metastat breast cancer  medic oncolog 11,hyperbar chamber  hyperbar oxygen therapi  procedur hbot
12,see dentist see mom cant help diagnos wrong  see dentist experi diagnos treat tmj  good luck 12,im 17 jaw pain 9 week mom dentist say tmj due stress never look jaw wisdom teeth alreadi hurt open 12,sleep  tmj syndrom  sleep apnea  dentistri  facial pain  snore  apnea  dental health  tooth pain  manag tmj  dental pain  dental bite disturb 12,stress  tmj syndrom  jaw pain  wisdom teeth  dentistri
13,individu cholinesteras inhibitor like rivastigmin exelon donepezil aricept may help  low dose atyp antipsychot may need choos one dose often requir trial error test  geriatr psychiatrist behavior neurologist may need  avail 13,better altern risperidon  given side effect  discuss mom doc  tia develop occassion hallucin  lewi bodi dementia parkinson 13,dementia  alzheim diseas  depress  anxieti  vascular dementia  bipolar disord  schizophrenia  delirium  parkinson diseas  dementia lewi bodi  feel anxious 13,vascular dementia  parkinson diseas  dementia lewi bodi  cholinesteras inhibitor  antipsychot
14,vari tmj problem vari natur  sever  durat  depend caus tmj pain  may experi pain lower jaw  cheek area  front ear  templ region  even back neck  chronic tmd requir evalu train profession chronic pain would suggest see dentist trainedto manag tmd myofaci pain  best luck 14,r area head would hurt u tmj mine hurt top  n front ear mri brain normal 41813 lot ha 14,dental health  dentistri  tooth pain  fals teeth  teeth clean  abscess  oral health  oral surgeri  dental cari  dental implant  dental anxieti 14,chronic pain  persist pain  tmj syndrom  dentistri  mri brain  mri  magnet reson imag
15,see pop normal occurr  start experienc pain need evalu doctor 15,notic squat knee joint make weird crack nois   doesnt hurt sound like im crack knuckl  strech almost daili 15,rheumatoid arthriti  autoimmun diseas  rheumatolog  sjogren syndrom  psoriat arthriti  lupus 15,nan
16,see dentist asap tooth infect wont go away without treatment infect may spread jaw  cheek  sinus area bodi  dentist treat tooth abscess treat caus get rid infect  see dentist asap tooth infect treatment 16,sore pain tooth  sore jaw swollen gland side   antibiot help  swell gum around tooth 16,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 16,swollen gland  enlarg lymph node  enlarg gland  antibiot
17,tmd\tmj symptom mention relat temporormandibular joint dysfunct common refer tmj  see dentist experi train area evalu 17,tmj also caus stiff neckjaw line ach  ring ear  stiff neck  slight vertigo jaw stiff move fine jaw click crack help 17,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 17,headach  dizzi  tmj syndrom  grind teeth  stiff neck  ring ear  vertigo
18,help mammogram use xray techniqu better detect tini calcium deposit may signal earli breast cancer ultrasound  mammogram also detect tumor  ultrasound use soundwav  like sonar  help determin lump solid requir biopsi cyst fluid fill  usual cancer  test work togeth find breast cancer 18,need mammogram breast ultrasound 18,cancer  ct scan  breast diseas 18,breast cancer  cancer  calcium  biopsi  repeat ultrasound  ultrasound breast  sonogram  mammogram  digit mammogram
19,could medic evalu determin reason snore  determin correct  mani possibl reason snore 19,hi    way get rid snore   mom srver problem snore 19,sleep  anxieti  femal health  exercis  exercis  depress  psychiatri  eat healthier  stress  lose weight  stress less  psychiatr drug  insomnia  exercis program  acupunctur  sleep better  health educ  women health  anxieti disord  lifestyl chang 19,snore  sleep apnea  snore
20,lockjaw tetanus sign symptom tetanus infect  go er without delay  go 20,cut kitchen knife tuesday  yesterday woke sore throat difficulti  swallow  today stiff jaw tetnaus anoth infect cut 20,bone graft  dental implant 20,throat pain  sore throat  stiff  swallow disord  difficulti swallow
21,normal pear penil papul  typic singl circumferenti row tini papul around penil groov beyond corona glan  perfect safe  treatment requir 21,bump like zit rim head peni white forev never paid attent normal wro 21,circumcis  bedwet  incontin  kidney problem  hypospadia repair  bladder exstrophi repair 21,acn  pimpl
22,might sinc dont know tmj dysfunct  guard may may help  fit great  sometim make thing wors  give tri uncomfort  dont wear 22,otc mouth gaurd help till get see tmj doc cant see anoth 3 week sick ear full  dizzi  ent say prolli tmj 22,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 22,dizzi  tmj syndrom  ear full  ent head neck surgeri  ear nose throat  vertigo
23,deviat nasal septum crook displac cartilag bone insid nose  correct surgeri  nose spray may provid temporari relief cure  rememb  counter nose spray use day time caus rebound effect make nose block damag insid nose 23,use nasal spray help treat deviat septum 23,bell palsi  rhinoplasti  deviat nasal septum  facelift  eye lift 23,headach  deviat nasal septum  shock  surgeri  rhinoplasti  oxymetazolin  ent head neck surgeri  ear nose throat  cartilag
24,yes  cours  talk pcp  sleep apnea make depress poor qualiti sleep  explain fatigu  seroquel  help sleep well 24,sleep studi done child noth found sleep apena diagnos today think tmj seroquel chang breath talk pcp 24,general anxieti disord  bipolar disord adult  geriatr psychiatri  posttraumat stress disord 24,tmj syndrom  sleep apnea  apnea  sleep studi  seroquel  quetiapin  children  sleep
25,yes doctor immobil foot prevent surgeri injuri walk 25,anyon know  hallux valgushamm toe correct surgeri  doctor arrang plaster pari bandag upto knee 25,wart  toenail  ingrown toenail  athlet foot  plantar fasciiti  plantar wart  toenail fungus 25,bunion  hammer toe repair  bunion repair  hammerto correct  bunion remov  surgeri  hammer toe  hallux valgus  foot surgeri
26,snore someth els snore make life stress  snore also first sign sleep apnea  much serious health problem  fortun  mani treatment option avail snore sleep apnea  see pcp consult sleep test 26,way reduc loud someon snore complet stop snore 26,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 26,snore  sleep apnea  snore
27,get eval nonsteroid antiinflammatori drug nsaid excel type pain  help pain relief reduc inflamm  exampl ibuprofen like advil  nuprin motrin  naproxen sodium like alev  naprosyn  anaprox asprin bayer  ecotrin  ascriptin  avoid nsaid pregnant allerg 27,overthecount med joint pain ankl  knee  wrist  etc 27,sleep  anxieti  femal health  exercis  exercis  depress  psychiatri  eat healthier  stress  lose weight  stress less  psychiatr drug  insomnia  exercis program  acupunctur  sleep better  health educ  women health  anxieti disord  lifestyl chang 27,joint pain
28,depend vascular dementia total wipe conscious activ render someon perman veget statenot unlik one might see case sever advanc alzheim  howev  vascular dementia signific less sever  alzheim  left follow natur progress  general proceed sever advanc debilit state 28,vascular dementia wors alzheim   end stage 28,depress  sleep  delay sleep phase  dementia  suicid 28,dementia  alzheim diseas  vascular dementia
29,liver everyth look good 29,last blood test result includ these: albumin 3 9  total protein 7 0  alkalin phosphatas 165  ast sgot 31  alt sgpt 86  bilirubin  total 0 5  bilirubin  direct 0 2  hint liver problem 29,diabet  obes  addict  chronic renal diseas 29,total protein  sgpt  sgot  protein  bilirubin  ast  alkalin phosphatas  albumin
30,dental abscess clear whether swollen lip allerg reaction initi antibiot part infect  regardless  need go see dentist appropri care  sure take antibiot direct  dont save next infect set resist  famili doc keep eye pend dental appoint week 30,tooth abcess facial swell  puffi eye  swollen lip  went emerg room said hasnt spread  switch differ antibiot  okay 30,testosteron  androderm  male health  testoderm  erectil dysfunct  inabl sustain erect  inabl attain erect  dementia  alzheim diseas  dht  muse  hypogonad  fluphenazin  alprostadil  impot  viagra  erectil failur  prolixin 30,abscess  swollen eye  lip swell  facial swell  antibiot  facial
31,see dentist asap fool around  abscess need drain seen soon possibl dentist oral surgeon treat profession  good luck 31,root canal fill near 12 mth ago  abscess tooth  face swollen etc neck seem take amoxicillin day 31,aid  pneumonia  urinari tract infect  sexual transmit diseas  infect heart valv  bacteri infect  bacteri endocard  osteomyel  respiratori tract infect  septic arthriti  pneumocysti jirovecii pneumonia  prophylact antibiot 31,wound  abscess  antibiot  molar tooth  amoxil  amoxicillin  root canal
32,botox spasm use cosmet  known although botox wear  declin muscl face caus hyperdynam wrinkl repeat use year   although may translat specif situat  may see improv long term tmj spasm  would still probabl need multipl treatment longterm success 32,botox tmj spasm month ago  know botox wea  possibl itll give muscl chanc heal  effect b longterm 32,allergi  otiti media  dizzi  ear infect  sore throat  throat pain  tinnitus  vertigo  surgeri  septoplasti  rhiniti  ct scan  cancer  hear loss  botox  plastic cosmet surgeri  chronic sinus  thyroidectomi  thyroid nodul 32,tmj syndrom  botox  xeomin
33,yes hsv virus shed even dont sore  much less like  still possibl 33,get cold sore  transmit hsv1 someon genit oral sex dont cold sore 33,femal health  contracept  mens  healthi pregnanc  bleed  pap smear  vulvodynia  hysteroscopi  minim invas surgeri  dysfunct uterin bleed 33,cold sore  herp simplex  sex
34,hard say    tmj tmd issu  would recommend see dentist tmj tmd specialist evalu make sure addit problem need attent  dontr wait symptom worsen 34,cant tell  left jaw right back curv may ever slight swollen  swollen gland anywher els   tmj issu   concern 34,tmj syndrom  sleep  headach  dentistri  tooth pain  sleep apnea  exercis  vitamin supplement  dental care  eat healthier  root canal  apnea  dizzi  hypothyroid  numb  exercis  manag tmj  snore  gum diseas  dental cari 34,tmj syndrom  enlarg lymph node  swollen gland  enlarg gland
35,rheumatologist rheumatologist proper specialist 35,neck knee arthritus  want whole bone structur evalu  type doctor call 35,arthriti  fibromyalgia  rheumatoid arthriti  osteoarthr  vascul 35,arthriti
36,caus caus anemia  return doctor discuss  need test  good luck 36,39 year old woman mild moder rheumatoid arthriti   cbc done  hemoglobin  hematocrit  mcv level low  iron normal rang 36,women health  femal health  ovul  home pregnanc test  cellul  irregular bleed  emerg contracept  amenorrhea  dermatolog  complementari altern medicin  viral infect  normal childbirth  rey syndrom  enlarg neck lymph node  famili medicin  append  viral gastroenter adult  pediatr  soft tissu injuri  intern medicin 36,arthriti  pain joint  rheumatoid arthriti  rheumat  hematocrit  complet blood count  cbc  iron
37,depend yore antibiot control swell  day week  antibiot  find differ dentist  infect cannot resolv tooth 37,gum left cheek swollen decay wisdom tooth dentist doesnt want remov still swell  mani day last 37,orthodont  tooth pain  child health  dentistri  tmj syndrom  children health  surgeri  dental pain  oral surgeri  cari  abscess  dental care  oral maxillofaci surgeri  root canal  dental cari  dental health  tooth abscess  teeth  gum diseas  gingiv 37,nan
38,type 1 common cold sore near lip due recurr herp type 1 2  herp virus  initi infect  live person nerv travel nerv surfac form blister break open  spread virus  type 1 common lip  type 2 common genit  peopl engag oral sex  either type one locat 38,type herp simplex virus caus cold sore 38,children health  vaccin 38,herp  cold sore  hsv  low temperatur  sex  travel  virus  nerv  herp simplex
39,diet agre dr  klauber  addit women  age  diet hormon effect urgenc bladder  acid food carbon drink citrus fruit  tomato   caffein  caus urgenc symptom occasion urg incontin  low vagin estrogen make women sensit urgenc symptom  hope help 39,question bladder  frequenc  urgenc  occasion incontin  uti  bladder pelvic floor prolaps 39,incontin  urinari tract infect  femal health  urinari incontin  hysterectomi  surgeri  menopaus  laparoscop surgeri  cystocel  cystometrogram 39,urinari tract infect  urinari urgenc  incontin  urinari urgenc  age grace  estrogen  diet  caffein  hormon  bladder
40,caution cautious anxiolyt  help  best use shortterm addict  perhap better long term strategi would understand afraid thing happen happen father  risk factor may entir differ may realli risk  also  consid increas celexa 20 g day 40,best medicin anxieti im celexa doesnt work  constant fear heart attack like father 40,dengu fever  human immunodefici virus  malaria  atroph vagin  transferrin  lipoprotein  st elev myocardi infarct 40,feel anxious  heart attack  myocardi infarct  cardiac arrest  citalopram  celexa  anxieti
41,see neurologist mani symptom seen fibromyalgia symptom could potenti indic serious neurolog problem   brain spinal diseas possibl need proper evalu diagnos treat 41,diagnos fibromyalgia 2005   got sever blur vision left eye  numb limb  dizzi  littl incontinec memori loss 41,arthriti  gout  bone loss 41,dizzi  memori loss  numb  blurri vision  amnesia  fibromyalgia  incontin  hazi vision  irrit eye  memori
42,60% parkinson patient experi mild moder depress 20% patient develop dementia 42,parkinson symptom braindo caus dementia depress 42,depress  schizophrenia  addict  panic attack 42,depress  dementia  parkinson diseas
43,see ent pulsatil tinnitus due chang blood flow vessel near ear  pulsatil tinnitus mani caus  specif caus found  may point specif solut  see ent consult 43,brief episod pulsatil tinnitus left ear upon stand   multipl normal 3t mri cta head neck headach  normal bp weigh 43,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 43,headach  magnet reson imag  mri  ring ear  tinnitus  cta  blood pressur
44,doctor   would good time either see regular doctor day appoint  go nearest urgent care er  could number problem need look 44,3 day  ive sever headach  sever back neck joint pain  dizzi  bad fatigu  fever  mening 19yr ago  worri better 44,back pain  neck pain  nerv condit  hip pain  cortison inject  pinch nerv 44,dizzi  fever  chest pain  headach  joint pain  sever headach  chest tight  lethargi  chest pressur  blood clot
45,test clinic doctor may test certain diseas gc chlamydia  need assur std test think done  inde done  call offic ask test done sure get result  best wish 45,got test last week stds  receiv txt say syphili negat howev noth regard hiv test chlamydia yet negat sign 45,urinari tract infect 45,sexual transmit infect  std  chlamydia infect  human immunodefici virus  syphili  hiv  hiv test
46,ask dentist dentist prescrib antibiot reason  diagnosi discuss  dont get answer dr  examin get second opinion diagnosi 46,swollen cheek  jaw gum left side  dentist provid amoxicillin metronidazol  toothach    what wrong 46,root canal  tooth pain  abscess  surgeri  anxieti  canker sore  inflamm gum  blister mouth  antibiot  earach 46,tooth pain  metrocream  norit  metronidazol  trikacid  flagyl er  flagyl  amoxil  amoxicillin
47,go see doctor good news yove figur common danger caus bright red bleed bowel  time go see famili doc check caus like diverticulosi  inflammatori bowel diseas confus w irrit bowel syndrom  bleed disord might caus stop aspirin  ibuprofen  naproxen etc least see ur doc 47,bleed butt  hemorrhoid  tear  constip  come insid  bright red 47,testosteron  androderm  male health  testoderm  erectil dysfunct  inabl sustain erect  inabl attain erect  dementia  alzheim diseas  dht  muse  hypogonad  fluphenazin  alprostadil  impot  viagra  erectil failur  prolixin 47,constip  hemorrhoid  anal swell
48,yes still go need reevalu 48,upper left abdomin pain year went doc 6 month ago us didnt see anyth go super busi  dont want unecessari bill 48,diabet  women health  hyperlipidemia  hypertens 48,abdomin discomfort  abdomin pain  belli pain
49,see ent multipl issu realli demand ent evalu 49,hidden white bump left tonsil  postnas drip  ear pain  tinnitus  pain swallow  sleep apnea  ear barotrauma  blurri vision  sore throat 49,allergi  asthma  skin rash  allerg reaction  rhiniti  celiac diseas  dermat  immun diseas  atop dermat  black mold allergi 49,sore throat  earach  throat pain  apnea  sleep apnea  hazi vision  blurri vision  barotrauma  ring ear  post nasal drip
50,go dentist describ   might tooth infect lump jaw lymph node    also might partial impact third molar wisdom tooth pericron   usual give ear pain headach    pleas dentist check proper diagnosi assess 50,jaw pain  headach ear pain pressur also painless lump chin jaw sure relat fever  pain reliev help 50,surgeri  sore throat  tmj syndrom 50,ear infect  headach disord  skin lump  deal wisdom teeth  lymphat  manag tmj
51,sound like possibl lupus check rhematologist 51,pain swollen joint wrist ankl  occasion red mark face  arm  chest  leg  ra lupus 51,bunion  diabet foot  ankl fractur  foot surgeri  ankl surgeri  ankl disord 51,arthriti  joint swell  ra  rheumatoid arthriti  system lupus erythematosus
52,may depend infect  sever  lymphnod may get reactiv swell effort work help fight infect  fungal infect usual minor cutan skin normal achiev lymph node activ 52,fungal infect bacteri infect peni groin lymph node swell 52,urinari tract infect 52,bacteri infect  fungal infect  bacteria
53,wipe tip may vigor wipe anal area bm caus irrit  wipe time soft toilet paper  use balneol cream wipe  use warm water compress final clean  pat anal area dri  lot itch could appli hydrocortison cream ointment daili heal  see md need 53,skin anus irrit itchi  anus skin cut  open   peal skin  broken littl spot 2or 3 month  frustrat 53,nan 53,nan
54,definit present sound like bacteri  howev either produc pus tonsil symptom describ  would get seen dr urgent care rapid strep test done sure need antibiot 54,pus cover swollen tonsil mean bacteria virus fever  chill ach 1 day extrem sore throat 54,health educ  sex educ  emerg medic care  women health  men health  child health  blood donat  sexual transmit infect  healthi pregnanc  educ  diabet  cough  supplement  dizzi  numb  vitamin supplement  diabet type 2  vertigo  emerg rescu 54,sore throat  throat pain  fever  swollen tonsil  pus  virus  bacteria
55,could start wit oral maxillofaci surgeon  servic orthodontist general dentist may also requir 55,tmj problem think wisdom teeth problem dizzi  headach  pressur molar area  test physician er came back fine could b teeth 55,orthodont  tooth pain  child health  dentistri  tmj syndrom  children health  surgeri  dental pain  oral surgeri  cari  abscess  dental care  oral maxillofaci surgeri  root canal  dental cari  dental health  tooth abscess  teeth  gum diseas  gingiv 55,dizzi  headach  tmj syndrom  wisdom teeth
56,probabl doctor perform procedur made wrap tight caus impair circul 56,fractur finger doctor use method tape finger next tape  cut circul blood 56,multipl sclerosi  neurolog  neuromuscular disord  immunosuppress therapi 56,circul
57,ok mayb cyst abscess like lesion need treat antibiot therapeut mean  dermatolog gyn abl reassess area tri option  depend examin find  best wish 57,21yo femal  std free  small pimpl like sore lower right vulva  prescrib clotrimazol betamethason  2 month chang 57,urinari tract infect 57,pimpl  std  sexual transmit infect  sexual transmit diseas  valison  lotrimin  clotrimazol  celeston  betamethason
58,fluid around lung gb surgeri common  gallbladd infect may reactiv fluid  caus  pneumonia  consid  infect appropri antibiot start  lot fluid restrict breath tube may place remov fluid  long oxygen level good infect control get better 58,fluid lung gb surgeri dementia cannot walk around much cough phlegm  treatment outlook still hospit 58,gastroesophag reflux diseas  bariatr  laparoscop surgeri  anti reflux surgeri  robot surgeri 58,cough  product cough  dementia  surgeri
59,podiatri sorri report answer situat requir examin found internet  best place start prefer podiatrist 59,cut foot year ago there hard lump  mayb calcium buildup  may  rest realli realli hurt walk 59,human immunodefici virus  male health  sexual transmit infect  depress  lose weight  testosteron  diabet  aid  std  addict  alcohol  men health  gay  lesbian transgend health 59,fibroma  podiatri  foot injuri  calcium
60,fast result fast inform procedur  pain good hand  smear show benign malign find 60,expect go fine needl aspir biopsi breast 60,cancer  pap smear  femal health  thyroid cancer  gastriti  human immunodefici virus  hep c  hepat c  fine needl aspir  thyroid nodul  skin biopsi  pimpl  colonoscopi  mole  melanoma  skin cancer  ulcer  migrain  cervic  antithyroid medic 60,femal health  biopsi  fine needl aspir
61,know test stds alreadi yet  intern vagin exam best test vagin discharg diagnosi see dr  vagin exam get discharg test  definit answer treatment would follow   best wish 61,wet toilet paper like discharg  thick vagin dryness  std yeast 61,urinari tract infect 61,sexual transmit diseas  std  sexual transmit infect  bacteri infect vagina  vagin infect  vagin dryness  yeast  bacteria  vagin  candida
62,often yeast itch almost alway yeast infect proven otherwis  tri otc treatmentani vagin antifung  doesnt work  consid make appoint doctor lesion bump look wouldnt want miss std  best wish 62,im small red bump toward vagina itch time time didnt shave 62,femal health  contracept  mens  healthi pregnanc  bleed  pap smear  vulvodynia  hysteroscopi  minim invas surgeri  dysfunct uterin bleed 62,small red bump  red bump
63,may hiatal hernia  part stomach move chest  howev symptom suggest heart attack taken light consult doctor earliest 63,hernia stomach caus uncomfort chest feel  similar come heart attack 63,cancer  nutrit  cervic cancer  ovarian cancer 63,heart attack  hernia  myocardi infarct  cardiac arrest
64,definit fever realli fever 100  4 degre present time 11 day need thorough medic exam  pleas seek care 64,ive fever month  11 day w relief alev tylenol  begin hour wake feel terribl  idea 64,sleep  femal health  acn  diabet  cancer  depress  child diabet  facial pimpl  lose weight  asthma  diabet risk  cerebr apoplexi  laparoscop surgeri  sleep disord  foul tast mouth  feel anxious  drowsi  fever  weight loss program  intern medicin pediatr 64,fever  tylenol  naproxen  alev  acetaminophen
65,tmj might tmj relat  see tmj expert evalu  dentist tmj expert proper train experi  common  oral surgeon  prosthodontist  orofaci pain specialist  ask md  dentist dental societi referr 65,blur vision cant focus  dizzi  nausea  heart feel like flutter ear jaw pain right side  blood work good cardio test good slow heart beat 65,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 65,dizzi  nausea  jaw pain  blurri vision  tmj syndrom  hazi vision  irrit eye  vision  dentistri
66,constant nasal cong constant nasal congest due allergi  kind nose spray use use conter afrin neosynephrin may real caus congest see doctor come afrin gradual get chronic rebound congest due sleep apnea alway respond cpap use  also make appt sleep speacialist first see yr md 66,hubbi alway congest  use nasal spray night despit direct snore loud due sleep apnea  cpap didnt work  advic 66,asthma  pediatr  immun  prevent medicin  metabol syndrom  endocrinolog 66,snore  apnea  sleep apnea  nasal spray  oxymetazolin  sleep  phenylephrin  snore  continu posit airway pressur  decongest
67,biopsi result answer question definit  major lesion benign  inconclus fine needl aspir result dont make like malign 67,needl aspir cyst right breast didnt collaps 2nd asprtn 2 test cell unsur result biopsi done result fri    cancer 67,digit mammogram  mammogram  sonogram  ct scan  ultrasound breast  breast cancer  breast carcinoma  femal health  breast biopsi  breast needl biopsi  xray chest  mri breast  ct chest  mri breast contrast  mri scan  radiolog  ct abdomen  transvagin ultrasound pelvi  diagnost radiolog 67,ultrasound guid needl core biopsi breast  breast biopsi
68,tooth abscess antibiot pain medic part manag abscess tooth help tempor thing get definit treatment  extract tooth  pleas make appoint see dentist oral surgeon sooner later 68,dentist prescrib antibiot pain med tooth abscess yesterday  today still pain face swollen gum lip numb normal 68,sore throat  diabet  hypertens  urinari tract infect  cardiopulmonari resuscit  acut cardiovascular diseas 68,abscess  numb  tooth abscess  dental abscess  oral surgeri  pain medicin  antibiot  analges  oral maxillofaci surgeri
69,cannot diagnos without know exact way know whether communic babi  would probabl late anyway  hope babi stay well clear quick 69,bodi ach diarrhea fever  saw md  got steroid shot  flustrep came back negat  could contagi 7mo old home 69,aid  pneumonia  urinari tract infect  sexual transmit diseas  infect heart valv  bacteri infect  bacteri endocard  osteomyel  respiratori tract infect  septic arthriti  pneumocysti jirovecii pneumonia  prophylact antibiot 69,flu  diarrhea  loos stool  fever  bodi ach  steroid shot  steroid
70,discuss need discuss gyn could need surgeri futur 70,hospit 2 day due abdomin pain  doctor told complex 7cm ovarian cyst  go away  need surgeri 70,anesthesia  cardiac bypass 70,abdomin discomfort  abdomin pain  ovarian cyst  belli pain  pain manag  surgeri
71,normal symptom neck pain  swollen gland  fluid behind ear drum cold sore strong suggest viral upper respiratori infect  treatment amoxacillin therefor might indic  general rule ent physician follow this: symptom get wors 5 day better 10 day  recommend empir antibiot 71,neck pain  fluid behind ear  swollen gland neck cold sore right side   dr  put amoxil steriod  normal 71,nan 71,cold sore  neck pain  swollen gland  enlarg lymph node  enlarg gland  herp simplex  amoxil  amoxicillin
72,sure    might associ infect tooth gum  know sure  yoll visit local dentist  make call appoint 72,lump cheek bone  like firm sac  run direct diagon ear mouth deep  could anyth tooth jaw infectio 72,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 72,nan
