0,common surgeri relat common low risk procedur experienc ent surgeon 0,use salt water nasal spray help prevent develop perfor septum 0,breast implant  liposuct  tummi tuck  facelift  breast augment  tuck  facial plastic surgeri  labiaplasti  labial reduct 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
17,unclear unclear inform provid  could thing  start evalu md 17,tmj also caus stiff neckjaw line ach  ring ear  stiff neck  slight vertigo jaw stiff move fine jaw click crack help 17,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 17,headach  dizzi  tmj syndrom  grind teeth  stiff neck  ring ear  vertigo
18,dream dream disturb number level  dream  influenc realiti  feel new lump  see doctor   hope better dream 18,need mammogram breast ultrasound 18,digit mammogram  mammogram  sonogram  ct scan  ultrasound breast  breast cancer  breast carcinoma  femal health  breast biopsi  breast needl biopsi  xray chest  mri breast  ct chest  mri breast contrast  mri scan  radiolog  ct abdomen  transvagin ultrasound pelvi  diagnost radiolog 18,breast cancer  cancer  calcium  biopsi  repeat ultrasound  ultrasound breast  sonogram  mammogram  digit mammogram
19,sleep apnea  snore sever possibilities: peopl snore sleep back  tri avoid  lose weight  see ear nose  throat specialist evalu tonsil  adenoid sinus  overnight sleep studi evalu sleep apnea wear cpap wear custom made dental devic hold jaw forward sleep therebi increas airway 19,hi    way get rid snore   mom srver problem snore 19,sleep apnea  tmj syndrom  cosmet dentistri 19,snore  sleep apnea  snore
20,need seen unlik event penicillin resist tonsil  may abscess  constant sever sore throat difficulti swallow  high fever etc  like postnat drainag  either easi pick exam  throat pain drainag tend wors morn  bad day  may worsen night  get seen 20,cut kitchen knife tuesday  yesterday woke sore throat difficulti  swallow  today stiff jaw tetnaus anoth infect cut 20,diabet  lose weight  prevent medicin  erectil dysfunct  breathless 20,throat pain  sore throat  stiff  swallow disord  difficulti swallow
21,neck injuri yes  acquir cervic spondylosi common head neck trauma  common present neck pain  physic therapi rehab help great  also  ask neurologist physiatrist oral +  topic med help treat pain  nonmed treatment = warm bath  massag  hot moist compress neck 4x day  stress reduct  sleep 8 hrs everi night  quit smoke  good luck 21,bump like zit rim head peni white forev never paid attent normal wro 21,migrain  multipl sclerosi  sleep hygien  dizzi  exercis  natur remedi  stroke  sleep  epilepsi  ten  migrain headach  copaxon  neurolog  fibromyalgia  eustachian tube dysfunct  topiram  headach  migrain 21,acn  pimpl
22,see md first start see primari care physician evalu  unfortun cannot conduct proper dental medic exam internet 22,otc mouth gaurd help till get see tmj doc cant see anoth 3 week sick ear full  dizzi  ent say prolli tmj 22,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 22,dizzi  tmj syndrom  ear full  ent head neck surgeri  ear nose throat  vertigo
23,otc mouthgard otc mouthgard custom fit  often thick creat uneven bite make tmj discomfort wors  said  tri one see help   discontinu use symptom get wors  perhap look anoth dentist see sooner might best option 23,use nasal spray help treat deviat septum 23,tmj syndrom  tooth pain  canker sore  root canal  cari  dental pain  dental implant 23,headach  deviat nasal septum  shock  surgeri  rhinoplasti  oxymetazolin  ent head neck surgeri  ear nose throat  cartilag
24,sleep apnea sleep apnea caus depress decreas sex drive decreas attent  concetr  memori etc 24,sleep studi done child noth found sleep apena diagnos today think tmj seroquel chang breath talk pcp 24,sleep  psychiatri  depress  anxieti  insomnia  sleep apnea  apnea  femal health  child health  snore  sleep disord  citalopram  norepinephrin blood level  levoph  norepinephrin  advil  lyrica  pristiq  nortriptylin  nuprin 24,tmj syndrom  sleep apnea  apnea  sleep studi  seroquel  quetiapin  children  sleep
25,swell alway contact surgeon concern  fact test clot negat good  speak surgeon compress edema  lot patient ad knee surgeri mani compress therapi part recoveri   need   see surgeon 25,anyon know  hallux valgushamm toe correct surgeri  doctor arrang plaster pari bandag upto knee 25,surgeri  orthot  co2 laser  co2 laser  fungal nail infect  foot surgeri  orthot 25,bunion  hammer toe repair  bunion repair  hammerto correct  bunion remov  surgeri  hammer toe  hallux valgus  foot surgeri
26,snore differ caus treatment option  enlarg tonsil  adenoid  obes  etc  caus  sometim famili whole famili snore snore sleep apnea long term health consequ  see ent doctor  get check find caus appropri treatment 26,way reduc loud someon snore complet stop snore 26,child health  children health  allergi  inhal  diarrhea  bacteri mening  sleep  vaccin  asthma  gastroenterolog  obes  bladder infect  mening  hypersensit  attent deficit hyperact disord children  atop dermat  vaccin prevent ill 26,snore  sleep apnea  snore
27,yes  disabl yes  disabl 27,overthecount med joint pain ankl  knee  wrist  etc 27,arter  polymyalgia rheumatica  giant cell arter  marfan syndrom 27,joint pain
28,doctor schedul appoint mom dad doctor go appoint discuss concern 28,vascular dementia wors alzheim   end stage 28,dementia  alzheim diseas  depress  hypersomnia  memori  memori loss  clinic psycholog  sleep health  senior health  veteran militari health 28,dementia  alzheim diseas  vascular dementia
29,lab result indirect bilirubin elev  seen doctor  could due medic  under diseas like sickl cell gilbert diseas  cirrhosi  chronic hepat 29,last blood test result includ these: albumin 3 9  total protein 7 0  alkalin phosphatas 165  ast sgot 31  alt sgpt 86  bilirubin  total 0 5  bilirubin  direct 0 2  hint liver problem 29,nan 29,total protein  sgpt  sgot  protein  bilirubin  ast  alkalin phosphatas  albumin
30,swollen finger bar histori trauma  describ symptom consist infect  either way check  treat earli typic get better soon  good luck 30,tooth abcess facial swell  puffi eye  swollen lip  went emerg room said hasnt spread  switch differ antibiot  okay 30,carpal tunnel syndrom  tendon  dupuytren contractur  contractur  wrist pain  arthriti  carpal tunnel surgeri  hand surgeri  wrist arthroscopi  wrist injuri disord  occup injuri  rheumatolog 30,abscess  swollen eye  lip swell  facial swell  antibiot  facial
31,call dentist recommend call dentist explain what go  even offic close  dentist way get back short  dentist avail thing get better  see oral surgeon 31,root canal fill near 12 mth ago  abscess tooth  face swollen etc neck seem take amoxicillin day 31,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 31,wound  abscess  antibiot  molar tooth  amoxil  amoxicillin  root canal
32,clench grind bruxism para function habit sad mani us suffer  best evalu dentist see option  hope help 32,botox tmj spasm month ago  know botox wea  possibl itll give muscl chanc heal  effect b longterm 32,nan 32,tmj syndrom  botox  xeomin
33,yes oral herp cold sore genit herp caus herp simplex virus  oral infect usual caus type 1 virus strain  genit infect type 2 strain  howev  equal opportun virus usual oral type 1 strain caus herp genit locat  usual type 2 genit strain caus oral herp 33,get cold sore  transmit hsv1 someon genit oral sex dont cold sore 33,children health  vaccin 33,cold sore  herp simplex  sex
34,multipl symptom tmj disfunct often caus bruxism chronic teeth grind clench  symptom includ tmj pain  pain near ear  chronic headach migrain  neck shoulder pain  often result stress  swollen lymph node usual symptom infect  see dentist examin diagnosi caus symptom 34,cant tell  left jaw right back curv may ever slight swollen  swollen gland anywher els   tmj issu   concern 34,tmj syndrom  tooth pain  canker sore  root canal  cari  dental pain  dental implant 34,tmj syndrom  enlarg lymph node  swollen gland  enlarg gland
35,may need surgic shoe boot  doubt need cast 35,neck knee arthritus  want whole bone structur evalu  type doctor call 35,sport medicin  diabet foot  heel injuri disord  bunion repair  topic medic laser treatment 35,arthriti
36,yes yes  mani reason infant may constip 36,39 year old woman mild moder rheumatoid arthriti   cbc done  hemoglobin  hematocrit  mcv level low  iron normal rang 36,infertil  gastroenterolog  synthroid  dermatolog  thyroxin  rhiniti  growth hormon  rheumatolog  pharmaceut assist 36,arthriti  pain joint  rheumatoid arthriti  rheumat  hematocrit  complet blood count  cbc  iron
37,muscl spasm option muscl spasm appear like swell along jaw pain  cannot open mouth full amount   like muscl spasm need work get rid spasm  warm moist compress side cheek along slowli stretch mouth open use 37,gum left cheek swollen decay wisdom tooth dentist doesnt want remov still swell  mani day last 37,tmj syndrom  tooth pain  dental implant  dental care  ach  manag tmj  emerg medic care  dental bridg  dental procedur  emerg dentistri 37,nan
38,probabl high contagi phase cold sore hsv1 transmiss activ lesion million virus pass area bodi someon els 38,type herp simplex virus caus cold sore 38,sleep  tmj syndrom  teeth  snore  sleep apnea  apnea  root canal  oral surgeri  dentistri  tooth pain  dental implant  cleft lip  bone loss  orthodontia 38,herp  cold sore  hsv  low temperatur  sex  travel  virus  nerv  herp simplex
39,hope urinalysi minimum standard care would requir least simpl dipstick urin analysi perform  would nitrit posit bacteria present  probabl leucocyt esteras posit white blood cell present  mani drs order urin cultur isol uti typic symtom  certain reduc manag cost  drs alway get urin cultur 39,question bladder  frequenc  urgenc  occasion incontin  uti  bladder pelvic floor prolaps 39,circumcis  bedwet  incontin  kidney problem  hypospadia repair  bladder exstrophi repair 39,urinari tract infect  urinari urgenc  incontin  urinari urgenc  age grace  estrogen  diet  caffein  hormon  bladder
40,yes  common hiatal hernia often associ reflux acid gastric content esophagus caus heartburn pain similar caus heart attack  para esophag hernia allow stomach move chest  twist caus necrosi death stomach caus pain  nausea vomit surgic emerg 40,best medicin anxieti im celexa doesnt work  constant fear heart attack like father 40,breast cancer  colorect cancer  lung cancer  pancreat cancer  liver cancer 40,feel anxious  heart attack  myocardi infarct  cardiac arrest  citalopram  celexa  anxieti
41,mri mra consid brain mri mra 41,diagnos fibromyalgia 2005   got sever blur vision left eye  numb limb  dizzi  littl incontinec memori loss 41,asthma 41,dizzi  memori loss  numb  blurri vision  amnesia  fibromyalgia  incontin  hazi vision  irrit eye  memori
42,sleep apnea sleep apnea caus depress decreas sex drive decreas attent  concetr  memori etc 42,parkinson symptom braindo caus dementia depress 42,sleep  psychiatri  depress  anxieti  insomnia  sleep apnea  apnea  femal health  child health  snore  sleep disord  citalopram  norepinephrin blood level  levoph  norepinephrin  advil  lyrica  pristiq  nortriptylin  nuprin 42,depress  dementia  parkinson diseas
43,migrain serious complex neurolog disord  unilater throb headach  dizzi  dysesthesia  visual disturb nausea  sensit light sound  paresthesia even chest pain may present episod  manag condit  see orofaci pain headach specialist evalu profession manag 43,brief episod pulsatil tinnitus left ear upon stand   multipl normal 3t mri cta head neck headach  normal bp weigh 43,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 43,headach  magnet reson imag  mri  ring ear  tinnitus  cta  blood pressur
44,time see doctor  six week long time cough need evalu  pleas see doctor  consult site inform  get caught 6 8 week 6 week long enough young person  http:  www mayoclin com health chroniccough ds00957 44,3 day  ive sever headach  sever back neck joint pain  dizzi  bad fatigu  fever  mening 19yr ago  worri better 44,cancer  nutrit  cervic cancer  ovarian cancer 44,dizzi  fever  chest pain  headach  joint pain  sever headach  chest tight  lethargi  chest pressur  blood clot
45,cbc cbc  std test order specif suspicion 45,got test last week stds  receiv txt say syphili negat howev noth regard hiv test chlamydia yet negat sign 45,diabet  heart attack  irregular menstrual period  home pregnanc test  integr medicin  irregular bleed  testosteron  gluten free diet  improv mental health  babi care  fibromyalgia  cough  sleep  yeast infect  testoderm  stroke  nutrit  glucos  supplement  vitamin 45,sexual transmit infect  std  chlamydia infect  human immunodefici virus  syphili  hiv  hiv test
46,normal may discharg foray day free antibiot cure complet  may due residu inflamm  overgrowth residentv yeast bacteria  must go back test cure schedul 46,swollen cheek  jaw gum left side  dentist provid amoxicillin metronidazol  toothach    what wrong 46,nan 46,tooth pain  metrocream  norit  metronidazol  trikacid  flagyl er  flagyl  amoxil  amoxicillin
47,avoid strain take 2 hour bm take long  strain bm lead problem like hemorrhoid  fissur  prolaps rectum push outsid  need drink plenti water eat plenti fiber everi day  take fiber supplement  spend minut bathroom  stool come  get  walk around  activ  dont strain 47,bleed butt  hemorrhoid  tear  constip  come insid  bright red 47,cancer  surgeri  anal fissur  lipoma  breast cancer  hemorrhoid  femal health  breast carcinoma  hernia  burn  verruca  breast tender  mole remov  breast ach  gi surgeri  paronychia  treat genit wart  std prevent  fleet enema  sodium bisphosph 47,constip  hemorrhoid  anal swell
48,depend time go away either burst retract  sometim persist 48,upper left abdomin pain year went doc 6 month ago us didnt see anyth go super busi  dont want unecessari bill 48,wound care 48,abdomin discomfort  abdomin pain  belli pain
49,knot unusu group symptom    worri infect  pleas call doctor 49,hidden white bump left tonsil  postnas drip  ear pain  tinnitus  pain swallow  sleep apnea  ear barotrauma  blurri vision  sore throat 49,vision  glaucoma  cataract  diabet  blood eye  floater  ophthalmolog  surgeri  macular degener  lasik  diabet eye problem 49,sore throat  earach  throat pain  apnea  sleep apnea  hazi vision  blurri vision  barotrauma  ring ear  post nasal drip
50,jaw pain tooth jaw pressur pain may bruxism chronic teeth grind clench  may relat wisdom teeth  may dental issu  clinic exam dentist determin caus pain  consid wisdom teeth remov caus chronic problem  ask dentist bruxism tooth gum infect 50,jaw pain  headach ear pain pressur also painless lump chin jaw sure relat fever  pain reliev help 50,tmj syndrom  tooth pain  canker sore  root canal  cari  dental pain  dental implant 50,ear infect  headach disord  skin lump  deal wisdom teeth  lymphat  manag tmj
51,rash sure 3 antihistamin  suppos treat rash  assum hive associ arthriti  rheumatologist help 51,pain swollen joint wrist ankl  occasion red mark face  arm  chest  leg  ra lupus 51,allergi  skin rash  asthma  cough  child health  dermat  runni nose  rhiniti  food allergi  child allergi  allerg reaction  stuf nose  chronic sinus  allerg rhiniti  hereditari angioedema 51,arthriti  joint swell  ra  rheumatoid arthriti  system lupus erythematosus
52,cours presenc bacteria rotten tooth alert bodi defens lymph system thus lymph node may swell behind ear 52,fungal infect bacteri infect peni groin lymph node swell 52,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 52,bacteri infect  fungal infect  bacteria
53,see md order answer question give accur diagnosi  need see physician gp ent  requir clinic examin mere give list possibl serv purpos 53,skin anus irrit itchi  anus skin cut  open   peal skin  broken littl spot 2or 3 month  frustrat 53,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 53,nan
54,could strep throat viral infect look act similar  get throat cultur know 54,pus cover swollen tonsil mean bacteria virus fever  chill ach 1 day extrem sore throat 54,dizzi  vertigo  surgeri  congest  thyroid surgeri  rhiniti  chronic sinus  septoplasti  acut sinus  facial pain  hear loss  thyroidectomi  endoscop sinus surgeri  ear drop  salivari gland disord 54,sore throat  throat pain  fever  swollen tonsil  pus  virus  bacteria
55,separ condit condit need treat separ  see physician constant headach  neck pain  dizzi  etc evalu  test treatment option  see dentist teeth ach foe examin xray 55,tmj problem think wisdom teeth problem dizzi  headach  pressur molar area  test physician er came back fine could b teeth 55,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 55,dizzi  headach  tmj syndrom  wisdom teeth
56,accur first use sensit reagen guaiac base  sensit find blood stool 1025%  use three time recommend sensit go around 8090%  specif accuraci test low mani condit caus blood stool  colonoscopi sensit specif accur 56,fractur finger doctor use method tape finger next tape  cut circul blood 56,cancer  chemotherapi  leukemia  lung cancer  lymphoma  colon cancer  skin cancer  melanoma  cervic cancer  mouth cancer  ovarian cancer  multipl myeloma  stomach cancer  chronic myelogen leukemia  throat cancer  oncolog  thrombocytopenia  small cell lung cancer  chronic leukemia  oral cancer 56,circul
57,could either yeast infect irrit shave caus itch  white discharg much heavier use antibiot late  reason treat counter antifung cream  generic store brand fine 57,21yo femal  std free  small pimpl like sore lower right vulva  prescrib clotrimazol betamethason  2 month chang 57,immun 57,pimpl  std  sexual transmit infect  sexual transmit diseas  valison  lotrimin  clotrimazol  celeston  betamethason
58,virus sound like virus gone chest given bronchiti  continu antibiot take otc cough med  drink lot water  cough get wors go see doctor listen chest 58,fluid lung gb surgeri dementia cannot walk around much cough phlegm  treatment outlook still hospit 58,nan 58,cough  product cough  dementia  surgeri
59,fx infect   gout c ur pcp 4 eval  lab test well xray 59,cut foot year ago there hard lump  mayb calcium buildup  may  rest realli realli hurt walk 59,exercis  back pain  osteoporosi  sprain strain  mri shoulder  exercis fit program  bone infect  shoulder mri arthrogram  mri scan  osteochondr dissecan  tibia fractur  fever  ankl surgeri  acl injuri  low impact exercis  comminut fractur surgeri  laminectomi 59,fibroma  podiatri  foot injuri  calcium
60,suspici imag techniqu mri may indic level suspicion malign context sever find histori physic examin  howev  diagnosi ultim requir biopsi 60,expect go fine needl aspir biopsi breast 60,breast implant  liposuct  tummi tuck  facelift  breast augment  tuck  facial plastic surgeri  labiaplasti  labial reduct 60,femal health  biopsi  fine needl aspir
61,could review symptom primari care doctor adequ treatment plan set  best luck 61,wet toilet paper like discharg  thick vagin dryness  std yeast 61,obes  anti age medicin  sport medicin  dermatolog 61,sexual transmit diseas  std  sexual transmit infect  bacteri infect vagina  vagin infect  vagin dryness  yeast  bacteria  vagin  candida
62,see doc dont say sore throat  regardl new  need get seen  could strep throat need treat antibiot avoid chanc get rheumat fever  also  strep throat goe away without antibiot  treatment essenti within 10 day onset ill  rheumat fever develop 62,im small red bump toward vagina itch time time didnt shave 62,nan 62,small red bump  red bump
63,like panic attack panic attack  like experi symptom similar heart attackshort breath  pound rapid heart beat  sweat  dizzi  chest pain  nausea  even pass  tend get wors everi time happen get scare worri next one come  treatablemani effect option  pleas consult doc  good luck 63,hernia stomach caus uncomfort chest feel  similar come heart attack 63,children health  exercis  diabet  chronic high blood pressur  musculoskelet problem 63,heart attack  hernia  myocardi infarct  cardiac arrest
64,info need    treatment yet wait treatment type procedur infect ten day long time pain resolv tooth treat  someth amiss treatment indic  dentist reevalu area 64,ive fever month  11 day w relief alev tylenol  begin hour wake feel terribl  idea 64,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 64,fever  tylenol  naproxen  alev  acetaminophen
65,see doctor blur vision dizzi could someth serious  even sinus infect  symptom warrant see doctor immedi 65,blur vision cant focus  dizzi  nausea  heart feel like flutter ear jaw pain right side  blood work good cardio test good slow heart beat 65,child allergi  asthma  allergi  child health  hypersensit  children health  rash  cough  nasal  itch  allerg reaction  rhiniti  fever  psoriasi  immun defici  food allergi  atop dermat  insect venom panel  chronic sinus  acut sinus 65,dizzi  nausea  jaw pain  blurri vision  tmj syndrom  hazi vision  irrit eye  vision  dentistri
66,thing thing  regard breath  may benefit salin rins  consid use air humidifi difficult nasal airway may improv  regard sleep apnea etc  check bodi mass index keep 30 time 66,hubbi alway congest  use nasal spray night despit direct snore loud due sleep apnea  cpap didnt work  advic 66,brain aneurysm  pituitari adenoma  chiari malform  minim invas surgeri  normal pressur hydrocephalus  transsphenoid surgeri 66,snore  apnea  sleep apnea  nasal spray  oxymetazolin  sleep  phenylephrin  snore  continu posit airway pressur  decongest
67,biopsi fine needl aspir breast typic perform drain cyst lidocain may administ allevi pain  fine needl aspir biopsi also perform lymph node axilla armpit  typic done without lidocain 67,needl aspir cyst right breast didnt collaps 2nd asprtn 2 test cell unsur result biopsi done result fri    cancer 67,mammogram  ct scan  cancer  sonogram  mri scan  breast cancer  imag 67,ultrasound guid needl core biopsi breast  breast biopsi
68,pericoron sound like may inflam around gum tissu area  recommend see oral surgeon evalu possibl extract wisdom tooth 68,dentist prescrib antibiot pain med tooth abscess yesterday  today still pain face swollen gum lip numb normal 68,root canal  tooth pain  abscess  surgeri  anxieti  canker sore  inflamm gum  blister mouth  antibiot  earach 68,abscess  numb  tooth abscess  dental abscess  oral surgeri  pain medicin  antibiot  analges  oral maxillofaci surgeri
69,strep virus strep throat subset sore throat  caus virus dont respond antibiot  word  take antibiot wont speed recoveri  unless strep  need exam figur  also use centor criteria http:  www mdcalc com modifiedcentorscoreforstreppharyng  determin need test 69,bodi ach diarrhea fever  saw md  got steroid shot  flustrep came back negat  could contagi 7mo old home 69,testosteron  androderm  male health  testoderm  erectil dysfunct  inabl sustain erect  inabl attain erect  dementia  alzheim diseas  dht  muse  hypogonad  fluphenazin  alprostadil  impot  viagra  erectil failur  prolixin 69,flu  diarrhea  loos stool  fever  bodi ach  steroid shot  steroid
70,depend soon extract  stitch remov often  alway pain swell great diminish complet gone  time stitch remov   various factor consider: difficulti extract  infect present  pain toler   pain threshold individu patient 70,hospit 2 day due abdomin pain  doctor told complex 7cm ovarian cyst  go away  need surgeri 70,child health  dentistri  sleep  abscess  root canal  teeth whiten  sleep apnea  cosmet dentistri  fals teeth  tmj syndrom  bad breath  dri mouth  snore  tooth pain  tooth abscess  cancer  children health  mouthguard  dental implant  periodont 70,abdomin discomfort  abdomin pain  ovarian cyst  belli pain  pain manag  surgeri
71,rx infect antibiot painkil may help control infect  cure  cure infect infect tooth materi remov fill root canal rx tooth remov  antibiot may limit spread infect long take  problem come roar back stop  pleas call hour dentist get wors 71,neck pain  fluid behind ear  swollen gland neck cold sore right side   dr  put amoxil steriod  normal 71,orthodont  tooth pain  child health  dentistri  tmj syndrom  children health  surgeri  dental pain  oral surgeri  cari  abscess  dental care  oral maxillofaci surgeri  root canal  dental cari  dental health  tooth abscess  teeth  gum diseas  gingiv 71,cold sore  neck pain  swollen gland  enlarg lymph node  enlarg gland  herp simplex  amoxil  amoxicillin
72,long differneti benign malign caus     recent could infect  slowli enlarg  could development  find answer requir thorough exam ent doc  may use intern view in=mag 72,lump cheek bone  like firm sac  run direct diagon ear mouth deep  could anyth tooth jaw infectio 72,lung cancer  radiat therapi  small cell lung cancer 72,nan
