0, may treat nasal congest 0,use salt water nasal spray help prevent develop perfor septum 0,rhinoplasti  facelift  facial plastic surgeri  septoplasti  eyelid lift  nasal fractur  nasal septum repair  nasal polyp remov  eye lift  skin cancer 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
29,sever caus alt  ast  bilirubin liver test  elev mani reason  mani medic  alcohol common substanc caus abnorm liver test  fat liver caus obes high cholesterol also common caus abnorm liver test  also mani under ill caus increas liver test well 29,last blood test result includ these: albumin 3 9  total protein 7 0  alkalin phosphatas 165  ast sgot 31  alt sgpt 86  bilirubin  total 0 5  bilirubin  direct 0 2  hint liver problem 29,breastfeed consult  women health  homeopathi  infant feed disord 29,total protein  sgpt  sgot  protein  bilirubin  ast  alkalin phosphatas  albumin
30,may cancer breast cancer usual present pain swell case  pain armpit may relat nearbi infect hair follicl breast  see doctor get check asap 30,tooth abcess facial swell  puffi eye  swollen lip  went emerg room said hasnt spread  switch differ antibiot  okay 30,kidney diseas  immunosuppress therapi 30,abscess  swollen eye  lip swell  facial swell  antibiot  facial
31,infect infect  mani possibl caus  possibl fractur root fail root canal  abscess wont heal without remov etc get endodontist asap 31,root canal fill near 12 mth ago  abscess tooth  face swollen etc neck seem take amoxicillin day 31,root canal  tooth pain  abscess  surgeri  anxieti  canker sore  inflamm gum  blister mouth  antibiot  earach 31,wound  abscess  antibiot  molar tooth  amoxil  amoxicillin  root canal
32,possibl tmj could tension headach associ tmj  recommend consult dentist 32,botox tmj spasm month ago  know botox wea  possibl itll give muscl chanc heal  effect b longterm 32,tmj syndrom  tmj surgeri  dental care 32,tmj syndrom  botox  xeomin
33,like hsv1 virus near alway transmit sexual contact either oral genit 33,get cold sore  transmit hsv1 someon genit oral sex dont cold sore 33,pharmaceut assist 33,cold sore  herp simplex  sex
34,like infect need proper head neck physic examin possibl cultur throat  see doctor ent physician one 34,cant tell  left jaw right back curv may ever slight swollen  swollen gland anywher els   tmj issu   concern 34,pituitari disord  endocrin disord  psychopharmacolog treatment  psychotherapi 34,tmj syndrom  enlarg lymph node  swollen gland  enlarg gland
35,high fibular fractur high fibular fractur usual need surgic correct  howev  usual associ sever ligament ruptur fractur closer ankl  make sure ankl xray   go back doctor take full set ankl xray insur issu attend 35,neck knee arthritus  want whole bone structur evalu  type doctor call 35,diabet  diabet neuropathi  ankl sprain  plantar fasciiti  broken foot  diabet ulcer  neuroma  wound care  neuropathi  ankl pain  ankl trauma  foot trauma  foot care  plantar wart  wound infect  wound heal 35,arthriti
36,see answer osteoarthr general thought caus wear tear joint destruct due mechan caus  rheumatoid arthriti caus damag joint immun system  treatment prognosi differ two 36,39 year old woman mild moder rheumatoid arthriti   cbc done  hemoglobin  hematocrit  mcv level low  iron normal rang 36,rheumatoid arthriti 36,arthriti  pain joint  rheumatoid arthriti  rheumat  hematocrit  complet blood count  cbc  iron
37,dental problem need dental exam make diagnosi  may gingiviit periodont diseas  last see dentist 37,gum left cheek swollen decay wisdom tooth dentist doesnt want remov still swell  mani day last 37,nan 37,nan
38,yes close relat cant get genit herp oral sore normal circumst 38,type herp simplex virus caus cold sore 38,erectil dysfunct  infertil  peni disord  testicular disord  male genit disord  men health 38,herp  cold sore  hsv  low temperatur  sex  travel  virus  nerv  herp simplex
39,part associ caus factor caus stress incontin stress incontin occur without prolaps 39,question bladder  frequenc  urgenc  occasion incontin  uti  bladder pelvic floor prolaps 39,incontin  laparoscop surgeri  rectal prolaps  urinari incontin  uterin prolaps  fecal incontin  heavi period 39,urinari tract infect  urinari urgenc  incontin  urinari urgenc  age grace  estrogen  diet  caffein  hormon  bladder
40,lack blood suppli yes  lack blood heart muscl blood vessel caus damag muscl 40,best medicin anxieti im celexa doesnt work  constant fear heart attack like father 40,asthma  insomnia  obstruct sleep apnea  sleep disord  critic care 40,feel anxious  heart attack  myocardi infarct  cardiac arrest  citalopram  celexa  anxieti
41,symptom suggest sinus infect  acut sinus infect most common follow cold  1014 day cold  cold symptom go away  consid sinus infect  symptom nasal congest  nasal discharg  thick postnas drainag yellowish greenish particular soon aris  half patient sinus headach pressur most common behind eye area  chronic sinus problem call chronic rhinosinus medic symptom last longer 3 month  mani patient similar symptom last month year  fatigu occur 80% patient  symptom includ plug ear cough 41,diagnos fibromyalgia 2005   got sever blur vision left eye  numb limb  dizzi  littl incontinec memori loss 41,back pain  pain joint  pain back  arthriti  allergi  hypersensit  lip swell  child allergi  skin rash  sore throat  congest  throat pain  stuf nose  cough  dermat  diphenhydramin  allerg reaction  fish allergi  rash  nasal 41,dizzi  memori loss  numb  blurri vision  amnesia  fibromyalgia  incontin  hazi vision  irrit eye  memori
42,depend like cancer  depend locat factor  brain tumor vital structur caus symptom quick  locat less critic structur  may get quit larg obvious symptom 42,parkinson symptom braindo caus dementia depress 42,cancer  chemotherapi  leukemia  brain tumor  cancer nose throat 42,depress  dementia  parkinson diseas
43,lhermitt ms lhermitt phenomenon occur mani reason  normal mri studi exam elimin ms intervertebr disc diseas caus  clear caus  feel reassur  base find 43,brief episod pulsatil tinnitus left ear upon stand   multipl normal 3t mri cta head neck headach  normal bp weigh 43,seizur  multipl sclerosi  neuropathi  nerv damag  live al 43,headach  magnet reson imag  mri  ring ear  tinnitus  cta  blood pressur
44,possibl    evalu age 22 yrs        probablil symptom common cardiovascular  usual gastrointestin      pain may colicki  peptic ulcer diseas gb unusu must suspect  howev  myocard  unusu cardiovascular disord must consid lab ecg investig 44,3 day  ive sever headach  sever back neck joint pain  dizzi  bad fatigu  fever  mening 19yr ago  worri better 44,holter monitor  cardiovascular diseas  prevent medicin  heart failur 44,dizzi  fever  chest pain  headach  joint pain  sever headach  chest tight  lethargi  chest pressur  blood clot
45,negat result lucki negat result 45,got test last week stds  receiv txt say syphili negat howev noth regard hiv test chlamydia yet negat sign 45,human immunodefici virus  diabet  ulcer  hepat  irrit bowel syndrom  diabet type 2  copd  anemia  heart failur  low blood pressur  hypotens  hypertens 45,sexual transmit infect  std  chlamydia infect  human immunodefici virus  syphili  hiv  hiv test
46,infect may need flap gum remov tooth avoid reoccurr issu 46,swollen cheek  jaw gum left side  dentist provid amoxicillin metronidazol  toothach    what wrong 46,tmj syndrom  sleep  headach  dentistri  tooth pain  sleep apnea  exercis  vitamin supplement  dental care  eat healthier  root canal  apnea  dizzi  hypothyroid  numb  exercis  manag tmj  snore  gum diseas  dental cari 46,tooth pain  metrocream  norit  metronidazol  trikacid  flagyl er  flagyl  amoxil  amoxicillin
47,confus question anal fissur common problem handl pcps  certain pediatrician  dont think ever seen kid true case hemorrhoid 3 decad pediatr practic occur would find send treatment 47,bleed butt  hemorrhoid  tear  constip  come insid  bright red 47,child health  chickenpox  ear infect  sleep hygien  learn disord 47,constip  hemorrhoid  anal swell
48,nonvitalrt  canal last full mouth seri radiograph dentist see problem tooth radiograph  could possibl refer pain anoth area  area question  maxillari archtop teeth  may sinus involv may involv teeth  dentist percuss test check fractur 48,upper left abdomin pain year went doc 6 month ago us didnt see anyth go super busi  dont want unecessari bill 48,root canal  tooth pain  tmj syndrom  dentistri  cari  dental cari  dental care  dental health  inflamm gum  earach  numb  gum diseas  roentgen ray  ent head neck surgeri  cosmet  crowd teeth  throat pain  sore throat  emerg dentistri  dental bite disturb 48,abdomin discomfort  abdomin pain  belli pain
49,see doc pleas seen either urgent care clinic ed today  may strep pharyng  ear infect  remot possibl mening  like viral upper respiratori infect best rule serious ill 49,hidden white bump left tonsil  postnas drip  ear pain  tinnitus  pain swallow  sleep apnea  ear barotrauma  blurri vision  sore throat 49,nan 49,sore throat  earach  throat pain  apnea  sleep apnea  hazi vision  blurri vision  barotrauma  ring ear  post nasal drip
50,see pro isnt diy situat  ask famoli dentist refer wisdom tooth expert  oral surgeon  pleas go problem worsen 50,jaw pain  headach ear pain pressur also painless lump chin jaw sure relat fever  pain reliev help 50,orthodont  tooth pain  child health  dentistri  tmj syndrom  children health  surgeri  dental pain  oral surgeri  cari  abscess  dental care  oral maxillofaci surgeri  root canal  dental cari  dental health  tooth abscess  teeth  gum diseas  gingiv 50,ear infect  headach disord  skin lump  deal wisdom teeth  lymphat  manag tmj
51,way check gout would elev uric acid blood way 24 hour urin  tap joint definit way  reason tap could negat  howev  would advis rheumatolog work complet bloodwork rule caus han gout 51,pain swollen joint wrist ankl  occasion red mark face  arm  chest  leg  ra lupus 51,plantar fasciiti  diabet foot  neuroma 51,arthriti  joint swell  ra  rheumatoid arthriti  system lupus erythematosus
52,cyst lymph node painless cyst still infect could also caus nearbi lymph node swell  would look doctor see someth need treatment  good luck : 52,fungal infect bacteri infect peni groin lymph node swell 52,symptomat treatment  emerg medicin  high blood pressur med 52,bacteri infect  fungal infect  bacteria
53,perhap persist foot pain  could multipl etiolog  necessarili broken bone  though could  could stress fractur  could plantar fasciiti  could tendin  best orthopaed surgeon check get bottom 53,skin anus irrit itchi  anus skin cut  open   peal skin  broken littl spot 2or 3 month  frustrat 53,hand surgeri  hand bone fractur  rotat cuff repair  shoulder arthroscopi  acl reconstruct 53,nan
54,get evalu asap viral infect  dehydr  gastriti  food poison etc  take care 54,pus cover swollen tonsil mean bacteria virus fever  chill ach 1 day extrem sore throat 54,nan 54,sore throat  throat pain  fever  swollen tonsil  pus  virus  bacteria
55,tx vari caus tmj tmd  known durat problem  may dictat treatment  often treatment tmj vari person person also may sometim involv see doctor  physic therapi  ten  ultrasound therapi  exercis  mouthpiec standard type treatment  may need combin 55,tmj problem think wisdom teeth problem dizzi  headach  pressur molar area  test physician er came back fine could b teeth 55,tmj syndrom  sleep  headach  dentistri  tooth pain  sleep apnea  exercis  vitamin supplement  dental care  eat healthier  root canal  apnea  dizzi  hypothyroid  numb  exercis  manag tmj  snore  gum diseas  dental cari 55,dizzi  headach  tmj syndrom  wisdom teeth
56,radial arteri occlus simpl home way check circul get first impress status would check radial arteri puls distal thumb base  occlus higher arm puls present  good sign  occlus total  puls  may push fingernail  usual blood come back less 2 sec 56,fractur finger doctor use method tape finger next tape  cut circul blood 56,child health  circumcis  cancer  circumcis  diabet  depress  sleep  laparoscop surgeri  children health  child diabet  diabet risk  fever  rid lice treatment  nasal  normal childbirth  rehab  chronic high blood pressur  natur remedi  men health  pain manag 56,circul
57,see usual pimpl std 57,21yo femal  std free  small pimpl like sore lower right vulva  prescrib clotrimazol betamethason  2 month chang 57,cosmet surgeri  liposuct  breast implant  bodi jet liposuct  breast reduct surgeri  rhinoplasti  fat transfer  ultrason liposuct  plastic cosmet surgeri  remov ruptur breast implant  facelift  remov breast implant 57,pimpl  std  sexual transmit infect  sexual transmit diseas  valison  lotrimin  clotrimazol  celeston  betamethason
58,cannot answer without care  know case imposs answer  recommend call puonologist seek attent urgent care 58,fluid lung gb surgeri dementia cannot walk around much cough phlegm  treatment outlook still hospit 58,cardiolog  coronari arteri diseas  cholesterol test  congest heart failur  cardiac echo  echocardiogram  arrhythmia  prevent medicin  heart diseas prevent  ct heart scan  abnorm electrocardiogram  gestat hypertens 58,cough  product cough  dementia  surgeri
59,sound like hyperpron navicular protrud  may accessori navicular  tri wear orthot 59,cut foot year ago there hard lump  mayb calcium buildup  may  rest realli realli hurt walk 59,plantar fasciiti  diabet foot  neuroma 59,fibroma  podiatri  foot injuri  calcium
60,fine needl biopsi  core biopsi usual perform prior surgeri lesion visibl imag studi  specif preoper diagnosi  benign  elimin unnecessari surgeri  malign  allow proactiv treatment plan definit surgic procedur  elimin potenti second surgeri 60,expect go fine needl aspir biopsi breast 60,digit mammogram  mammogram  sonogram  ct scan  ultrasound breast  breast cancer  breast carcinoma  femal health  breast biopsi  breast needl biopsi  xray chest  mri breast  ct chest  mri breast contrast  mri scan  radiolog  ct abdomen  transvagin ultrasound pelvi  diagnost radiolog 60,femal health  biopsi  fine needl aspir
61,potenti although sound like end begin cycl potenti mid cycl ovual  abnorm discharg abnorm smell recommend see healthcar provid  bath frequent get rid smell like work 61,wet toilet paper like discharg  thick vagin dryness  std yeast 61,infertil  minim invas surgeri  menopaus 61,sexual transmit diseas  std  sexual transmit infect  bacteri infect vagina  vagin infect  vagin dryness  yeast  bacteria  vagin  candida
62,show derm mole chang begin itch  bleed ulcer brought attent friend dermatologist 62,im small red bump toward vagina itch time time didnt shave 62,cancer  breast cancer  femal health  breast carcinoma  melanoma  skin cancer  nevi  surgeri  oncolog  male breast cancer  lymph node biopsi  breast conserv surgeri 62,small red bump  red bump
63,difficult sinc difficult tell  alway recommend check heart first  sinc consequ miss cardiac diseas fatal  also  hiatal hernia mimic cardiac diseas larg  turn case  seek consult general thorac surgeon experienc laparoscop hiatal hernia repair 63,hernia stomach caus uncomfort chest feel  similar come heart attack 63,hernia  surgeri  hiatal hernia  hernia repair  inguin hernia  lump groin  groin hernia  gastroesophag reflux diseas  umbil hernia  inguin hernia repair  umbil hernia repair  inguin hernia surgeri 63,heart attack  hernia  myocardi infarct  cardiac arrest
64,seek attent would seek doctor familiar diagnos symptom  could includ neurologist headach specialist 64,ive fever month  11 day w relief alev tylenol  begin hour wake feel terribl  idea 64,sleep  tmj syndrom  sleep apnea  dentistri  facial pain  snore  apnea  dental health  tooth pain  manag tmj  dental pain  dental bite disturb 64,fever  tylenol  naproxen  alev  acetaminophen
65,need evalu pain involv area call mastoid  pain movement neck  headach  blur vision right  concern symptom realli need evalu  could local infect call mastoid  someth wors  call doctor seen soon possibl 65,blur vision cant focus  dizzi  nausea  heart feel like flutter ear jaw pain right side  blood work good cardio test good slow heart beat 65,femal health  menopaus  ovul  mens  tri conceiv  get pregnant  ectop pregnanc  third trimest pregnanc  diabet onset pregnanc  obstetr  high risk pregnanc  healthi pregnanc  gestat hypertens 65,dizzi  nausea  jaw pain  blurri vision  tmj syndrom  hazi vision  irrit eye  vision  dentistri
66,depend oral devic sleep apnea effect  cpap still gold standard care  mani type dental sleep mouthpiec one mouthpiec work everi patient  would consid buy one onlin retail store  improp fit creat tmj tmd  move teeth creat mani problem  see dental specialist  also consult 66,hubbi alway congest  use nasal spray night despit direct snore loud due sleep apnea  cpap didnt work  advic 66,tmj syndrom  sleep  headach  dentistri  tooth pain  sleep apnea  exercis  vitamin supplement  dental care  eat healthier  root canal  apnea  dizzi  hypothyroid  numb  exercis  manag tmj  snore  gum diseas  dental cari 66,snore  apnea  sleep apnea  nasal spray  oxymetazolin  sleep  phenylephrin  snore  continu posit airway pressur  decongest
67,littl pain littl pain 67,needl aspir cyst right breast didnt collaps 2nd asprtn 2 test cell unsur result biopsi done result fri    cancer 67,middl ear infect  sleep apnea 67,ultrasound guid needl core biopsi breast  breast biopsi
68,unlik possibl unlik  like caus dental  see dentist oral surgeon evalu 68,dentist prescrib antibiot pain med tooth abscess yesterday  today still pain face swollen gum lip numb normal 68,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 68,abscess  numb  tooth abscess  dental abscess  oral surgeri  pain medicin  antibiot  analges  oral maxillofaci surgeri
69,mani possibl would recommend see doctor  symptom could mani differ problem  strep throat high probabl also peritonsilar abscess  viral case  tonsil other 69,bodi ach diarrhea fever  saw md  got steroid shot  flustrep came back negat  could contagi 7mo old home 69,nan 69,flu  diarrhea  loos stool  fever  bodi ach  steroid shot  steroid
70,probabl ok probabl ok  see bulg around incis  pain doesnt go away   go back see surgeon 70,hospit 2 day due abdomin pain  doctor told complex 7cm ovarian cyst  go away  need surgeri 70,cancer  hernia  pancreat cancer  pancreat diseas  liver surgeri 70,abdomin discomfort  abdomin pain  ovarian cyst  belli pain  pain manag  surgeri
71,swollen gland cold sore may infect creat secondari bacteri infect  virus cold sore bacteria probabl relat sever mouth pain dental pain  symptom treat asap  contact dds first consult  necessari  may recommend see md  keep area clean make appoint today 71,neck pain  fluid behind ear  swollen gland neck cold sore right side   dr  put amoxil steriod  normal 71,orthodont  canker sore  aphthous stomat  orthodontia 71,cold sore  neck pain  swollen gland  enlarg lymph node  enlarg gland  herp simplex  amoxil  amoxicillin
